"3D Secure","3D seguro"
"Actions","Acciones"
"Added","Añadido"
"Allows logged-in customers to save their payment methods for faster future checkouts. Saved tokens are stored securely by PayPal.","Permite a los clientes iniciar sesión guardar sus métodos de pago para realizar pagos futuros más rápidos. Los tokens guardados son almacenados de forma segura por PayPal."
"Are you sure you want to delete this payment method?","¿Está seguro que desea eliminar este método de pago?"
"Authorization ID","ID de autorización"
"Authorize and Capture","Autorizar y capturar"
"Authorize Only","Sólo autorizar"
"Automatically populated after clicking ""Register Webhook"". Used to verify the authenticity of incoming PayPal notifications.","Completado automáticamente después de hacer clic en ""Registrar Webhook"". Utilizado para verificar la autenticidad de las notificaciones entrantes de PayPal."
"AVS Code","Código AVS"
"Bancontact","Bancontacto"
"BLIK","BLIK"
"Capture ID","Capturar ID"
"Cart is empty.","El carrito está vacío."
"Client ID","ID de cliente"
"Client Secret","Cliente secreto"
"Confirm your payment with PayPal, then click ""Place Order"".","Confirme su pago con PayPal, luego haga clic en ""Realizar pedido""."
"Connection failed. Please check your credentials.","Error de conexión. Por favor, comprueba tus credenciales."
"Connection failed: %s","Conexión fallida: %s"
"Connection successful.","Conexión exitosa."
"Could not acquire order lock.","No se pudo adquirir el bloqueo del pedido."
"CVV Code","Código CVV"
"Debug Mode","Modo de depuración"
"Delete","Eliminar"
"Display on Product Page","Mostrar en la página de producto"
"Display on Shopping Cart","Mostrar en el carrito de compras"
"Displays inline credit/debit card fields directly on your checkout page. Customers enter their card details without being redirected to PayPal. Requires PayPal Advanced Checkout eligibility.","Muestra los campos de la tarjeta de crédito/débito en línea directamente en tu página de pago. Los clientes introducen sus datos de tarjeta sin ser redireccionados a PayPal. Requiere elegibilidad de PayPal Avanzado Checkout."
"Displays PayPal buttons at checkout. Customers pay with their PayPal account, Pay Later, or other PayPal-supported methods without leaving your site.","Muestra los botones de PayPal al realizar el pago. Los clientes pagan con su cuenta de PayPal, Paga más tarde u otros métodos soportados por PayPal sin salir de su sitio."
"Enabled","Activado"
"eps","eps"
"Failed to create PayPal order.","Error al crear el pedido de PayPal."
"Failed to create PayPal order: %s","No se pudo crear el pedido de PayPal: %s"
"Failed to register webhook.","Error al registrar webhook."
"giropay","giropay"
"iDEAL","iDEAL"
"Invalid form key.","Clave de formulario inválida."
"Invalid payment method.","Método de pago no válido."
"Log API requests and responses to var/log/paypal.log","Registrar solicitudes de API y respuestas a var/log/paypal.log"
"Missing PayPal order ID.","Falta el ID del pedido de PayPal."
"MyBank","MyBank"
"No PayPal authorization ID found for void.","No se encontró ID de autorización de PayPal para nulo."
"No PayPal authorization or order ID found for capture.","No se ha encontrado autorización de PayPal ni ID de pedido para la captura."
"No PayPal capture ID found for refund.","No se ha encontrado ningún ID de captura de PayPal para el reembolso."
"No saved payment methods available.","No hay métodos de pago guardados disponibles."
"No saved payment methods available for this customer.","No hay métodos de pago guardados disponibles para este cliente."
"Payer Email","Correo de pagador"
"Payer ID","Payer ID"
"Pay Later","Pagar más tarde"
"Pay Later Messaging","Pagar más tarde mensajería"
"Payment Action","Acción de pago"
"Payment Method","Método de pago"
"Payment method has been deleted.","El método de pago ha sido eliminado."
"PayPal","PayPal"
"PayPal - Advanced Checkout (Card Fields)","PayPal - Pago avanzado (Campos de tarjetas)"
"PayPal - General Settings","PayPal - Configuración General"
"PayPal - Standard Checkout (PayPal Buttons)","PayPal - Pago estándar (PayPal Buttons)"
"PayPal - Vault (Saved Payment Methods)","PayPal - Caja fuerte (métodos de pago guardados)"
"PayPal capture failed: no capture ID returned.","Fallo al capturar PayPal: no se ha devuelto ningún ID de captura."
"PayPal Client ID and Client Secret are required when a PayPal payment method is enabled.","El ID de cliente de PayPal y el secreto de cliente son necesarios cuando se habilita un método de pago PayPal."
"PayPal Credit","Crédito PayPal"
"PayPal did not return a payer email address.","PayPal no devolvió una dirección de correo electrónico de pago."
"PayPal order amount does not match this cart.","La cantidad del pedido de PayPal no coincide con este carrito."
"PayPal order could not be approved. Status: %s","El pedido de PayPal no pudo ser aprobado. Estado: %s"
"PayPal order currency does not match this cart.","La moneda de pedido de PayPal no coincide con este carrito."
"PayPal order does not belong to this cart.","El pedido de PayPal no pertenece a este carrito."
"PayPal Order ID","ID de pedido de PayPal"
