"%s was added to your shopping cart.","%s fue añadido a su carrito de compras."
"%s was updated in your shopping cart.","Se actualizó %s en su carrito de compras."
"(Excl. Tax)","(Excl. impuesto)"
"(Incl. Tax)","(incluido impuesto)"
"* Required Fields","* Campos requeridos"
"Add coupon code for shopping cart","Añadir código de cupón para el carrito de compras"
"Add gift messages to shopping cart","Añadir mensajes de regalo al carrito de compras"
"Additional Product Info","Información adicional del producto"
"Add New Address","Añadir nueva dirección"
"Add New Condition","Añadir nueva condición"
"Add product(s) to shopping cart","Añadir producto(s) al carrito de compras"
"Add product to shopping cart","Añadir producto al carrito de compras"
"Address","Dirección"
"Add to Cart","Añadir al carrito"
"Add to Compare","Añadir a Comparar"
"Add to Wishlist","Añadir a lista de deseos"
"After Adding a Product Redirect to Shopping Cart","Después de añadir una redirección de producto al carrito de compras"
"Allow Guest Checkout","Permitir pago de Invitado"
"An error occurred. Please try again.","Ocurrió un error. Por favor, inténtelo de nuevo."
"An error occurred in the process of payment","Se ha producido un error en el proceso de pago"
"An error occurred while deleting this condition.","Se ha producido un error al eliminar esta condición."
"An error occurred while placing your order. Please try again.","Se ha producido un error al realizar su pedido. Por favor, inténtelo de nuevo."
"An error occurred while saving this condition.","Se ha producido un error al guardar esta condición."
"Apply","Aplicar"
"Applying...","Aplicando..."
"Are you sure you would like to remove this item from the shopping cart?","¿Está seguro que desea eliminar este artículo del carrito de la compra?"
"Back","Atrás"
"Billing Address","Dirección de facturación"
"Billing Information","Información de facturación"
"Cancel","Cancelar"
"Cannot add item to the shopping cart.","No se puede añadir el artículo al carrito de la compra."
"Cannot add the item to shopping cart","No se puede añadir el artículo al carrito de compras"
"Cannot add the item to shopping cart.","No se puede añadir el artículo al carrito de la compra."
"Cannot configure product.","No se puede configurar el producto."
"Cannot process the item.","No se puede procesar el elemento."
"Can not remove the item.","No se puede eliminar el artículo."
"Cannot remove the item.","No se puede eliminar el elemento."
"Can not save item.","No se puede guardar el artículo."
"Cannot update shopping cart.","No se puede actualizar el carrito de compras."
"Cannot update the item.","No se puede actualizar el elemento."
"Card Verification Number Visual Reference","Referencia visual del número de verificación de tarjeta"
"Cart","Carrito"
"Cart Item Counter","Contador de objetos de carrito"
"Cart Product API","API de artículo de carrito"
"Cart Subtotal:","Subtotal del carrito:"
"Change","Cambiar"
"Change Billing Address","Cambiar dirección de facturación"
"Checkbox Text","Texto de casilla"
"Checkout","Pedido"
"Checkout Conditions","Condiciones de pago"
"Checkout Forms Extra","Formularios de pago adicionales"
"Checkout Options","Opciones de pago"
"Checkout Progress Wrapper","Envoltura de progreso de pago"
"Checkout Terms and Conditions","Términos y condiciones de pago"
"City","Ciudad"
"Clear Shopping Cart","Limpiar carrito de compras"
"Click <a href=""%s"">here</a> to continue shopping.","Haga clic <a href=""%s"">aquí</a> para continuar comprando."
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Haga clic <a href=""%s"" onclick=""this.target='_blank'"">aquí para imprimir</a> una copia de la confirmación de su pedido."
"Close","Cerrar"
"Company","Empresa"
"Condition Name","Nombre de condición"
"Configurable Product Image","Imagen de artículo configurable"
"Configure Cart Item","Configurar artículo del carrito"
"Confirm Password","Confirmar contraseña"
"Content","Contenido"
"Content Height","Altura del contenido"
"Content Height (css)","Altura del contenido (css)"
"Continue","Continuar"
"Continue Shopping","Continuar comprando"
"Controls how the item count is calculated in the cart icon badge.","Controla cómo el recuento de artículos se calcula en la insignia del icono del carrito."
"Count Method","Método de conteo"
"Country","País"
"Coupon:","Cupón:"
"Coupon code ""%s"" was applied.","Código de cupón ""%s"" fue aplicado."
"Coupon code was removed.","Código del cupón fue eliminado."
"Create an order from shopping cart","Crear un pedido desde el carrito de compras"
"Create shopping cart","Crear carrito de compras"
"Customer's information","Información del cliente"
