"All Websites","Todos los sitios web"
"Apply Discounts To FPT","Aplicar descuentos a FPT"
"Display Prices In Emails","Mostrar precios en los correos electrónicos"
"Display Prices In Product Lists","Mostrar precios en listas de productos"
"Display Prices In Sales Modules","Mostrar precios en los módulos de venta"
"Display Prices On Product View Page","Mostrar precios en la página de vista del producto"
"Enable FPT","Activar FPT"
"Excluding FPT","Excluyendo FPT"
"Excluding FPT, FPT description, final price","Excluyendo la descripción de FPT, FPT, precio final"
"FPT Tax Configuration","Configuración de impuestos FPT"
"Fixed Product Tax","Impuesto fijo del producto"
"Fixed Product Taxes","Impuestos fijos del producto"
"Include FPT In Subtotal","Incluye FPT en subtotal"
"Including FPT and FPT description","Incluye descripción de FPT y FPT"
"Including FPT and FPT description [incl. FPT VAT]","Incluye descripción de FPT y FPT [incl. IVA FPT]"
"Including FPT only","Solo incluye FPT"
"Loaded and Displayed with Tax","Cargado y mostrado con impuestos"
"Not Taxed","No moldeado"
"Taxed","Mezclado"
"Total","Total"
"Total Incl. Tax","Total incluido impuestos"
"Total excl. tax","Total sin impuestos"
"Total incl. tax","Total con impuestos"
"Total:","Total:"
