"%d Review(s)","%d reseña(s)"
"1 star","1 estrella"
"2 stars","2 estrellas"
"3 stars","3 estrellas"
"4 stars","4 estrellas"
"5 stars","5 estrellas"
"<a href=""%1$s"" onclick=""this.target='blank'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>","<a href=""%1$s"" onclick=""this.target='blank'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>"
"Add New Review","Añadir nueva reseña"
"Administrator","Administrador"
"Allow Guests to Write Reviews","Permitir a los invitados escribir reseñas"
"All Reviews","Todas las revisiones"
"All Reviews of Customer `%s`","Todas las reseñas del cliente `%s`"
"All Reviews of Product `%s`","Todas las reseñas del producto `%s`"
"Approved","Aprobado"
"Are you sure?","¿Estás seguro?"
"Are you sure you want to do this?","¿Estás seguro de que quieres hacer esto?"
"Average Customer Rating:","Calificación media del cliente:"
"Back","Atrás"
"Back to My Reviews","Volver a mis reseñas"
"Be the First to Review","Sé el primero en revisar"
"Be the first to review this product","Sé el primero en revisar este producto"
"Cancel","Cancelar"
"Close","Cerrar"
"Created On","Creado el"
"Customer","Cliente"
"Customer My Account Product Reviews","Comentarios de producto de mi cuenta de cliente"
"Customer My Account Review Details","Detalles de revisión de mi cuenta de cliente"
"Customer Reviews","Reseñas del cliente"
"Customers Reviews","Reseñas de clientes"
"Delete","Eliminar"
"Delete Review","Eliminar reseña"
"Detailed Rating","Calificación detallada"
"Edit Review '%s'","Editar revisión '%s'"
"Guest","Invitado"
"ID","ID"
"Manage Ratings","Administrar calificaciones"
"My Product Reviews","Mis reseñas de producto"
"My Recent Reviews","Mis reseñas recientes"
"Name","Nombre"
"Name in Store","Nombre en la tienda"
"New Review","Nueva reseña"
"Nickname","Apodo"
"Nickname can't be empty","El apodo no puede estar vacío"
"Not Approved","No aprobado"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>"
"Pending","Pendiente"
"Pending Reviews","Reseñas pendientes"
"Pending Reviews of Customer `%s`","Reseñas pendientes del cliente `%s`"
"Per IP address. Default 5 per hour. 0 to disable.","Por dirección IP. Por defecto 5 por hora. 0 para desactivar."
"Please select a rating for each category","Por favor, seleccione una calificación para cada categoría"
"Posted By","Publicado por"
"Price","Precio"
"Product","Producto"
"Product Name","Producto"
"Product Rating","Valoración de producto"
"Product Reviews","Reseñas de producto"
"Product SKU","SKU del producto"
"Products Reviews","Reseñas de productos"
"Qty","Cantidad"
"Rating:","Calificación:"
"Review","Revisión"
"Review (submitted on %s):","Revisión (enviada el %s):"
"Review can't be empty","La revisión no puede estar vacía"
"Review Details","Detalles de revisión"
"Review Form Fields Before","Revisar campos de formulario antes"
"Reviews","Reseñas"
"Reviews and Ratings","Valoraciones y valoraciones"
"Review submit","Envío de revisión"
"Review summary can't be empty","El resumen de la reseña no puede estar vacío"
"Save Review","Guardar reseña"
"SKU","SKU"
"Status","Estado"
"Submit Review","Enviar reseña"
"Summary","Summary"
"Summary of Review","Resumen de la revisión"
"Summary Rating","Valoración de Resumen"
"This product has no reviews yet","Este producto aún no tiene comentarios"
"Title","Título"
"Type","Tipo"
"Unable to post the review.","No se puede publicar la reseña."
"Update Status","Actualizar estado"
"View All Reviews","Ver todas las revisiones"
"View Details","Ver detalles"
"Visible In","Visible en"
"Websites","Sitios web"
"Write a Review","Escribe una reseña"
"You're reviewing:","Estás revisando:"
"You have submitted no reviews.","No has enviado ninguna reseña."
"Your Rating:","Tu valoración:"
"Your Review (submitted on %s):","Tu reseña (enviada el %s):"
"Your review has been accepted for moderation.","Su reseña ha sido aceptada para su moderación."
