"* Required Fields","* Campos requeridos"
"0 disables the limit.","0 deshabilita el límite."
"Abuse Protection","Protección contra abusos"
"Adds an invisible trap field. Submissions that fill it are silently dropped as bot traffic.","Añade un campo de trampa invisible. Los envíos que lo llenan se soltan silenciosamente como tráfico de bots."
"Auto-Reply Emails per Recipient per Hour","Auto-contestar correos electrónicos por destinatario por hora"
"Auto Reply","Respuesta automática"
"Caps how many auto-reply emails a single address can receive per hour. The merchant notification is still sent. Defeats email-bombing of third parties. 0 disables the limit.","Límite de cuántos correos electrónicos de respuesta automática una sola dirección puede recibir por hora. La notificación del comerciante sigue siendo enviada. Derrota el bombardeo por correo electrónico de terceros. 0 desactiva el límite."
"Comment","Comentario"
"Contact Form","Formulario de contacto"
"Contact Form Auto Reply","Formulario de contacto respuesta automática"
"Contact Information","Información de contacto"
"Contacts","Contactos"
"Contact Us","Contáctenos"
"Contact Us Form","Contáctenos"
"Email","E-mail"
"Email Options","Opciones de Email"
"Email Sender","Remitente de Email"
"Email Template","Plantilla de email"
"Enable Auto Reply","Activar respuesta automática"
"Enable Contact Us","Activar Contacto"
"Honeypot Field","Campo de Honeypot"
"Invalid Form Key. Please submit your request again.","Clave de formulario no válida. Por favor, envíe su solicitud de nuevo."
"Invisible background measures (honeypot, rate limits) that blunt spam and email-bombing without inconveniencing real customers. Do not set the limits so low that legitimate visitors are blocked.","Medidas de fondo invisibles (miel, límite de velocidad) que reducen el spam y los bombardeos por correo electrónico sin molestar a los clientes reales. No establezca los límites tan bajos que los visitantes legítimos sean bloqueados."
"Name","Nombre"
"Send Emails To","Enviar correos electrónicos a"
"Submissions per IP per Hour","Envíos por IP por hora"
"Submit","Enviar"
"Telephone","Teléfono"
"Too many requests. Please wait a moment and try again.","Demasiadas solicitudes. Por favor, espere un momento y vuelva a intentarlo."
"Unable to submit your request. Please try again later","No se puede enviar tu solicitud. Por favor, inténtalo de nuevo más tarde"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Su consulta fue enviada y será respondida lo antes posible. Gracias por contactar con nosotros."
