"""Remember Me"" Default Value","Valor predeterminado ""Recordarme"""
"* Required Fields","* Campos requeridos"
"Accept Format-valid VAT When VIES Unavailable","Aceptar IVA válido en formato cuando VIES no esté disponible"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Se requiere confirmación de la cuenta. Por favor, comprueba tu correo electrónico para ver el enlace de confirmación. Para reenviar el correo electrónico de confirmación, por favor <a href=""%s"">haz clic aquí</a>."
"Account Dashboard","Panel de cuenta"
"Account Information","Información de la cuenta"
"Account Options","Opciones de cuenta"
"Account Sharing Options","Opciones de compartir cuentas"
"Action","Accin"
"Added From","Añadido de"
"Additional Address Entries","Entradas de dirección adicionales"
"Add New Address","Añadir nueva dirección"
"Add New Customer","Añadir nuevo cliente"
"Add New Customer Group","Añadir nuevo grupo de clientes"
"Address","Dirección"
"Address Book","Agenda de direcciones"
"Addresses","Direcciones"
"Address Information","Información de dirección"
"Address Templates","Plantillas de dirección"
"Admin","Admin"
"All","Todos"
"All countries","Todos los países"
"ALL GROUPS","TODOS LOS GRUPOS"
"Allow customers to login via a secure link sent to their email instead of using a password.","Permitir a los clientes iniciar sesión a través de un enlace seguro enviado a su correo electrónico en lugar de usar una contraseña."
"All Store Views","Todas las vistas de la tienda"
"Always optional.","Siempre opcional."
"Amount","Cantidad"
"An error occurred during validation. Please try again.","Se ha producido un error durante la validación. Por favor, inténtelo de nuevo."
"An error occurred while deleting the address.","Se ha producido un error al eliminar la dirección."
"An error occurred while retrieving the option value: %s.","Se ha producido un error al recuperar el valor de la opción: %s."
"An error occurred while saving the collection, aborting. Error: %s","Se ha producido un error al guardar la colección, abortando. Error: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Se especifica un ID de opción no válido para %s (%s), omitiendo el registro."
"Approved","Aprobado"
"Are you sure?","¿Estás seguro?"
"Are you sure that you want to remove this item?","¿Está seguro que desea eliminar este elemento?"
"Are you sure you want to cancel adding of this address?","¿Está seguro de que desea cancelar la adición de esta dirección?"
