"-- None --","-- Ninguno --"
"Adds aggregateRating (rating value and review count) and individual review nodes (reviewer name and review text) to the product schema when reviews are enabled.","Añade aggregateRating (valor de valoración y recuento de valoraciones) y nodos de revisión individuales (nombre del revisor y texto de revisión) al esquema del producto cuando las opiniones están habilitadas."
"Brand Attribute","Atributo de marca"
"Enable Structured Data","Habilitar datos estructurados"
"GTIN Attribute","Atributo GTIN"
"Include Ratings & Reviews","Incluye valoraciones y reseñas"
"Local Business","Negocios locales"
"MPN Attribute","Atributo MPN"
"Online Store","Tienda online"
"Organization","Organización"
"Organization Type","Tipo de organización"
"Outputs <strong>JSON-LD structured data</strong> following schema.org and Google's requirements, enabling rich results for products, breadcrumbs, organization info and site search. Validate your pages with the <a href=""https://search.google.com/test/rich-results"" target=""_blank"">Google Rich Results Test</a>.","Las salidas <strong>JSON-LD estructurados datos</strong> siguiendo los requisitos de schema.org y Google, permitiendo resultados enriquecidos para productos, migas, información de la organización y búsqueda de sitio. Validar tus páginas con la prueba <a href=""https://search.google.com/test/rich-results"" target=""_blank"">de resultados de Google Rich</a>."
"Product attribute holding the Global Trade Item Number (UPC/EAN/ISBN).","Atributo de producto que mantiene el Número de Objeto de Comercio Global (UPC/EAN/ISBN)."
"Product attribute holding the Manufacturer Part Number.","Atributo del producto que sostiene el Número de Parte del Fabricante."
"Product attribute used for the schema.org ""brand"" property.","Atributo de producto utilizado para la propiedad ""marca"" schema.org."
"Product Schema","Esquema del producto"
"Structured Data (schema.org)","Datos estructurados (schema.org)"
