"%s and greater","%s and greater"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(s)</strong> were found using the following search criteria"
"Advanced Search","Búsqueda avanzada"
"Advanced Search Form","Advanced Search Form"
"Advanced Search Result","Advanced Search Result"
"All","Todos"
"Applies for ""Like"" search type only.","Applies for ""Like"" search type only."
"Apply Layered Navigation if Search Results are Less Than","Apply Layered Navigation if Search Results are Less Than"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process."
"Autogenerated Site Map","Autogenerated Site Map"
"Boost SKU Matches in Search Results","Boost SKU Matches in Search Results"
"Catalog Advanced Search","Búsqueda avanzada de catálogo"
"Catalog Search","Búsqueda en catálogo"
"Catalog Search Index","Catalog Search Index"
"Categories","Categorías"
"Don't see what you're looking for?","¿No encuentras lo que buscas?"
"Enable Category Search in Autosuggest","Enable Category Search in Autosuggest"
"Enter ""0"" to enable layered navigation for any number of results.","Enter ""0"" to enable layered navigation for any number of results."
"Fulltext Separator","Fulltext Separator"
"Go to Home Page","Ir a la página de inicio"
"Grid","Cuadrícula"
"Home","Inicio"
"List","Lista"
"Maximum Categories in Autosuggest","Maximum Categories in Autosuggest"
"Maximum Query Length","Longitud máxima de consulta"
"Maximum Query Words Count","Maximum Query Words Count"
"Maximum Search query length is %s. Your query was cut.","Maximum Search query length is %s. Your query was cut."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","Maximum words count is %1$s. In your search query was cut next part: %2$s."
"Minimal Query Length","Longitud mínima de búsqueda"
"Minimum Search query length is %s","Minimum Search query length is %s"
"Modify your search","Modificar la búsqueda"
"No","No"
"No items were found using the following search criteria.","No items were found using the following search criteria."
"Please specify at least one search term.","Por favor, especifica al menos un término de búsqueda."
"Popular Search Terms","Términos de búsqueda populares"
"Products","Productos"
"Quick Search Form","Quick Search Form"
"Rebuild Catalog product fulltext search index","Reconstruir índice de búsqueda en texto completo del catálogo de productos"
"Redirect to product page if search generates one result","Redirect to product page if search generates one result"
"Relevance","Relevancia"
"Results","Resultados"
"Search","Buscar"
"Search:","Search:"
"Search entire store here...","Buscar en toda la tienda..."
"Search results for '%s'","Search results for '%s'"
"Search results for: '%s'","Search results for: '%s'"
"Search Settings","Ajustes de búsqueda"
"Search Terms","Términos de búsqueda"
"Search Type","Search Type"
"Show Autocomplete Results Count","Show Autocomplete Results Count"
"Specified date is invalid.","Specified date is invalid."
"Subscribe to Feed","Subscribe to Feed"
"up to %s","up to %s"
"View all %s results","View all %s results"
"When enabled and SKU is searchable, products matching by SKU are boosted to the top of search results.","When enabled and SKU is searchable, products matching by SKU are boosted to the top of search results."
"Yes","Sí"
"Your search returns no results.","Your search returns no results."
