"Access denied.","Acceso denegado."
"Anti-scraping throttle on /api/rest/v2/auth/token. Default 20 per minute. 0 to disable.","acelerador antiraspado en /api/rest/v2/auth/token. Por defecto 20 por minuto. 0 para desactivar."
"API","API"
"Api Key confirmation must be same as Api Key.","La confirmación de la clave Api debe ser igual que la clave Api."
"Api Key must be at least of %d characters.","La clave de Api debe tener al menos caracteres %d."
"Api Key must include both numeric and alphabetic characters.","Api Key debe incluir tanto caracteres numéricos como alfabéticos."
"A user with the same user name or email already exists.","Ya existe un usuario con el mismo nombre de usuario o correo electrónico."
"Auth-token endpoint (per IP)","Final de token de autenticación (por IP)"
"Can not find webservice adapter.","No se puede encontrar el adaptador de servicio web."
"Client Session Timeout (sec.)","Tiempo de espera de sesión de cliente (seg.)"
"Customer login","Inicio de sesión"
"Default Response Charset","Charset de Respuesta Predeterminada"
"Email","E-mail"
"Enable WSDL Cache","Habilitar caché WSDL"
"First Name is required field.","El nombre es obligatorio."
"General Settings","Configuración General"
"Invalid webservice adapter specified.","Adaptador de servicio web especificado no válido."
"Invalid webservice handler specified.","Controlador de webservice no válido."
"Last Name is required field.","El campo apellido es obligatorio."
"Maho Core API","API de Maho Core"
"Orphaned API Resources","Recursos API huérfanos"
"Per credential. Covers /auth/token (customer + api_user grants) and the GraphQL customerLogin mutation. Default 5 per minute. 0 to disable.","Por credencial. Cubrir /auth/token (cliente + api_user concedes) y la mutación de cliente GraphQL. Por defecto 5 por minuto. 0 para desactivar."
"Please enter a valid email.","Por favor, introduzca un correo electrónico válido."
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Rol"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Usuarios"
"Unable to login.","No se puede iniciar sesión."
"User Name","Usuario"
"User Name is required field.","Nombre de usuario es obligatorio."
"WS-I Compliance","Cumplimiento WS-I"
"Your account has been deactivated.","Su cuenta ha sido desactivada."
