"Add Recipient","Añadir Destinatario"
"Allow for Guests","Permitir visitantes"
"An invalid email address for recipient was entered.","Se ha introducido una dirección de correo electrónico no válida para el destinatario."
"At least one recipient must be specified.","Al menos un destinatario debe ser especificado."
"Back","Atrás"
"Catalog Product Email to a Friend","Catálogo Producto Email a un Amigo"
"Email Address","Dirección de email"
"Email Address:","Correo electrónico:"
"Email Templates","Plantillas de correo electrónico"
"Email to a Friend","Escribir correo electrónico a un amigo"
"Email:","Correo electrónico:"
"Enabled","Habilitado"
"Invalid Sender Information","Información del remitente inválida"
"Invalid sender email.","Correo electrónico del remitente no válido."
"Limit Sending By","Límite de envío por"
"Max Products Sent in 1 Hour","Máximos artículos enviados en 1 hora"
"Max Recipients","Máximos destinatarios."
"Maximum %d email addresses allowed.","Direcciones de correo electrónico máximas permitidas %d."
"Message:","Mensaje:"
"Name","Nombre"
"Name:","Nombre:"
"No more than %d emails can be sent at a time.","No más de %d correos electrónicos pueden ser enviados al mismo tiempo."
"Please define a correct Cookie instance.","Por favor, defina una instancia de Cookie correcta."
"Please define a correct Product instance.","Por favor, defina una instancia de producto correcta."
"Please define the correct Sender information.","Defina la información del remitente correcta."
"Recipient:","Destinatario:"
"Remove Email","Eliminar Correo electrónico"
"Select Email Template","Elegir plantilla de correo electrónico"
"Send Email","Enviar correo electrónico"
"Send product to a friend","Enviar producto a un amigo"
"Sender:","Remitente:"
"Some emails were not sent.","No se enviaron algunos mensajes de correo electrónico."
"The link to a friend was sent.","El enlace a un amigo fue enviado."
"The message cannot be empty.","El mensaje no puede estar vacío."
"The messages cannot be sent more than %d times in an hour","Los mensajes no pueden ser enviados más de %d veces en una hora"
"The sender name cannot be empty.","El nombre del remitente no puede estar vacío."
"There were some problems with the data.","Hubo algunos problemas con los datos."
"You have exceeded limit of %d sends in an hour","Has superado el límite de %d envíos por hora"
