"%s %s cycle.","Ciclo %s %s."
"%s (unavailable)","%s (no disponible)"
"* Required Fields","* Campos requeridos"
"--Please Select--","--Por favor seleccionar--"
"3D Secure Card Validation","Validación segura 3D de la tarjeta"
"<label>Make Check payable to:</label> %s","<label>Make Check payable to:</label> %s"
"Action","Accin"
"Add New Restriction","Añadir nueva restricción"
"Allow Initial Fee Failure","Permitir un error de comisión inicial"
"An internal reference ID is required to save the payment profile.","Se requiere un identificador de referencia interno para guardar el perfil de pago."
"Apply the restriction only if the following conditions are met (leave blank for all)","Aplicar la restricción sólo si se cumplen las siguientes condiciones (dejar en blanco para todos)"
"Are you sure?","¿Estás seguro?"
"Authorize action is not available.","La acción autorizada no está disponible."
"Auto Bill on Next Cycle","Auto factura en el siguiente ciclo"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Facturar automáticamente la cantidad del saldo pendiente en el próximo ciclo de facturación (si hubo pagos fallidos)."
"Automatically Invoice All Items","Facturar automáticamente todos los artículos"
"Bank Transfer Payment","Pago de transferencia bancaria"
"Billing Agreement status is not set.","El estado del contrato de facturación no está establecido."
"Billing Amount","Cantidad de facturación"
"Billing Frequency","Frecuencia de facturación"
"Billing Period","Periodo de facturación"
"Billing Period Unit","Unidad de facturación"
"Billing period unit is not defined or wrong.","Unidad de período de facturación no está definida o es incorrecta."
"Cannot retrieve the payment info model object.","No se puede recuperar el objeto modelo de información de pago."
"Cannot retrieve the payment information object instance.","No se puede recuperar la instancia del objeto de información de pago."
"Cannot retrieve the payment method code.","No se puede recuperar el código del método de pago."
"Cannot retrieve the payment method model object.","No se puede recuperar el objeto modelo de método de pago."
"Capture action is not available.","La acción de captura no está disponible."
"Card Verification Number","Número de verificación de tarjeta"
"Cart Attribute","Atributo Carrito"
"Cash On Delivery Payment","Pago en efectivo en entrega"
"Change status","Cambiar estado"
"Check / Money Order","Verificar / Money Order"
"Conditions","Condiciones"
"Conditions Combination","Combinación de condiciones"
"Countries","Países"
"Created At","Creado el"
"Credit Card Number","Número de tarjeta de crédito"
"Credit card number mismatch with credit card type.","El número de tarjeta de crédito no coincide con el tipo de tarjeta de crédito."
"Credit Card Type","Tipo de tarjeta de crédito"
"Credit card type is not allowed for this payment method.","El tipo de tarjeta de crédito no está permitido para este método de pago."
"Credit Card Types","Tipos de tarjeta de crédito"
"Currency","Moneda"
"Currency code is undefined.","El código de moneda no está definido."
"Customer Groups","Grupos de clientes"
"Customer ID is not set.","ID de cliente no establecido."
"Day","Día"
"Debug Mode","Modo de depuración"
"Delete Restriction","Eliminar restricción"
"Description","Descripción"
"Edit","Editar"
"Edit Restriction","Editar restricción"
"Edit Restriction '%s'","Editar restricción '%s'"
"Enabled","Activado"
"equals or greater than","igual o mayor que"
"equals or less than","igual o menor que"
"Expiration Date","Fecha de caducidad"
"FOUND","ENCONTRADO"
"Full name of the person receiving the product or service paid for by the recurring payment.","Nombre completo de la persona que recibe el producto o servicio pagado por el pago recurriente."
"General Information","Información General"
"greater than","mayor que"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Si %s %s %s para una subselección de artículos en el carrito coincidiendo con %s de estas condiciones:"
"If an item is %s in the cart with %s of these conditions true:","Si un artículo es %s en el carrito con %s de estas condiciones verdaderas:"
"Incorrect credit card expiration date.","Fecha de caducidad de la tarjeta de crédito incorrecta."
"Initial Fee","Tarifa inicial"
"Initial non-recurring payment amount due immediately upon profile creation.","Importe inicial de pago no recurrente debido inmediatamente a la creación del perfil."
"Instructions","Instrucciones"
"Internal Reference ID","ID de referencia interna"
"Invalid Credit Card Number","Número de tarjeta de crédito no válido"
"is","es"
"is not","no es"
"Issue Number","Número de petición"
"less than","menos que"
"Make Check Payable to","Pagar cheque a"
"Make Check payable to:","Hacer cheque pagadero a:"
"Make Check payable to: %s","Hacer cheque pagadero a: %s"
"Maximum Billing Cycles","Ciclos máximos de facturación"
"Maximum Order Total","Total máximo pedido"
"Maximum Payment Failures","Fallos máximos de pago"
"Maximum Trial Billing Cycles","Ciclos máximos de facturación de prueba"
"Minimum Order Total","Total mínimo del pedido"
"Month","Mes"
"N/A","N/A"
"Name","Nombre"
"Name on Card","Nombre en la tarjeta"
"New Order Status","Nuevo estado del pedido"
"New Restriction","Nueva restricción"
"NOT FOUND","NO FUNCIONADO"
"Number of billing periods that make up one billing cycle.","Número de períodos de facturación que componen un ciclo de facturación."
"Number of Complete Orders","Número de pedidos completados"
"Order action is not available.","La acción del pedido no está disponible."
"Password","Contraseña"
"Payment from Applicable Countries","Pago desde países aplicables"
"Payment from Specific Countries","Pago desde países específicos"
"Payment Method","Método de pago"
"Payment method code is not set.","Código de método de pago no establecido."
"Payment method code is undefined.","El código de método de pago no está definido."
"Payment Methods","Métodos de pago"
"Payment profile is invalid:\n%s","El perfil de pago no es válido:\n%s"
"Payment Reference ID","ID de referencia de pago"
"Payment Restrictions","Restricciones de pago"
"Payment Services","Servicios de pago"
"Period frequency is wrong.","La frecuencia del período es incorrecta."
"Please choose a condition to add.","Por favor, elija una condición para añadir."
"Please enter a valid credit card verification number.","Por favor, introduzca un número de verificación de tarjeta de crédito válido."
"Please select restriction(s).","Por favor, seleccione restricción(es)."
"Product Attribute","Atributo del producto"
"Product attribute combination","Combinación de atributos de producto"
"Product Categories","Categorías de producto"
"Products subselection","Subselección de productos"
"Purchase Order","Orden de compra"
"Purchase Order Number","Número de orden de compra"
"Purchase Order Number:","Número de orden de compra:"
"Purchase Order Number: %s","Número de Orden de Compra: %s"
"Recurring Profile Start Date","Fecha de inicio del perfil recurrente"
"Recurring profile start date has invalid format.","La fecha de inicio del perfil recurriente tiene un formato no válido."
"Reference ID is not set.","No se ha establecido el ID de referencia."
"Refund action is not available.","La acción de reembolso no está disponible."
"Repeats %s time(s).","Se repite %s vece(s)."
"Repeats until suspended or canceled.","Se repite hasta suspender o cancelar."
"Save Restriction","Guardar restricción"
"Schedule Description","Descripción del programa"
"Schedule description must be not empty.","La descripción del horario no debe estar vacía."
"Selected payment type is not allowed for billing country.","El tipo de pago seleccionado no está permitido para el país de facturación."
"Send Check to","Enviar cheque a"
"Send Check to:","Enviar cheque a:"
"Severe 3D Secure Card Validation","Validación segura de tarjeta Severe 3D"
"Shipping Amount","Importe de envío"
"Shipping Country","País de envío"
"Shipping Method","Método de envío"
"Shipping Postcode","Código Postal de envío"
"Shipping Region","Región de envío"
"Shipping State/Province","Estado de envío/Province"
"Short description of the recurring payment. By default equals to the product name.","Breve descripción del pago recurrente. Por defecto equivale al nombre del producto."
"Sort Order","Ordenar"
"Start Date","Fecha de inicio"
"Start date has invalid format.","La fecha de inicio tiene un formato inválido."
"Start date is undefined.","Fecha de inicio indefinida."
"Status","Estado"
"Status ""%s"" cannot be unassigned. It is in used in %d payment method configuration(s): %s","El estado ""%s"" no puede ser desasignado. Está en uso en la configuración del método de pago %d : %s"
"Stores","Almacenes"
"Subscriber Name","Nombre del suscriptor"
"Subtotal","Subtotal"
"Switch/Solo/Maestro Issue Number","Número de Problema Cambio/Solo/Maestro"
"Switch/Solo/Maestro Only","Sólo Cambiar/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Fecha de inicio de Cambio/Solo/Maestro"
"Tax Amount","Importe de impuestos"
"Test Mode","Modo de prueba"
"The date when billing for the profile begins.","La fecha en la que comienza la facturación por el perfil."
"The number of billing cycles for payment period.","El número de ciclos de facturación para el período de pago."
"The number of scheduled payments that can fail before the profile is automatically suspended.","El número de pagos agendados que pueden fallar antes de que el perfil se suspenda automáticamente."
"The payment restriction has been deleted.","La restricción de pago ha sido eliminada."
"The payment restriction has been saved.","La restricción de pago ha sido guardada."
"The payment review action is unavailable.","La acción de revisión de pagos no está disponible."
"The requested Payment Method is not available.","El método de pago solicitado no está disponible."
"This restriction no longer exists.","Esta restricción ya no existe."
"Title","Título"
"total amount","monto total"
"Total Items Quantity","Cantidad total de artículos"
"Total of %d record(s) were deleted.","Se eliminaron un total de %d registro(s)."
"Total of %d record(s) were updated.","Se actualizaron un total de %d registro(s)."
"total quantity","cantidad total"
"Total Weight","Peso total"
"Trial Billing Amount","Cantidad de facturación de prueba"
"Trial billing amount is wrong.","La cantidad de facturación de prueba es errónea."
"Trial Billing Frequency","Frecuencia de facturación de prueba"
"Trial Billing Period Unit","Unidad de período de facturación de prueba"
"Trial billing period unit is wrong.","La unidad del período de facturación de prueba está equivocada."
"Trial Period","Period de prueba"
"Trial period frequency is wrong.","La frecuencia del período de prueba es incorrecta."
"Trial period max cycles is wrong.","Ciclos máximos del período de prueba es incorrecto."
"Two Weeks","Dos semanas"
"Type","Tipo"
"Unable to find a restriction to delete.","No se puede encontrar una restricción para eliminar."
"Unable to save Billing Agreement:","No se puede guardar el acuerdo de facturación:"
"Unit for billing during the subscription period.","Unidad de facturación durante el período de suscripción."
"Void action is not available.","La acción de vacío no está disponible."
"Week","Semana"
"What is this?","¿Qué es esto?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Si suspender el perfil de pago si la cuota inicial falla o añadirlo al saldo pendiente."
"Wrong %s specified.","Se especificó un %s incorrecto."
"Wrong or empty billing amount specified.","Cantidad de facturación incorrecta o vacía especificada."
"Year","Año"
"Zero Subtotal Checkout","Cero subtotal de pago"
