"%s Screenshot","Captura de pantalla %s"
"%s violation(s)","%s violation(s)"
"Accessibility Scan","Escaneo de accesibilidad"
"Accessibility Scan Report","Informe de escaneo de accesibilidad"
"Accessibility Violations","Violaciones de accesibilidad"
"Advanced","Avanzado"
"Are you sure you want to delete this scan?","¿Está seguro de que desea eliminar este escane?"
"axe-core could not automatically evaluate %s check(s) (for example, color contrast over an image). Review them manually.","axe-core no pudo evaluar automáticamente las comprobaciones %s (por ejemplo, el contraste de color sobre una imagen). Revísalas manualmente."
"Back","Atrás"
"CLI","CLI"
"Command failed (exit code %s): %s","Comando falló (código de salida %s): %s"
"Command timed out after %s seconds: %s","Tiempo de espera agotado después de %s segundos: %s"
"Complete","Complete"
"Completed","Completado"
"Conformance level used when starting a scan without an explicit level.","Nivel de conformidad utilizado al iniciar un escaneo sin un nivel explícito."
"Critical","Crítico"
"Cron expression. Default: <strong>0 3 * * *</strong> (daily at 3am).","Expresión Cron. Predeterminada: <strong>0 3 * *</strong> (diario a las 3am)."
"Cron Schedule","Programación Cron"
"Date","Fecha"
"Default WCAG Level","Nivel WCAG por defecto"
"Delete","Eliminar"
"Delete Scans After","Eliminar escaneo después de"
"Desktop","Escritorio"
"Desktop Viewport","Vista de escritorio"
"Enabled","Activado"
"Export PDF","Exportar PDF"
"Failed","Fallo"
"Fix all of the following","Arreglar todo lo siguiente"
"Fix any of the following","Corregir cualquiera de los siguientes"
"General Settings","Configuración General"
"How to fix","Cómo reparar"
"HTML","HTML"
"ID","ID"
"Invalid scan URL ""%s"": every URL must belong to one of the configured store base URLs","URL de escaneo no válida ""%s"": cada URL debe pertenecer a una de las URL base de la tienda configuradas"
"Learn more","Aprende más"
"Manual","Manual"
"Maximum time in seconds to wait for a single page scan.","Tiempo máximo en segundos para esperar para una sola página de análisis."
"Minor","Menor"
"Mobile","Móvil"
"Mobile Viewport","Vista móvil"
"Moderate","Moderado"
"Needs Review","Necesita revisión"
"No automatically detectable violations were found. Automated checks cover only part of WCAG, so manual testing with a keyboard and a screen reader is still recommended.","No se encontraron violaciones detectables automáticamente. Las comprobaciones automatizadas cubren sólo una parte de WCAG, por lo que se recomiendan las pruebas manuales con un teclado y un lector de pantalla."
"Node.js %s is installed, but the scanner requires version %s or newer.","Node.js %s está instalado, pero el escáner requiere la versión %s o posterior."
"Node.js Binary Path","Ruta binaria de Node.js"
"Node.js was not found (looking for ""%s""). Install Node.js %s or newer, or set its full path in System > Configuration > Accessibility Scan.","Node.js no se encontró (buscando ""%s""). Instalar Node. s %s o posterior, o establecer su ruta completa en Sistema > Configuración > Búsqueda de Accesibilidad."
"npm Binary Path","ruta binaria npm"
"npm was not found (looking for ""%s""). Install it together with Node.js, or set its full path in System > Configuration > Accessibility Scan.","npm no se encontró (buscando ""%s""). Instálalo junto con Node. , o establezca su ruta completa en Sistema > Configuración > Escaneo de Accesibilidad."
"One URL per line. Every URL must belong to one of the configured store base URLs.","Una URL por línea. Cada URL debe pertenecer a una de las URL de base de la tienda configuradas."
"Page Title","Título de página"
"Path to the node executable. Default: node","Ruta al ejecutable del nodo. Por defecto: node"
"Path to the npm executable. Default: npm","Ruta al ejecutable de npm. Por defecto: npm"
"Pending","Pendiente"
"Periodically scan the URLs below via cron, using the default WCAG level.","Periodically scan the URLs below via cron, using the default WCAG."
"Please provide a valid URL to scan","Por favor proporcione una URL válida para escanear"
"Run a New Scan","Ejecutar un nuevo escaneo"
"Running","Ejecutando"
"Scan #%s","Escanear #%s"
"Scan failed","Escaneo fallido"
"Scan failed: %s","Escaneo fallido: %s"
"Scan History","Escanear historial"
"Scan ID","Escanear ID"
