"-- No Role --","-- Sin rol --"
"Access Token Lifetime","Acceso tiempo de vida del token"
"Account Information","Información de la cuenta"
"Active","Activo"
"Add New Role","Añadir nuevo rol"
"Add New User","Añadir nuevo usuario"
"Admin GraphQL at /api/admin/graphql (requires admin auth)","GraphQL de admin en /api/admin/graphql (requiere autenticación de administrador)"
"All","Todos"
"All API protocols are <strong>disabled by default</strong>. Enable only the ones you actually use, anything off returns 404 at the entry point.","Todos los protocolos de la API están <strong>deshabilitados por defecto</strong>. Activa solo los que realmente usas, cualquier cosa que no devuelva 404 en el punto de entrada."
"API","API"
"API Cache","API Cache"
"API Key","Clave API"
"API Protocols","API Protocols"
"API Role","Rol API"
"API user has been deleted.","El usuario de la API ha sido eliminado."
"API user has been saved.","Se ha guardado el usuario de la API."
"API User Information","Información del usuario API"
"API user not found.","Usuario API no encontrado."
"API v2 Roles","API v2 Roles"
"API v2 Users","API v2 Usuarios"
"Assign Role","Asignar rol"
"Authenticated via customer login (email + password). Each customer can only access their own data.","Autenticado a través de login del cliente (email + contraseña). Cada cliente sólo puede acceder a sus propios datos."
"Cache TTL (seconds)","Caché TTL (segundos)"
"Check to generate new client_id and client_secret. The old credentials will stop working.","Marcar para generar nuevo client_id y client_secret. Las credenciales antiguas dejarán de funcionar."
"Client Credentials","Credenciales del cliente"
"Client ID","ID de cliente"
"Client ID: %s","ID de cliente: %s"
"Client Secret","Cliente secreto"
"Client Secret: %s","Cuerpo de cliente: %s"
"Comma-separated list of allowed origins. Defaults to store base URL if empty.","Lista separada por comas de los orígenes permitidos. Por defecto almacena la URL base si está vacía."
"Contact Form","Formulario de contacto"
"CORS Allowed Origins","Orígenes Permitidos CORS"
"Created","Creado"
"Custom","Personalizado"
"Customer Session Operations","Operaciones de Sesiones de Cliente"
"Delete API User","Eliminar usuario API"
"Delete Role","Eliminar rol"
"Edit API User","Editar usuario API"
"Edit API User '%s'","Editar usuario API '%s'"
"Edit Role","Editar rol"
