"Average Duration","Duración media"
"Average Pages","Promedio de páginas"
"Bounce Rate","Tasa de rebote"
"Browsers","Browsers"
"Devices","Dispositivos"
"Devices & Browsers","Dispositivos y navegadores"
"Direct / No referrer","Directo / Sin referencias"
"Enable Log","Activar Log"
"Enable Log Cleaning","Habilitar limpieza de registros"
"Error Email Recipient","Destinatario de Email de Error"
"Error Email Sender","Error Email Sender"
"Error Email Template","Plantilla de Email de Error"
"Exit Pages","Salir de páginas"
"Exits","Salidas"
"Frequency","Frecuencia"
"Landing Pages","Páginas de tierra"
"Log","Logo"
"Log cleanup Warnings","Avisos de limpieza de registro"
"Logged in","Conectado"
"Login Conversion","Conversión de inicio de sesión"
"New vs Returning","Nuevo vs Devolución"
"No data","Sin datos"
"No language data available","No hay datos de idioma disponibles"
"No page view data available","No hay datos de vista de página disponibles"
"No traffic source data available","No hay datos de origen de tráfico disponibles"
"of visitors logged in","de visitantes conectados"
"Online","En línea"
"Page","Pgina"
"Returning","Retorno"
"Save Log, Days","Guardar Log, Días"
"Session Metrics","Métricas de sesión"
"Sessions","Sesiones"
"Start Time","Hora de inicio"
"Today","Hoy"
"Top Pages","Páginas superiores"
"Total visitors","Total de visitantes"
"Traffic Sources","Orígenes de los Tristes"
"Views","Vistas"
"Visitors","Visitas"
"Visitors only","Sólo visitantes"
"Visits","Visitas"
"Week","Semana"
