"%s file does not exists or is not readable","El archivo %s no existe o no es legible"
"-- Please Select --","-- Por favor seleccione --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","El adaptador debe ser una instancia de Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter object must be an instance of %s","El objeto del adaptador debe ser una instancia de %s"
"Adapter type must be a non empty string","El tipo de adaptador debe ser una cadena no vacía"
"Append Complex Data","Añadir datos complejos"
"Attribute Code","Código de atributo"
"Attribute does not has options, so filtering is impossible","El atributo no tiene opciones, por lo que el filtrado es imposible"
"Attribute Label","Etiqueta de atributo"
"Auto_increment column not found for table %s","Columna auto_increment no encontrada para la tabla %s"
"Begin data validation","Comenzar validación de datos"
"Begin export of %s","Comenzar la exportación de %s"
"Begin import of ""%s"" with ""%s"" behavior","Comenzar la importación de ""%s"" con el comportamiento de ""%s"""
"Can not determine attribute filter type","No se puede determinar el tipo de filtro de atributos"
"Can not find required columns: %s","No se pueden encontrar columnas requeridas: %s"
"Cannot get table status for %s","No se puede obtener el estado de la tabla para %s"
"Categories","Categorías"
"Check Data","Comprobar datos"
"Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d","Filas verificadas: %d, entidades comprobadas: %d, filas no válidas: %d, errores totales: %d"
"Column names: ""%s"" are invalid","Los nombres de columna: ""%s"" no son válidos"
"Column names have duplicates","Los nombres de columna tienen duplicados"
"Column names is empty or is not an array","Los nombres de columna están vacíos o no es una matriz"
"CSV","CSV"
"Customers","Clientes"
"Data is invalid or file is not uploaded","Los datos no son válidos o el archivo no está cargado"
"Delete Entities","Eliminar entidades"
"Destination directory is not writable","El directorio de destino no tiene permisos de escritura"
"Destination file is not writable","El archivo de destino no tiene permisos de escritura"
"Destination file path must be a string","La ruta del archivo de destino debe ser una cadena"
"Done import data validation","Validación de datos de importación realizada"
"Duplicate Unique Attribute for '%s'","Duplicar Atributo Único para '%s'"
"Each data row must be an array","Cada fila de datos debe ser un array"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Objeto adaptador de entidad debe ser una instancia de Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","Entidad desconocida"
"Entity Type","Tipo de entidad"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Modelo de tipo de entidad debe ser una instancia de Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Modelo de tipo de entidad debe ser una instancia de Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Error en la estructura de datos: los comportamientos se mezclan"
"Error in data structure: entity codes are mixed","Error en la estructura de datos: los códigos de entidad se mezclan"
"Errors limit (%d) reached. Please fix errors and re-upload file","Se alcanzó el límite de errores (%d). Por favor, corrija los errores y vuelva a subir el archivo"
"Escape CSV fields","Campos CSV de escape"
"Export","Exportar"
"Exported %s rows.","Exportadas filas %s"
"Export File Format","Exportar formato de archivo"
"Export has been done.","Se ha realizado la exportación."
"Export Settings","Exportar ajustes"
"File does not contain data.","El archivo no contiene datos."
"File does not contain data. Please upload another one","El archivo no contiene datos. Por favor, sube otro"
"File format is unknown","Formato de archivo desconocido"
"File is partially valid, but import is not possible","El archivo es parcialmente válido, pero la importación no es posible"
