"Action","Accin"
"Activities","Actividades"
"Activity Information","Información de la actividad"
"Activity Log","Registro de actividades"
"Activity log entry not found","Registro de actividades no encontrado"
"Admin Activity Log","Registro de actividad de Admin"
"Back","Atrás"
"Configuration","Configuración"
"Create","Crear"
"CSV","CSV"
"Date/Time","Fecha/hora"
"Days to Keep Logs","Días para guardar registros"
"Delete","Eliminar"
"Enable Admin Activity Log","Activar registro de actividad de admin"
"Entity","Entidad"
"Entity Type","Tipo de entidad"
"Excel XML","Excel XML"
"Failed","Fallo"
"Failure Reason","Razón de fallo"
"General Settings","Configuración General"
"ID","ID"
"IP Address","Dirección IP"
"Log Delete Actions","Borrar Acciones"
"Log Failed Login Attempts","Intentos de inicio de sesión fallidos"
"Login","Ingresar"
"Login Activity","Actividad de acceso"
"Log Login/Logout Activity","Login/Logout Activity"
"Log Mass Actions","Acciones masivas de registro"
"Logout","Cerrar sesión"
"Log Page Visits","Visitas de página de registro"
"Log Save Actions","Guardar Acciones"
"Number of days to keep activity logs. Set to 0 to keep forever.","Número de días para mantener registros de actividad. Establecer a 0 para mantenerlo para siempre."
"Request URL","Solicitar URL"
"Status","Estado"
"Success","Éxito"
"System","Sistema"
"Type","Tipo"
"Update","Actualizar"
"URL","URL"
"Username","Usuario"
"View","Ver"
"View Activity Log","Ver registro de actividad"
"View Activity Log Entry #%s","Ver entrada de registro de actividad #%s"
"View Login Activity","Ver actividad de inicio de sesión"
