"-- Please Select --","-- Selecciona --"
"Actions","Acciones"
"Add Layout Update","Agregar actualización de diseño"
"Add New Widget Instance","Add New Widget Instance"
"All","Todos"
"All Pages","Todas las páginas"
"All Product Types","Todos los tipos de artículos"
"Anchor Categories","Categorías de ancla"
"An error occurred during POST data validation: %s","An error occurred during POST data validation: %s"
"An error occurred during saving a widget: %s","An error occurred during saving a widget: %s"
"Apply","Aplicar"
"Assign to Store Views","Asignar a vistas de tienda"
"Big Image","Imagen grande"
"Block Reference","Block Reference"
"Categories","Categorías"
"Choose...","Elegir..."
"Close","Cerrar"
"CMS","CMS"
"Continue","Continuar"
"Default Template","Plantilla (predeterminado)"
"Delete","Borrar"
"Design Package/Theme","Diseñar paquete/tema"
"Error occurs during loading chooser.","Error occurs during loading chooser."
"Export to:","Exportar a:"
"Frontend Properties","Frontend Properties"
"Generic Pages","Páginas genéricas"
"Go to Next page","Go to Next page"
"Go to Previous page","Go to Previous page"
"Images","Imágenes"
"Insert Widget...","Insertar aplicación..."
"items selected","items selected"
"Layout Updates","Actualizaciones de diseño"
"Manage Widget Instances","Administrar instancias de aplicación"
"New Instance","New Instance"
"New Widget Instance","Nueva instancia de aplicación"
"Next page","Página siguiente"
"Non-Anchor Categories","Categorías no de ancla"
"Not Selected","No seleccionado"
"of %s pages","of %s pages"
"Open Chooser","Abrir el buscador"
"Page","Página"
"per page","por página"
"Please Select Block Reference First","Please Select Block Reference First"
"Previous page","Página anterior"
"Products","Productos"
"Remove Layout Update","Eliminar actualización de diseño"
"Save and Continue Edit","Guardar y continuar editando"
"Select All","Seleccionar Todo"
"Select Visible","Seleccionar los visibles"
"Settings","Configuración"
"Sort Order","Orden de aparición"
"Sort Order of widget instances in the same block reference","Sort Order of widget instances in the same block reference"
"Specific %s","Specific %s"
"Specified Page","Página especificada"
"Template","Plantilla"
"The information in this tab has been changed.","La información contenida en esta ficha ha sido cambiada."
"The widget instance has been deleted.","Se eliminó la instancia de aplicación."
"The widget instance has been saved.","Se guardó la instancia de aplicación."
"This tab contains invalid data. Please solve the problem before saving.","This tab contains invalid data. Please solve the problem before saving."
"Thumbnail","Miniatura"
"Total %d records found","Total %d records found"
"Type","Tipo"
"Unselect All","Deseleccionar todo"
"Unselect Visible","Deseleccionar los visibles"
"View","Ver"
"Widget","Aplicación"
"Widget ""%s""","Widget ""%s"""
"Widget ID","ID de aplicación"
"Widget Instance","Widget Instance"
"Widget instance is not full complete to create.","Widget instance is not full complete to create."
"Widget Instance Title","Widget Instance Title"
"Widget Options","Opciones de aplicación"
"Widgets","Aplicaciones"
"Widget Type","Tipo de aplicación"
"Widget Type is not specified","Widget Type is not specified"
"Wrong widget instance specified.","Wrong widget instance specified."
