"Action","Accin"
"Allow New Accounts via Social Sign-In","Permitir nuevas cuentas a través de Social Sign-In"
"Apple Service ID","Apple Service ID"
"Connected Accounts","Cuentas conectadas"
"Connected On","Conectado el"
"Continue with Apple","Continuar con Apple"
"Continue with Facebook","Continuar con Facebook"
"Create an app in the Meta developer portal, enable Facebook Login for the Web, and add your store domain to the allowed domains.","Crea una aplicación en el portal de desarrollador Meta, activa Facebook Login para la Web y añade el dominio de tu tienda a los dominios permitidos."
"Create a Service ID in the Apple Developer portal. Register your store domain and add https://yourstore.com/customer/social/login as a return URL.","Cree un ID de servicio en el portal de desarrollo de Apple. Registre el dominio de su tienda y añada https://yourstore.com/customer/social/login como URL de devolución."
"Creating new accounts with social sign-in is not allowed. Please register first.","No está permitido crear nuevas cuentas con inicio de sesión social. Por favor, regístrese primero."
"Customer Connected Accounts","Cuentas conectadas al cliente"
"Customers sign in with the Google Identity Services button. Create an OAuth client ID in the Google Cloud Console and add your store origin to the authorized JavaScript origins.","Los clientes inician sesión con el botón Servicios de identificación de Google. Cree un ID de cliente OAuth en la consola de Google Cloud y añada el origen de su tienda a los orígenes de JavaScript autorizados."
"Email","E-mail"
"Enable Facebook Login","Activar inicio de sesión en Facebook"
"Enable Google One Tap","Activar toque de Google One"
"Enable Google Sign-In","Activar inicio de sesión de Google"
"Enable Sign in with Apple","Activar inicio de sesión con Apple"
"Facebook App ID","ID App de Facebook"
"Facebook App Secret","App secreta de Facebook"
"Failed Attempts Allowed per IP per Hour","Intentos fallidos permitidos por IP por hora"
"Google Client ID","ID del cliente de Google"
"How long an issued sign-in nonce stays valid. Values below 60 seconds are raised to 60.","Cuánto tiempo de inicio de sesión emitido nonce se mantiene válido. Valores inferiores a 60 segundos se elevan a 60."
"How many failed social sign-in attempts one IP address can make per hour. Set 0 to disable the limit.","Cuántos intentos fallidos de inicio de sesión social una dirección IP puede hacer por hora. Establecer 0 para desactivar el límite."
"Invalid authentication token.","Token de autenticación inválido."
"Invalid form key. Please refresh the page and try again.","Clave de formulario no válida. Por favor, actualiza la página e inténtalo de nuevo."
"Linked Sign-In Providers","Proveedores de inicio de sesión enlazados"
"or","o"
"Please complete the required fields of your profile.","Por favor, rellene los campos requeridos de su perfil."
"Provider","Proveedor"
"Provider Email","Correo del proveedor"
"Shows the One Tap prompt to returning Google users on the login and register pages.","Muestra el prompt de un toque único para devolver usuarios de Google en las páginas de inicio de sesión y registro."
"Sign-in failed. Please try again later.","Error al iniciar sesión. Inténtalo de nuevo más tarde."
"Sign-In Nonce Lifetime (Seconds)","Iniciar sesión en Nonce de por vida (segundos)"
"Sign-in verification is temporarily unavailable. Please try again later.","La verificación de inicio de sesión no está disponible temporalmente. Inténtalo de nuevo más tarde."
"Social Login","Login social"
"The linked customer account no longer exists.","La cuenta de cliente vinculada ya no existe."
"The sign-in provider could not be unlinked.","El proveedor de inicio de sesión no pudo ser desenlazado."
"The sign-in provider has been unlinked.","El proveedor de inicio de sesión ha sido desconectado."
"This account is not active.","Esta cuenta no está activa."
"This customer has no linked sign-in providers.","Este cliente no tiene proveedores de inicio de sesión vinculados."
"This sign-in method is not available.","Este método de inicio de sesión no está disponible."
"Too many attempts. Please try again later.","Demasiados intentos. Inténtalo de nuevo más tarde."
"Unknown sign-in provider.","Proveedor de inicio de sesión desconocido."
"Unlink","Desvincular"
"When disabled, only customers with an existing account can sign in with a social provider.","Cuando está desactivado, sólo los clientes con una cuenta existente pueden iniciar sesión con un proveedor social."
"You can sign in with these connected providers.","Puede iniciar sesión con estos proveedores conectados."
"You have no connected sign-in providers.","No tiene proveedores de inicio de sesión conectados."
"Your account has been created.","Tu cuenta ha sido creada."
"Your sign-in attempt has expired. Please try again.","Su intento de inicio de sesión ha caducado. Por favor, inténtelo de nuevo."
