"%1$s incl tax.","%1$s incl tax."
"* Required Fields","* Campos obligatorios"
"-- Select --","-- Selecciona --"
"Add New Option","Añadir nueva opción"
"Add Selection","Add Selection"
"and","and"
"Bundle Items","Elementos en paquete"
"Bundle Product","Bundle Product"
"Buy %1$s","Buy %1$s"
"Buy %1$s for","Buy %1$s for"
"Buy %1$s for %2$s","Buy %1$s for %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Buy %1$s for %2$s (%3$s incl. tax) each"
"Buy %1$s for %2$s each","Buy %1$s for %2$s each"
"Buy %1$s with %2$s discount each","Buy %1$s with %2$s discount each"
"Catalog Product View (Bundle)","Catalog Product View (Bundle)"
"Checkbox","Casilla de verificación"
"Choose a selection...","Elige una selección..."
"Click for price","Haz clic para ver precio"
"Close","Cerrar"
"Default","Predeterminado"
"Default Qty","Cantidad (predeterminado)"
"Default Title","Título predeterminado"
"Drop-down","Menú desplegable"
"Dynamic","Dinámico"
"each","each"
"Excl. Tax","Impuestos NO Incl."
"Excl. Tax:","Excl. Tax:"
"Fixed","Fijo"
"From","Desde"
"From:","Desde:"
"Gift Message","Mensaje regalo"
"Incl. Tax","Impuestos incl."
"Incl. Tax:","Incl. Tax:"
"Input Type","Introducir tipo"
"Is Required","Es requerido"
"Message:","Mensaje:"
"Multiple Select","Selección múltiple"
"N/A","N/D"
"None","Ninguno"
"No options of this product are available.","No hay opciones disponibles de este artículo."
"Percent","Porcentaje"
"Percent Discount","Porcentaje de descuento"
"Please enter a number greater 0 in this field.","Introduce un número mayor que 0 en este campo."
"Please enter search conditions to view products.","Please enter search conditions to view products."
"Please select options for product.","Please select options for product."
"Please Select Products to Add","Por favor, seleccione artículos a añadir"
"Please specify product option(s).","Por favor, especifica las opciones del artículo."
"Position","Posición"
"Price as configured","Price as configured"
"Price Range","Rango de precios"
"Price Type","Tipo de precio"
"Qty:","Cant:"
"Radio Buttons","Botones de radio"
"Required options are not selected.","Required options are not selected."
"save","guardar"
"Selected required options are not available.","Selected required options are not available."
"Separately","Por separado"
"Ship Bundle Items","Enviar artículos de paquete"
"Shipment","Envío"
"SKU","SKU"
"Store View Title","Título de vista de tienda"
"There is no defined renderer for ""%s"" option type.","There is no defined renderer for ""%s"" option type."
"This product is also part of bundle(s)","This product is also part of bundle(s)"
"To","Hasta"
"To:","A:"
"Together","Juntos"
"Total incl. Tax: %1$s","Total incl. Tax: %1$s"
"Use Default Value","Usar Valor Predeterminado"
"User Defined Qty","User Defined Qty"
