"%s-%s of %s","%s-%s di %s"
"%s - Go to Home Page","%s - Vai alla Home Page"
"%s Item(s)","%s Articolo(i)"
"-- Please Select --","-- Seleziona --"
"-- Use Default --","-- Usa Predefinito --"
"1 column","1 colonna"
"2 columns with left bar","2 colonne con barra sinistra"
"2 columns with right bar","2 colonne con barra destra"
"3 columns","3 colonne"
"Account","Account"
"All Empty Layout Pages","Tutte Le Pagine Di Layout Vuote"
"All Minimal Layout Pages","Tutte Le Pagine Minime Di Layout"
"All One-Column Layout Pages","Tutte Le Pagine Di Layout Uno-Colonna"
"Allow","Consenti"
"All Pages","Tutte Le Pagine"
"All Pages (Print Version)","Tutte Le Pagine (Versione Di Stampa)"
"All Rights Reserved.","Tutti I Diritti Riservati."
"All Three-Column Layout Pages","Tutte Le Pagine Di Layout A Tre Colonne"
"All Two-Column Layout Pages (Left Column)","Tutte Le Pagine Di Layout A Due Colonne (Colonna Sinistra)"
"All Two-Column Layout Pages (Right Column)","Tutte Le Pagine Di Layout A Due Colonne (Colonna Destro)"
"Breadcrumbs","Breadcrumbs"
"Click <a href=""%s"">here</a> if nothing has happened","Clicca <a href=""%s"">qui</a> se non è successo nulla"
"Close","Chiudi"
"Close Window","Chiudi Finestra"
"CMS Block","Blocco CMS"
"Custom Text","Testo Personalizzato"
"Default Description","Descrizione Predefinita"
"Demo Store Notice CMS Block","Demo Store Notifica Blocco CMS"
"Demo Store Notice Text","Testo Avviso Negozio Demo"
"Deprecated: Use SVG or srcset","Deprecato: Usa SVG o srcset"
"Disabled","Disabilitato"
"Empty","Vuoto"
"Interface Language","Lingua Dell'Interfaccia"
"Leave empty to use the default text.","Lasciare vuoto per usare il testo predefinito."
"Left Column","Colonna Sinistra"
"Left Column First (shows above main column on smaller screens)","Prima colonna a sinistra (mostra sopra la colonna principale su schermi più piccoli)"
"Logo Height (in px)","Altezza logo (in px)"
"Logo Width (in px)","Larghezza logo (in px)"
"Main Content Area","Area Contenuto Principale"
"Main Navigation","Navigazione Principale"
"Menu","Menu"
"Minimal","Minimo"
"Navigation Bar","Barra Di Navigazione"
"Next","Successivo"
"Page:","Pagina:"
"Page Bottom","Pagina In Basso"
"Page Footer","Pagina Piè Di Pagina"
"Page Header","Intestazione Pagina"
"Page Top","Pagina Superiore"
"per page","per pagina"
"Previous","Precedente"
"Primary sidebar","Barra laterale primaria"
"Redirecting...","Reindirizzamento..."
"Results per page","Risultati per pagina"
"Right Column","Colonna Destra"
"Right sidebar","Barra laterale destra"
"Search","Cerca"
"Secondary sidebar","Barra laterale secondaria"
"Select Store","Seleziona Negozio"
"Select Store:","Seleziona Negozio:"
"Show","Mostra"
"Skip to main content","Passa al contenuto principale"
"Store Notice","Avviso Negozio"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Questo è un negozio demo. Qualsiasi ordine effettuato attraverso questo negozio non sarà onorato o eseguito."
"View All","Visualizza Tutto"
"Welcome!","Benvenuto!"
"Welcome, %s!","Benvenuto, %s!"
"Your Language","La Tua Lingua"
"Your Language:","La Tua Lingua:"
