"%s %s cycle.","Ciclo %s %s."
"%s (unavailable)","%s (non disponibile)"
"* Required Fields","* Campi Obbligatori"
"--Please Select--","--Si prega Di Selezionare--"
"3D Secure Card Validation","Convalida 3D Della Carta Sicura"
"<label>Make Check payable to:</label> %s","<label>Rendi il conto pagabile a:</label> %s"
"Action","Azione"
"Add New Restriction","Aggiungi Nuova Restrizione"
"Allow Initial Fee Failure","Permetti Fallimento Commissioni Iniziali"
"An internal reference ID is required to save the payment profile.","Per salvare il profilo di pagamento è necessario un ID di riferimento interno."
"Apply the restriction only if the following conditions are met (leave blank for all)","Applicare la restrizione solo se sono soddisfatte le seguenti condizioni (lasciare vuoto per tutti)"
"Are you sure?","Sei sicuro?"
"Authorize action is not available.","L'azione di autorizzazione non è disponibile."
"Auto Bill on Next Cycle","Bolletta automatica sul ciclo successivo"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Fattura automaticamente l'importo del saldo rimanente nel prossimo ciclo di fatturazione (se ci sono stati pagamenti falliti)."
"Automatically Invoice All Items","Fattura Automaticamente Tutti Gli Elementi"
"Bank Transfer Payment","Pagamento Bonifico Bancario"
"Billing Agreement status is not set.","Lo stato del Contratto di Fatturazione non è impostato."
"Billing Amount","Importo Fatturazione"
"Billing Frequency","Frequenza Di Fatturazione"
"Billing Period","Periodo Di Fatturazione"
"Billing Period Unit","Unità Periodo Di Fatturazione"
"Billing period unit is not defined or wrong.","L'unità del periodo di fatturazione non è definita o sbagliata."
"Cannot retrieve the payment info model object.","Impossibile recuperare l'oggetto modello informazioni di pagamento."
"Cannot retrieve the payment information object instance.","Impossibile recuperare l'istanza dell'oggetto informazioni di pagamento."
"Cannot retrieve the payment method code.","Impossibile recuperare il codice del metodo di pagamento."
"Cannot retrieve the payment method model object.","Impossibile recuperare l'oggetto modello metodo di pagamento."
"Capture action is not available.","L'azione di acquisizione non è disponibile."
"Card Verification Number","Numero Verifica Carta"
"Cart Attribute","Attributo Carrello"
"Cash On Delivery Payment","Pagamento In Contanti"
"Change status","Cambia stato"
"Check / Money Order","Controlla / Ordine Dei Soldi"
"Conditions","Condizioni"
"Conditions Combination","Combinazione Di Condizioni"
