"Action","Azione"
"Are you sure you want to restore this version? The current content will be saved as a new version first.","Sei sicuro di voler ripristinare questa versione? Il contenuto corrente verrà salvato prima come nuova versione."
"Back","Indietro"
"Blog module is not enabled.","Il modulo Blog non è abilitato."
"Blog Post","Post Del Blog"
"CMS Block","Blocco CMS"
"CMS Page","Pagina CMS"
"Content has been restored from version. The previous state was saved as a new version.","Il contenuto è stato ripristinato dalla versione. Lo stato precedente è stato salvato come nuova versione."
"Content Version History","Cronologia Versione Contenuto"
"Content Versioning","Content Versioning"
"Date","Data"
"Delete versions older than this many days. Set to 0 for unlimited.","Elimina versioni più vecchie di questo molti giorni. Impostare a 0 per illimitati."
"Editor","Editor"
"Maximum number of versions to keep per entity. Set to 0 for unlimited.","Numero massimo di versioni da mantenere per entità. Impostare a 0 per illimitati."
"Max Version Age (Days)","Età Della Versione Massima (Di)"
"Max Versions Per Entity","Versioni Massime Per Entità"
"No versions available. Versions are created when content is saved.","Nessuna versione disponibile. Le versioni vengono create quando il contenuto viene salvato."
"No version specified.","Nessuna versione specificata."
"Preview","Anteprima"
"Restore","Ripristina"
"Snapshot Data","Dati Istantanea"
"Source entity not found.","Entità sorgente non trovata."
"Version","Versione"
"Version %s","Versione %s"
"Version Details","Dettagli Versione"
"Version not found.","Versione non trovata."
"Versions","Versioni"
