"%s Index process is working now. Please try run this process later.","Il processo %s Index sta funzionando ora. Per favore prova ad eseguire questo processo più tardi."
"'%s' Index Process Information","'%s' Informazioni Sul Processo Indice"
"Action","Azione"
"Already running, skipped.","Già in esecuzione, saltato."
"Cannot initialize the indexer process.","Impossibile inizializzare il processo di indicizzatore."
"Change Index Mode","Cambia Modalità Indice"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Clicca qui per andare a <a href=""%s"">Cache Management</a> e aggiornare i tipi di cache."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Clicca qui per andare a <a href=""%s"">Index Management</a> e ricostruire gli indici richiesti."
"Close","Chiudi"
"Delete","Elimina"
"Description","Descrizione"
"Disable","Disabilita"
"Enable","Abilita"
"General","Generale"
"Index","Indice"
"Index Description","Descrizione Indice"
"Indexer code is not defined.","Il codice indicizzatore non è definito."
"Indexer model is not defined.","Il modello dell'indicizzatore non è definito."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Il modello indicizzatore dovrebbe estendere Mage_Index_Model_Indexer_Abstract."
"Index Management","Gestione Indice"
"Index Mode","Modalità Indice"
"Index mode","Modalità indice"
"Index Name","Nome Indice"
"Invalid reindex token.","Invalid reindex token."
"Manual Update","Aggiornamento Manuale"
"Mode","Modalità"
"Never","Mai"
"No","No"
"Not started.","Non iniziato."
"One or more of the Indexes are not up to date:","Uno o più indici non sono aggiornati:"
"Please select Index(es)","Seleziona indice/i"
"Please select Indexes","Seleziona indici"
"Process Information","Informazioni Sul Processo"
"Processing","Elaborazione"
"Process is locked.","Il processo è bloccato."
"Ready","Pronto"
"Refresh","Aggiorna"
"Reindex All","Reindicizza Tutto"
"Reindex complete","Reindex completato"
"Reindex Data","Reindicizza Dati"
"Reindex did not complete","Reindex non completato"
"Reindex finished with errors","Reindex finito con errori"
"Reindex Required","Reindex Richiesto"
"Request failed","Richiesta fallita"
"Revoke","Revoke"
"Status","Stato"
"System","Sistema"
"The index has been saved.","L'indice è stato salvato."
"The reindex process was interrupted.","Il processo di reindicizzazione è stato interrotto."
"There was a problem with reindexing process.","Si è verificato un problema con il processo di reindicizzazione."
"There was a problem with saving process.","Si è verificato un problema con il salvataggio del processo."
"Total of %d index(es) have changed index mode.","Total of %d index(es) have changed index mode."
"Unable to create directory var/%s.","Impossibile creare directory var/%s."
"Unknown reindex run.","Esecuzione reindex sconosciuta."
"Updated At","Aggiornato Il"
"Update on Save","Aggiorna su Salva"
"Update Required","Aggiornamento Richiesto"
"Yes","Sì"
