"Average Duration","Durata Media"
"Average Pages","Pagine Media"
"Bounce Rate","Tasso Di Rimbalzo"
"Browsers","Browsers"
"Devices","Dispositivi"
"Devices & Browsers","Dispositivi E Browser"
"Direct / No referrer","Diretto / Nessun referente"
"Enable Log","Abilita Log"
"Enable Log Cleaning","Abilita Pulizia Log"
"Error Email Recipient","Destinatario Email Di Errore"
"Error Email Sender","Error Email Sender"
"Error Email Template","Template Email Errore"
"Exit Pages","Esci Da Pagine"
"Exits","Uscite"
"Frequency","Frequenza"
"Landing Pages","Pagine Di Atterraggio"
"Log","Registro"
"Log cleanup Warnings","Avvertenze pulizia registro"
"Logged in","Accesso effettuato"
"Login Conversion","Conversione Login"
"New vs Returning","Nuovo vs Restituzione"
"No data","Nessun dato"
"No language data available","Nessun dato linguistico disponibile"
"No page view data available","Nessuna pagina visualizza dati disponibili"
"No traffic source data available","Nessun dato sorgente traffico disponibile"
"of visitors logged in","dei visitatori registrati"
"Online","Online"
"Page","Pagina"
"Returning","Ritorno"
"Save Log, Days","Salva Log, Giorni"
"Session Metrics","Metriche Di Sessione"
"Sessions","Sessioni"
"Start Time","Ora Di Inizio"
"Today","Oggi"
"Top Pages","Pagine Superiori"
"Total visitors","Totale visitatori"
"Traffic Sources","Sorgenti Di Traffico"
"Views","Viste"
"Visitors","Visitatori"
"Visitors only","Solo visitatori"
"Visits","Visite"
"Week","Settimana"
