"%dh","%dh"
"%dh %dm","%dh %dm"
"%dm","%dm"
"%dm %ds","%dm %ds"
"%ds","%ds"
"Are you sure you want to disable the selected cron job(s)?","Sei sicuro di voler disabilitare i lavori di cron selezionati?"
"At %s","A %s"
"Callback","Callback"
"Clear History","Cancella Cronologia"
"Close","Chiudi"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Attività pianificate) - tutti i tempi sono in minuti"
"Cron does not appear to be running. No jobs have been executed in the last hour. Please verify that cron is configured on your server.","Cron non sembra essere in esecuzione. Nessun lavoro è stato eseguito nell'ultima ora. Si prega di verificare che cron è configurato sul tuo server."
"Cron history has been cleared. %d record(s) deleted.","Cronologia cron è stata cancellata. %d record(s) eliminato."
"Cron job ""%s"" has been disabled.","Cron job ""%s"" è stato disabilitato."
"Cron job ""%s"" has been enabled.","Cron job ""%s"" è stato abilitato."
"Cron Jobs","Cron Jobs"
"Daily","Giornaliero"
"Daily at %s","Giornaliero a %s"
"day %s","giorno %s"
"Disable","Disabilita"
"Disabled","Disabilitato"
"Enable","Abilita"
"Enabled","Abilitato"
"Every %d hours at minute %d","Ogni %d ore al minuto %d"
"Every %d minutes","Ogni %d minuti"
"Every cron run","Ogni corsa cron"
"Every hour","Ogni ora"
"Every minute","Ogni minuto"
"Execution History","Cronologia Esecuzione"
"Failure History Lifetime","Durata Cronologia Fallita"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Per gli URL corretti generati durante l'esecuzione del cron, assicurati che gli URL Web > Secure e Unsecure Base siano esplicitamente impostati."
"Generate Schedules Every","Genera Programmi Ogni"
"History","Storico"
"History Cleanup Every","Pulizia Cronologia Ogni"
"hour %s","ora %s"
"Hourly","Orario"
"Invalid callback: %s::%s does not exist","callback non valido: %s::%s non esiste"
"Invalid model/method definition, expecting ""model/class::method"".","Definizione modello/metodo non valida, attesa ""model/class::method""."
"Job Code","Codice Lavoro"
"Last Run","Ultima Esecuzione"
"Last Status","Ultimo Stato"
"minute %s","minuto %s"
"Missed","Perso"
"Missed if Not Run Within","Mancato se non eseguito entro"
"month %s","mese %s"
"Monthly","Mensile"
"Monthly on day %d at %s","Mensile il giorno %d a %s"
"Next Run","Prossima Esecuzione"
"No callbacks found","Nessun callback trovato"
"No execution history found.","Nessuna cronologia di esecuzione trovata."
"No job code specified.","Nessun job code specificato."
"No schedule ID specified.","Nessun ID di pianificazione specificato."
"Not scheduled","Non programmato"
"Pending","In Attesa"
"Please select cron job(s).","Si prega di selezionare cron job(s)"
"Run Cron Job","Esegui Cron Job"
"Running","Esecuzione"
"Running...","Esecuzione..."
"Run Now","Esegui Ora"
"Schedule","Pianificazione"
"Schedule Ahead for","Pianifica avanti per"
"Schedule not found.","Pianificazione non trovata."
"Success","Successo"
"Success History Lifetime","Durata Cronologia Riuscita"
"Too late for the schedule.","Troppo tardi per il calendario."
"Total of %d cron job(s) were disabled.","Totale di %d cron job(s) erano disabilitati."
"Total of %d cron job(s) were enabled.","Totale %d cron job(s) sono stati abilitati."
"Unable to save the cron expression.","Impossibile salvare l'espressione cron."
"Unknown cron job: %s","Cron job sconosciuto: %s"
"weekday %s","giorno feriale %s"
"Weekly","Settimanale"
"Weekly on %s at %s","Settimanale su %s a %s"
