"--Please Select--","--Si prega Di Selezionare--"
"Accepted Currency","Valuta Accettata"
"API Login ID","API Login ID"
"Card Verification Number","Numero Verifica Carta"
"Card Verification Number Visual Reference","Verifica Carta Numero Di Riferimento Visivo"
"Close","Chiudi"
"Credit Card Number","Numero Carta Di Credito"
"Credit Card Type","Tipo Carta Di Credito"
"Credit Card Types","Tipi Di Carta Di Credito"
"Credit Card Verification","Verifica Carta Di Credito"
"Debug","Debug"
"Email Customer","Cliente Email"
"Enabled","Abilitato"
"Expiration Date","Data Di Scadenza"
"Gateway URL","Url Del Gateway"
"Maximum Order Total","Totale Massimo Ordine"
"Merchant's Email","Email Del Commerciante"
"Minimum Order Total","Totale Ordine Minimo"
"New Order Status","Stato Nuovo Ordine"
"Order saving error: %s","Errore di salvataggio ordine: %s"
"Payment Action","Azione Di Pagamento"
"Payment authorization error.","Errore di autorizzazione di pagamento."
"Payment from Applicable Countries","Pagamento da Paesi Applicabili"
"Payment from Specific Countries","Pagamento da paesi specifici"
"Sort Order","Ordina"
"Test Mode","Modalità Di Prova"
"The order has been created.","L'ordine è stato creato."
"There was an error processing your order. Please contact us or try again later.","Si è verificato un errore nell'elaborazione del tuo ordine. Per favore contattaci o riprova più tardi."
"Title","Titolo"
"Transaction Key","Chiave Transazione"
"What is this?","Che cos'è questo?"
