"-- Please Select --","-- Seleziona --"
"Account Created In Store","Account Creato Nel Negozio"
"Action","Azione"
"Active","Attivo"
"Added to Cart Date","Aggiunto al carrello"
"Added to Wishlist Date","Aggiunto alla data della Wishlist"
"Add Email Step","Aggiungi Passo Email"
"Add New Segment","Aggiungi Nuovo Segmento"
"Address","Indirizzo"
"Address Information","Informazioni Indirizzo"
"Add Segment","Aggiungi Segmento"
"Allow Overlapping Sequences","Consenti Sequenze Sovrapposte"
"Allow starting new sequences while existing ones are still active for the same customer","Consenti l'avvio di nuove sequenze mentre quelle esistenti sono ancora attive per lo stesso cliente"
"Applied Promotion Rules","Regole Di Promozione Applicate"
"Are you sure?","Sei sicuro?"
"Are you sure you want to delete this sequence step?","Sei sicuro di voler eliminare questo passaggio di sequenza?"
"Are you sure you want to refresh this segment?","Sei sicuro di voler aggiornare questo segmento?"
"Assign to Website","Assegna al sito web"
"At least one email sequence is required when automation is enabled.","È necessaria almeno una sequenza di email quando l'automazione è abilitata."
"Automatic","Automatico"
"Automatic: Refreshed daily via cron. Manual: Must be refreshed manually.","Automatico: Aggiornato quotidianamente tramite cron. Manuale: Deve essere aggiornato manualmente."
"Average Days Between Orders","Giorni Media Tra Gli Ordini"
"Average Order Value","Valore Medio Dell'Ordine"
"Back to Segment","Torna al segmento"
"Base Row Total","Totale Riga Base"
"Base Sales Rule","Regola Di Vendita Base"
"Bundle Product","Prodotto Pacchetto"
"Cart","Carrello"
"Cart Created Date","Data Creazione Carrello"
"Cart Items","Articoli Carrello"
"Cart Status","Stato Carrello"
"Cart Updated Date","Data Aggiornamento Carrello"
"Change status","Cambia stato"
"Completed","Completato"
"Conditions (leave blank for all customers)","Condizioni (lasciare vuoto per tutti i clienti)"
"Configurable Product","Prodotto Configurabile"
"Coupon expiration days","Giorni di scadenza coupon"
"Coupon expiration days cannot be negative.","I giorni di scadenza del coupon non possono essere negativi."
"Coupon Generation Settings","Impostazioni Generazione Coupon"
"Coupon Prefix","Prefisso Coupon"
"Customer","Cliente"
"Customer ID is required.","L'ID cliente è obbligatorio."
"Customer Lifetime Value","Valore Vita Cliente"
"Customer Personal Information","Informazioni Personali Del Cliente"
"Customer Segment","Segmento Clienti"
"Customer Since","Cliente Dal"
"Customers in Segment","Clienti nel segmento"
"Customer Time-based","Tempo Cliente"
"days","giorni"
"Days Inactive (No Login or Order)","Giorni di inattività (nessun login o ordine)"
"Days Since Added to Wishlist","Giorni da Aggiunti alla Wishlist"
"Days Since First Order","Giorni Dal Primo Ordine"
"Days Since Last Login","Giorni Dall’Ultimo Accesso"
"Days Since Last Order","Giorni Dall’Ultimo Ordine"
"Days Since Last View","Giorni Dall’Ultima Vista"
"Days Since Registration","Giorni Dalla Registrazione"
"Days Until Birthday","Giorni Fino Al Compleanno"
"Days Without Purchase","Giorni Senza Acquisto"
"Delay","Ritardo"
"Delay (Minutes)","Ritardo (Minuti)"
"Delay before sending","Ritardo prima dell'invio"
"Delay minutes cannot be negative.","I minuti di ritardo non possono essere negativi."
"Delete","Elimina"
"Delete Email Sequences","Elimina Sequenze Email"
"Delete Segment","Elimina Segmento"
"Delete Segments","Elimina Segmenti"
"Delete Step","Elimina Passo"
"Disabled","Disabilitato"
"Downloadable Product","Prodotto Scaricabile"
"E-mails on Enter","E-Mail su Invio"
"E-mails on Exit","E-Mail all'uscita"
"Edit","Modifica"
"Edit Email Sequence Step %d for ""%s""","Modifica la sequenza delle email Step %d per ""%s"""
"Edit Segment","Modifica Segmento"
"Edit Segment '%s'","Modifica Segmento '%s'"
"Edit Sequence","Modifica Sequenza"
"Email Automation","Email Automation"
"Email Automation Settings","Impostazioni Automazione Email"
"Email Sequences","Sequenze Email"
"Email Template","Modello Email"
"Enable/disable this sequence step","Attiva/disattiva questo passaggio di sequenza"
"Enable Email Automation","Abilita Automazione Email"
"Enter Segment","Inserisci Segmento"
"Error","Errore"
"Exit Segment","Esci Dal Segmento"
"Expires After (Days)","Scade Dopo (Giorni)"
"Failed","Fallito"
"General Properties","Proprietà Generali"
"Generate a unique coupon code for each customer","Genera un codice coupon univoco per ogni cliente"
"Generate Coupon","Genera Coupon"
"Generate unique coupon","Genera coupon univoco"
"Grouped Product","Prodotto Raggruppato"
"hours","ore"
"If %s %s %s","Se %s %s %s"
"Immediate","Immediato"
"Invalid newsletter template selected.","Modello di newsletter selezionato non valido."
"Invalid request.","Richiesta non valida."
"Invalid sales rule selected for coupon generation.","Regola di vendita selezionata per la generazione del coupon non valida."
"Invalid segment.","Segmento non valido."
"Invalid status.","Stato non valido."
"Invalid trigger type.","Tipo di trigger non valido."
"Is Active","È Attivo"
"Items Count","Conteggio Oggetti"
"Items Quantity","Quantità Articoli"
"Last Refreshed","Ultimo Aggiornamento"
"Last Updated Date","Data Ultimo Aggiornamento"
"Last Viewed Date","Data Ultima Visualizzazione"
"Last Viewed Date","Data Ultima Visualizzazione"
"Leave empty to apply to all customer groups","Lasciare vuoto per applicare a tutti i gruppi di clienti"
