"%s items queued for embedding.","%s elementi in coda per l'incorporazione."
"Action","Azione"
"AI","AI"
"AI: could not refresh models for %s. See exception.log.","AI: impossibile aggiornare i modelli per %s. Vedi exception.log."
"AI: refreshed %d models for %s.","AI: aggiornato %d modelli per %s."
"AI Configuration","Configurazione AI"
"AI Task #%s","AI Task #%s"
"AI Task History","AI Task History"
"AI Usage","Utilizzo AI"
"already queued","già in coda"
"Async Queue","Coda Asincrono"
"Auto-embed Categories","Categorie Auto-embed"
"Auto-embed Products","Auto-embed Products"
"Back","Indietro"
"Background","Sfondo"
"Blocked Input Patterns","Modelli Di Ingresso Bloccati"
"Calls","Chiamate"
"Cancelled","Annullato"
"Categories (%s active)","Categorie (%s attivo)"
"Complete","Complete"
"Completed","Completato"
"Completion","Completamento"
"Consumer","Consumatore"
"Context","Contesto"
"Current Configuration","Configurazione Corrente"
"Default AI Provider","Default AI Provider"
"Default Placeholder Height","Altezza Segnaposto Predefinita"
"Default Placeholder Width","Larghezza Segnaposto Predefinita"
"Disabled","Disabilitato"
"e.g. http://localhost:11434","e.g. http://localhost:11434"
"e.g. openai/gpt-4o, anthropic/claude-sonnet-4-6, google/gemini-2.0-flash","es. openai/gpt-4o, antropico/claude-sonnet-4-6, google/gemini-2.0-flash"
"Embedding","Embedding"
"Embeddings","Incorporazioni"
"Embeddings are disabled. Enable them under System &gt; AI &gt; Embed Settings before queuing.","Le incorporazioni sono disabilitate. Abilitarle in System &gt; AI &gt; Impostazioni Incorporate prima della coda."
"Embed Provider","Incorpora Provider"
"Embed Status","Incorpora Stato"
"Enable Async Queue","Abilita Coda Async"
"Enabled","Abilitato"
"Enable Embeddings","Abilita Incorporazioni"
"Enable Image Generation","Abilita Generazione Immagine"
"Error","Errore"
"Error: ","Errore: "
"Estimated completion: ~%d hours %d minutes.","Completamento stimato: ~%d ore %d minuti."
"Estimated completion: ~%d minutes.","Completamento stimato: ~%d minuti."
"Failed","Fallito"
"Failed to fetch models. See exception.log for details.","Impossibile recuperare i modelli. Vedi exception.log per i dettagli."
"Fetching...","Recupero..."
"Flag responses containing email addresses, phone numbers, or SSNs.","Segnalare le risposte contenenti indirizzi e-mail, numeri di telefono o SSN."
"Google Embed Model","Modello Google Incorporato"
"ID","ID"
"Image","Immagine"
"Image Generation","Generazione Immagine"
"Image Provider","Provider Di Immagini"
"Input Tokens","Input Tokens"
"Interactive","Interattivo"
"In Tokens","In Token"
"Log Requests","Richieste Di Log"
"Max seconds a task can run before being marked as failed.","Max secondi che un'attività può eseguire prima di essere contrassegnata come fallita."
"Max Tasks Per Cron Run","Max Task Per Cron Run"
"Messages","Messaggi"
"Mistral Embed Model","Modello Mistral Incorporato"
"Model","Modello"
"Must be installed locally via `ollama pull`.","Deve essere installato localmente tramite `ollama pull`."
"No items were queued. Make sure products/categories have text content.","Nessun elemento è stato accodato in coda. Assicurati che i prodotti/categorie abbiano contenuto di testo."
"Ollama Embed Model","Ollama Incorpora Modello"
"One regex per line. Matching inputs will be rejected.","Un regex per riga. Gli input corrispondenti saranno respinti."
"OpenAI-compatible endpoint, e.g. https://api.example.com/v1","Endpoint compatibile con OpenAI, ad esempio https://api.example.com/v1"
"OpenAI Embed Model","Modello Incorporato OpenAI"
"OpenAI Image Model","Modello Immagine OpenAI"
"Output Tokens","Token Di Uscita"
"Out Tokens","Token Fuori"
"Pending","In Attesa"
"Pending Embed Tasks","Incorpora Attività In Attesa"
"PII Detection","Rilevamento PII"
"Placeholder URL Pattern","Sequenza Url Segnaposto"
"Platform","Piattaforma"
"Platform / Model","Piattaforma / Modello"
"Priority","Priorità"
"Processing","Elaborazione"
"Products (%s enabled)","Prodotti (abilitati%s)"
"Prompt Injection Detection","Rilevamento Rapido Dell'Iniezione"
"Queue","Coda"
"Queue an embedding task whenever a category is saved.","Accoda un'attività incorporata ogni volta che una categoria viene salvata."
"Queue an embedding task whenever a product is saved.","Accoda un'attività incorporata ogni volta che un prodotto viene salvato."
"Queue Cron Schedule","Pianificazione Coda Cron"
"Queued","Accodato"
"Queue for Embedding","Coda per l'incorporazione"
"Queue Status","Stato Coda"
"Refresh Models","Aggiorna I Modelli"
"Response","Risposta"
"Retries","Riprova"
"Return a placeholder image URL when image generation is disabled or fails.","Restituisce un URL immagine segnaposto quando la generazione di immagini è disabilitata o fallita."
"Safety & Guardrails","Sicurezza E Parapetti"
"Sanitize HTML Output","Sanitize HTML Output"
"Scan user inputs for prompt injection attempts before sending to AI.","Scansiona gli input dell'utente per i tentativi di iniezione immediata prima di inviare ad AI."
"Status","Stato"
"Store ID","ID Negozio"
"Strip dangerous tags/attributes from AI responses used as HTML.","Striscia i tag/attributi pericolosi dalle risposte AI usate come HTML."
"Target Dimensions","Target Dimensions"
"Task #%s","Attività #%s"
"Task Details","Dettagli Attività"
"Task History","Cronologia Attività"
"Task not found.","Attività non trovata."
"Task Timeout (seconds)","Timeout Attività (secondi)"
"The async queue is disabled. Enable it under System &gt; AI &gt; Queue Settings or tasks will never be processed.","La coda asincrona è disabilitata. Abilitarla in System &gt; AI &gt; Impostazioni della coda o le attività non saranno mai elaborate."
"This queues %s products and %s categories (%s tasks total) for background processing.","Questa coda comprende prodotti %s e categorie %s (totale attività%s ) per l'elaborazione in background."
"This will queue all selected items for embedding. Continue?","Questo metterà in coda tutti gli elementi selezionati per l'incorporazione. Continuare?"
"Type","Tipo"
"Usage","Utilizzo"
"Use Placeholder Fallback","Usa Ripiego Segnaposto"
"Use {w} and {h} tokens for width/height. e.g. https://placehold.co/{w}x{h} or https://picsum.photos/{w}/{h}","Usa i token {w} e {h} per larghezza/altezza. es. https://placehold.co/{w}x{h} o https://picsum.photos/{w}/{h}"
"Vector size. 0 = model default. OpenAI and Google support native truncation; others are truncated after retrieval.","Dimensione vettoriale. 0 = impostazione predefinita del modello. OpenAI e Google supportano il tronco nativo; altri sono troncati dopo il recupero."
"Vector with %d dimensions","Vettore con dimensioni %d"
"View","Visualizza"
"Warning: %d embedding tasks are already pending. Running this again will add duplicate tasks.","Attenzione: %d le attività di incorporazione sono già in corso. L'esecuzione di nuovo aggiungerà attività duplicate."
"— save the API key to load available models —","— salva la chiave API per caricare i modelli disponibili —"
