"Add","Aggiungi"
"Add gift message for shopping cart","Add gift message for shopping cart"
"Add gift messages for quote item of shopping cart","Add gift messages for quote item of shopping cart"
"Add gift messages to products of shopping cart","Add gift messages to products of shopping cart"
"Add gift options","Add gift options"
"Add gift options.","Add gift options."
"Add gift options for Individual Items","Add gift options for Individual Items"
"Add gift options for the Entire Order","Add gift options for the Entire Order"
"Allow Gift Messages for Order Items","Consenti i messaggi di regalo per gli elementi dell'ordine"
"Allow Gift Messages on Order Level","Consenti i messaggi regalo a livello di ordine"
"An error occurred while saving the gift message.","An error occurred while saving the gift message."
"Are you sure?","Sei sicuro?"
"Cancel","Annulla"
"Do you have any gift items in your order?","Hai un articolo regalo qualsaisi nel tuo ordine?"
"Edit","Modifica"
"From","Dal"
"Gift Message","Messaggio regalo"
"Gift Message API","Gift Message API"
"Gift Options","Opzioni regalo"
"Gift Options for Individual Items","Opzioni regalo per singoli elementi"
"Gift Options for the Entire Order.","Gift Options for the Entire Order."
"Gift Options for this address.","Gift Options for this address."
"Item %d of %d","Item %d of %d"
"Message","Messaggio"
"No","No"
"Save Gift Message","Salva messaggio regalo"
"The gift message has been saved.","The gift message has been saved."
"To","Al"
"Unknown entity type","Tipo entità sconosciuta"
"Use config","Utilizzare config"
"Yes","Sì"
"You can leave this box blank if you do not wish to add a gift message for the item.","You can leave this box blank if you do not wish to add a gift message for the item."
"You can leave this box blank if you do not wish to add a gift message for this address.","You can leave this box blank if you do not wish to add a gift message for this address."
"You can leave this box blank if you do not wish to add a gift message for whole order.","You can leave this box blank if you do not wish to add a gift message for whole order."
