"-- Please Select --","-- Seleziona --"
"Add to Cart","Aggiungi al carrello"
"Are you sure to delete this fallback color?","Sei sicuro di voler eliminare questo colore di fallback?"
"Choose an Option...","Scegli un'opzione..."
"Configurable Swatches","Swatches Configurabili"
"Dynamic Price Change for Swatches in Product Listing","Variazione dinamica dei prezzi per gli swatch nella lista dei prodotti"
"Enabled","Abilitato"
"General Settings","Impostazioni Generali"
"Height","Altezza"
"Innermost dimensions, not including border, in pixels","Dimensioni interne, escluso il bordo, in pixel"
"In Stock","In Stock"
"Out of Stock","Non disponibile"
"Previous","Precedente"
"Product Attributes to Show as Swatches in Product Detail","Attributi del prodotto da mostrare come Swatches in dettaglio del prodotto"
"Product Attribute to Use for Swatches in Product Listing","Attributo prodotto da utilizzare per Swatches in Elenco prodotti"
"Remove This Item","Rimuovi Questo Oggetto"
"Swatch","Swatch"
"Swatch Dimensions in Layered Navigation","Dimensioni Swatch nella navigazione a livelli"
"Swatch Dimensions in Product Listing","Dimensioni Swatch nella lista prodotti"
"Swatch Dimensions on Product Detail Page","Dimensioni Swatch sulla pagina di dettaglio del prodotto"
"Width","Width"
