"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d Catalog Price Rules based on ""%s"" attribute have been disabled."
"-- All Active Rules --","-- Tutte Le Regole Attive --"
"86400 by default, if not set. Rule prices change with the daily catalog rule reindex.","86400 per impostazione predefinita, se non impostato. I prezzi delle regole cambiano con la regola del catalogo giornaliero reindex."
"Actions","Azioni"
"Active","Attivo"
"Add New Rule","Aggiungi Nuova Regola"
"An error occurred while deleting the rule. Please review the log and try again.","Si è verificato un errore durante l'eliminazione della regola. Si prega di rivedere il registro e riprovare."
"An error occurred while saving the rule data. Please review the log and try again.","Si è verificato un errore durante il salvataggio dei dati della regola. Si prega di rivedere il registro e riprovare."
"Apply","Applica"
"Apply Rules","Applica Regole"
"Attribute Set","Set Di Attributi"
"Best Selling","Miglior Vendita"
"Biggest Discount","Sconto Più Grande"
"By Fixed Amount","Per Importo Fisso"
"By Percentage of the Original Price","Per percentuale del prezzo originale"
"Catalog","Catalogo"
"Catalog On Sale Products","Catalogo Prodotti In Vendita"
"Catalog Price Rule","Regola Prezzo Catalogo"
"Catalog Price Rules","Regole Prezzo Catalogo"
"Category","Categoria"
"Conditions","Condizioni"
"Conditions (leave blank for all products)","Condizioni (lasciare vuoto per tutti i prodotti)"
"Conditions Combination","Combinazione Di Condizioni"
"Customer Groups","Gruppi Di Clienti"
"Date Expire","Data Di Scadenza"
"Date From","Data Da"
"Date Start","Data Di Inizio"
"Date To","Data A"
"Description","Descrizione"
"Discount Amount","Importo Sconto"
"Edit Rule","Modifica Regola"
"Edit Rule '%s'","Modifica Regola '%s'"
"Enable Discount to Subproducts","Abilita Sconto ai Sottoprodotti"
"Expiration Date","Data Di Scadenza"
"From Date","Dalla Data"
"General Information","Informazioni Generali"
"ID","ID"
"Inactive","Inattivo"
"List of Products with an active Catalog Price Rule discount","Elenco dei prodotti con uno sconto della regola di prezzo del catalogo attivo"
"Newest","Più Recenti"
"New Rule","Nuova Regola"
"No","No"
"Only In-Stock Products","Solo Prodotti In Magazzino"
"On Sale","In Vendita"
"On Sale Images and Names Template","Modello di immagini e nomi in vendita"
"On Sale Images Only Template","Solo Template Immagini In Vendita"
"On Sale Names Only Template","Solo Template Nomi In Vendita"
"On Sale Products Grid Template","Modello Griglia Prodotti In Vendita"
"On Sale Products List Template","Modello Lista Prodotti In Vendita"
"Options","Opzioni"
"Order Products By","Ordina Prodotti Per"
"Priority","Priorità"
"Product Attribute","Attributo Prodotto"
"Promotions","Promozioni"
"Random","Casuale"
"Restrict to a single rule (e.g. ""Offer of the month""). Leave empty for all active rules.","Limita a una singola regola (es. ""Offerta del mese""). Lasciare vuoto per tutte le regole attive."
"Rule Information","Informazioni Regola"
"Rule Name","Nome Regola"
"Save and Apply","Salva e applica"
"Save and Continue Edit","Salva e continua a modificare"
"Start Date","Data Di Inizio"
"Status","Stato"
"Stop Further Rules Processing","Ferma L'Elaborazione Di Ultime Regole"
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Ci sono regole che sono state modificate ma non sono state applicate. Per favore, fai clic su Applica regole per vedere gli effetti immediati nel catalogo."
"The rule has been deleted.","La regola è stata eliminata."
"The rule has been saved.","La regola è stata salvata."
"The rules have been applied.","Le norme sono state applicate."
"This rule no longer exists.","Questa regola non esiste più."
"To Date","A Data"
"To Fixed Amount","A Importo Fisso"
"To Percentage of the Original Price","In percentuale del prezzo originale"
"Type","Tipo"
"Unable to apply rules.","Impossibile applicare le regole."
"Unable to find a rule to delete.","Impossibile trovare una regola da eliminare."
"Update Prices Using the Following Information","Aggiorna i prezzi utilizzando le seguenti informazioni"
"Update product's %s %s: %s","Aggiorna il prodotto %s %s: %s"
"Website","Sito"
"Websites","Siti Web"
"Wrong rule specified","Regola specificata errata"
"Wrong rule specified.","Regola specificata errata."
"Yes","Sì"
