"%d product(s) were updated","%d prodotto(i) aggiornato(i)"
"%s (Default Template from Locale)","%s (modello predefinito da locale)"
"%s cache type(s) disabled.","%s tipi di cache disabilitati."
"%s cache type(s) enabled.","%s tipi di cache abilitati."
"%s cache type(s) refreshed.","%s tipi di cache aggiornati."
"(%s/%s/%s)","(%s/%s/%s)"
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(Per il tipo ""Local Server"" deve usare il percorso relativo di Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(Per i nomi di stato USA a 2 lettere)"
"(If left empty will be auto-generated)","(Se lasciato vuoto verrà generato automaticamente)"
"(Leave empty for first spreadsheet)","(Lasciare vuoto per il primo foglio di calcolo)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(I prodotti saranno aggiunti/aggiornati a questo negozio se la colonna 'negozio' è vuota o mancante nel file di importazione.)"
"(Starting with)","(Iniziando con)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Quando 'No', solo i campi mappati verranno importati. Quando mappa, usa 'column1', 'column2', ecc.)"
"(You have to increase php memory_limit before changing this value)","(Devi aumentare la memory_limit php prima di cambiare questo valore)"
"(\\t for tab)","(\\t per la scheda)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - Se l'indicizzazione è in corso, sarà terminata e inizierà un nuovo processo di indicizzazione."
"* Required Fields","* Campi Obbligatori"
"-- Not Selected --","-- Non Selezionato --"
"-- Please Select --","-- Seleziona --"
"-- Please select --","-- Seleziona --"
"--Please Select--","--Si prega Di Selezionare--"
"-- Please Select a Category --","-- Seleziona una categoria --"
"-- Please Select Billing Agreement--","-- Selezionare L'Accordo Di Fatturazione --"
"1 Hour","1 Ora"
"2 Hours","2 Ore"
"2FA verification code:","Codice di verifica 2FA:"
"2FA verification code is invalid.","Codice di verifica 2FA non valido."
"2YTD","2YTD"
"6 Hours","6 Ore"
"12 Hours","12 Ore"
"12h AM/PM","12h AM/PM"
"24 Hours","24 Ore"
"24h","24h"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Errore</h1><p>Pagina non trovata.</p>"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> richieste di accesso al tuo account"
"Abandoned Carts","Carrelli Abbandonati"
"Access Denied","Accesso Negato"
"Access denied","Accesso negato"
"Access denied.","Accesso negato."
"Account Created in:","Account creato in:"
"Account Created on (%s):","Account creato il (%s):"
"Account Created on:","Account creato il:"
"Account Information","Informazioni Account"
"Account Status","Stato Account"
"Account status","Stato account"
"Action","Azione"
"Actions","Azioni"
"Actions XML","Azioni XML"
"Active","Attivo"
"Add","Aggiungi"
"Add after","Aggiungi dopo"
"Add Exception","Aggiungi Eccezione"
"Add Field Mapping","Aggiungi Mappatura Campi"
"Add Field with URL:","Aggiungi campo con URL:"
"Additional Cache Management","Gestione Cache Aggiuntiva"
"Add New","Aggiungi Nuovo"
"Add New Block","Aggiungi Nuovo Blocco"
"Add New Image","Aggiungi Nuova Immagine"
"Add New Profile","Aggiungi Nuovo Profilo"
"Add New Role","Aggiungi Nuovo Ruolo"
"Add New Template","Aggiungi Nuovo Modello"
"Add New URL Rewrite","Aggiungi Nuovo Url Rewrite"
"Add New User","Aggiungi Nuovo Utente"
"Add New Variable","Aggiungi Nuova Variabile"
"Add new variable","Aggiungi nuova variabile"
"Add Products","Aggiungi Prodotti"
"Address Type:","Tipo Di Indirizzo:"
"Add URL Rewrite","Aggiungi URL Rewrite"
"Add URL Rewrite for a Category","Aggiungi URL Rewrite per una categoria"
"Add URL Rewrite for a Product","Aggiungi URL Rewrite per un prodotto"
"Admin","Amministratore"
"Advanced Profiles","Profili Avanzati"
"After authorization application will have access to you account.","Dopo che l'applicazione di autorizzazione avrà accesso all'account."
"Alert","Avviso"
"All","Tutti"
"All Allowed Countries","Tutti I Paesi Consentiti"
"All Cache","Tutta La Cache"
"All countries","Tutti i paesi"
"All fields","Tutti i campi"
