"Action","Azione"
"Active","Attiva"
"Add New Rule","Aggiungi nuova regola"
"Apply rule to source products matching the following conditions (leave blank for all products)","Apply rule to source products matching the following conditions (leave blank for all products)"
"Are you sure?","Sei sicuro?"
"Catalog","Catalogo"
"Change status","Cambia stato"
"Conditions","Condizioni"
"Conditions Combination","Combinazione di condizioni"
"Cron expression for rule processing. Default: <strong>0 3 * * *</strong> (daily at 3am).","Cron expression for rule processing. Default: <strong>0 3 * * *</strong> (daily at 3am)."
"Cron Schedule","Cron Schedule"
"Cross-sell Products","Cross-sell Products"
"Delete","Elimina"
"Delete Rule","Elimina regola"
"Description","Descrizione"
"Disabled","Disabilitato"
"does not match source","does not match source"
"Edit","Modifica"
"Edit Rule '%s'","Edit Rule '%s'"
"Enabled","Abilitato"
"From Date","From Date"
"ID","ID"
"Inactive","Inattivo"
"Link to target products matching the following conditions (leave blank for all products)","Link to target products matching the following conditions (leave blank for all products)"
"Link Type","Link Type"
"Lower number = higher priority","Lower number = higher priority"
"matches source","matches source"
"Maximum Links","Maximum Links"
"Maximum number of linked products per source product (leave empty for unlimited)","Maximum number of linked products per source product (leave empty for unlimited)"
"Name: A-Z","Name: A-Z"
"Name: Z-A","Name: Z-A"
"Newest First","Newest First"
"New Rule","Nuova regola"
"Oldest First","Oldest First"
"Please select rule(s).","Please select rule(s)."
"Price: High to Low","Price: High to Low"
"Price: Low to High","Price: Low to High"
"Priority","Priorità"
"Product Attribute","Attributo Prodotto"
"Product Link Rules","Product Link Rules"
"Product Relationship Rules","Product Relationship Rules"
"Random (Default)","Random (Default)"
"Related Products","Prodotti correlati"
"Rule Information","Informazioni sulle regole"
"Rule Name","Nome regola"
"Save and Continue Edit","Salva e continua modifica"
"Save Rule","Salva regola"
"Sort Order","Ordinamento"
"Source Product Conditions","Source Product Conditions"
"Source products matching %s of these conditions are %s:","Source products matching %s of these conditions are %s:"
"Status","Stato"
"Target Conditions","Target Conditions"
"Target product attribute will be compared to source product","Target product attribute will be compared to source product"
"Target Product Conditions","Target Product Conditions"
"Target products matching %s of these conditions are %s:","Target products matching %s of these conditions are %s:"
"The rule has been deleted.","The rule has been deleted."
"The rule has been saved.","The rule has been saved."
"This rule no longer exists.","Questa regola non esiste più."
"To Date","To Date"
"Total of %d record(s) were deleted.","Total of %d record(s) were deleted."
"Total of %d record(s) were updated.","Total of %d record(s) were updated."
"Up-sell Products","Up-sell Products"
