"""Remember Me"" Default Value","Valore predefinito ""Ricordami"""
"(Not %s?)","(Non %s?)"
"* Required Fields","* Campi obbligatori"
"Address","Indirizzo"
"Address Information","Informazioni indirizzo"
"Already registered?","Già registrato?"
"Back","Indietro"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Creando un account con il nostro negozio sarai in grado di muoverti attraverso il processo di pagamento più velocemente, salvare indirizzi di spedizione multipli, visualizzare e tracciare i tuoi ordini e altro ancora!"
"Cannot load configuration from file %s.","Impossibile caricare la configurazione dal file %s."
"Checking &quot;Remember Me&quot; will let you access your shopping cart on this computer when you are logged out","Verificando &quot;Ricorda Me&quot; ti consentirà di accedere al tuo carrello degli acquisti su questo computer quando sei disconnesso"
"Checkout as Guest","Checkout come ospite"
"Checkout as a Guest","Checkout come Ospite"
"Checkout as a Guest or Register","Checkout come ospite o registrati"
"City","Città"
"Clear Persistence on Log Out","Cancella Persistenza alla Chiusura Sessione"
"Close","Chiudi"
"Company","Azienda"
"Confirm Password","Conferma password"
"Continue","Continua"
"Country","Nazione"
"Create an Account","Crea un Account"
"Easy access to your order history and status","Facile accesso alla cronologia ordini e allo stato"
"Email Address","Indirizzo email"
"Enable ""Remember Me""","Abilita ""Ricordami"""
"Enable Persistence","Abilita la persistenza"
"Fast and easy check out","Check out facile e veloce"
"Faster checkout","Checkout più veloce"
"Fax","Fax"
"Forgot Your Password?","Hai dimenticato la password?"
"Forgot your password?","Hai dimenticato la password?"
"General Options","Opzioni Generali"
"If you have an account with us, please log in.","Se hai un account con noi, per favore accedi"
"Loading next step...","Caricamento passo successivo..."
"Login","Accedi"
"Login Information","Informazioni accesso"
"Login or Create an Account","Accedi o crea un account"
"New Customers","Nuovi Clienti"
"New Here?","Nuovo qui?"
"Password","Password"
"Persist Shopping Cart","Persistenza carrello"
"Persistence Lifetime (seconds)","Durata persistenza (secondi)"
"Persistent Shopping Cart","Carrello persistente"
"Personal Information","Informazioni personali"
"Please enter the following information to create your account.","Si prega di inserire le seguenti informazioni per creare il proprio account."
"Please log in below:","Accedi:"
"Please select region, state or province","Seleziona la regione, stato o provincia"
"Register","Registrati"
"Register and Checkout","Registra e Procedi al Pagamento"
"Register and save time!","Registrati e risparmia tempo!"
"Register to Create an Account","Registrati per Creare un Account"
"Register with us for future convenience:","Registrati con noi per i vantaggi futuri:"
"Registered Customers","Clienti registrati"
"Registration is free and easy!","La registrazione è gratuita e facile!"
"Remember Me","Ricordami"
"Returning Customers","Clienti Ritornati"
"Save in address book","Salva nella rubrica"
"Save multiple shipping addresses","Salva più indirizzi di spedizione"
"Select State/Province...","Seleziona Stato/Provincia..."
"Select a billing address from your address book or enter a new address.","Seleziona un indirizzo di fatturazione dalla tua rubrica o inserisci un nuovo indirizzo."
"Ship to different address","Spedisci ad un indirizzo diverso"
"Ship to this address","Spedisci a questo indirizzo"
"Shopping cart has been updated with appropriate prices","Carrello della spesa è stato aggiornato con prezzi appropriati"
"Sign Up for Newsletter","Iscriviti alla Newsletter"
"Sign in to speed up your checkout process","Accedi per velocizzare il tuo processo di checkout"
"State/Province","Provincia/Regione"
"Street Address","Indirizzo"
"Street Address %s","Indirizzo di Via %s"
"Submit","Invia"
"Telephone","Telefono"
"To proceed to Checkout, please log in using your email address.","Per procedere al Checkout, si prega di accedere utilizzando il proprio indirizzo email."
"VAT Number","Partita Iva"
"View and track orders and more","Visualizza e traccia ordini e altro"
"Welcome, %s!","Benvenuto, %s!"
"What's this?","Cos'è questo?"
"What's this?","What's this?"
"Zip/Postal Code","CAP"
