"%s file does not exists or is not readable","%s file does not exists or is not readable"
"-- Please Select --","-- Seleziona --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter object must be an instance of %s","Adapter object must be an instance of %s"
"Adapter type must be a non empty string","Adapter type must be a non empty string"
"Append Complex Data","Append Complex Data"
"Attribute Code","Codice Attributo"
"Attribute does not has options, so filtering is impossible","Attribute does not has options, so filtering is impossible"
"Attribute Label","Etichetta attributo"
"Auto_increment column not found for table %s","Auto_increment column not found for table %s"
"Begin data validation","Inizia convalida dei dati"
"Begin export of %s","Begin export of %s"
"Begin import of ""%s"" with ""%s"" behavior","Begin import of ""%s"" with ""%s"" behavior"
"Can not determine attribute filter type","Can not determine attribute filter type"
"Can not find required columns: %s","Can not find required columns: %s"
"Cannot get table status for %s","Cannot get table status for %s"
"Categories","Categorie"
"Check Data","Verifica dati"
"Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d","Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d"
"Column names: ""%s"" are invalid","Column names: ""%s"" are invalid"
"Column names have duplicates","Column names have duplicates"
"Column names is empty or is not an array","Column names is empty or is not an array"
"CSV","CSV"
"Customers","Clienti"
"Data is invalid or file is not uploaded","Data is invalid or file is not uploaded"
"Delete Entities","Elimina entità"
"Destination directory is not writable","Destination directory is not writable"
"Destination file is not writable","Il file di destinazione non è scrivibile"
"Destination file path must be a string","Destination file path must be a string"
"Done import data validation","Done import data validation"
"Duplicate Unique Attribute for '%s'","Duplicate Unique Attribute for '%s'"
"Each data row must be an array","Each data row must be an array"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","Entity sconosciuta"
"Entity Type","Tipo entità"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Error in data structure: behaviors are mixed"
"Error in data structure: entity codes are mixed","Error in data structure: entity codes are mixed"
"Errors limit (%d) reached. Please fix errors and re-upload file","Errors limit (%d) reached. Please fix errors and re-upload file"
"Escape CSV fields","Escape CSV fields"
"Export","Esporta"
"Exported %s rows.","Exported %s rows."
"Export File Format","Esporta formato file"
"Export has been done.","Export has been done."
"Export Settings","Esporta impostazioni"
"File does not contain data.","File does not contain data."
"File does not contain data. Please upload another one","File does not contain data. Please upload another one"
"File format is unknown","File format is unknown"
"File is partially valid, but import is not possible","File is partially valid, but import is not possible"
"File is totally invalid. Please fix errors and re-upload file","File is totally invalid. Please fix errors and re-upload file"
"File is valid! To start import process press ""Import"" button","Il file è valido! Per avviare il processo di importazione premere il pulsante ""Importa"""
"File is valid, but import is not possible","File is valid, but import is not possible"
"File was not uploaded","File was not uploaded"
"Filter","Filtro"
"From","Dal"
"Header column names already set","Header column names already set"
"Import","Importa"
"Import/Export","Importa/Esporta"
"Import Behavior","Comportamento importazione"
"Import CSV","Import CSV"
"Import has been done successfuly.","Import has been done successfuly."
"Import Settings","Importa impostazioni"
"Import successfully done.","Import successfully done."
"Incorrect entity type","Incorrect entity type"
"Input entity code is not equal to entity adapter code","Input entity code is not equal to entity adapter code"
"in rows","in rows"
"in rows:","in rows:"
"Invalid entity","Invalid entity"
"Invalid entity model","Invalid entity model"
"Invalid file format","Invalid file format"
"Invalid parameters","Invalid parameters"
"Invalid seek position","Invalid seek position"
"Invalid seek position: %d","Invalid seek position: %d"
"Invalid value for '%s'","Invalid value for '%s'"
"Invalid value for '%s' column","Invalid value for '%s' column"
"No data provided for import","No data provided for import"
"No data rows found after header processing","No data rows found after header processing"
"Node does not has model token tag","Node does not has model token tag"
"No filter data provided","No filter data provided"
"No source specified","No source specified"
"Not implemented yet","Not implemented yet"
"No valid data sent","Dati non validi inviati"
"No writer specified","No writer specified"
"Please fix errors and re-upload file","Please fix errors and re-upload file"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Correggi gli errori e ri-carica il file o semplicemente premi il pulsante ""Importa"" per saltare le righe con errori"
"Products","Prodotti"
"Replace Existing Complex Data","Replace Existing Complex Data"
"Row %d is not an array","Row %d is not an array"
"Row %d missing columns: %s","Row %d missing columns: %s"
"Select File to Import","Selezionare il File da importare"
"Skip","Skip"
"Source data array cannot be empty","Source data array cannot be empty"
"Source data must be an array","Source data must be an array"
"Source file moving failed","Source file moving failed"
"Source is not set","Source is not set"
"Source must be a string file path or array","Source must be a string file path or array"
"Status","Stato"
"There are no product types available for export","Non ci sono tipi di prodotto disponibili per l'esportazione"
"There is no data for export","There is no data for export"
"To","Al"
"Total size of uploadable files must not exceed %s","Total size of uploadable files must not exceed %s"
"Unknown attribute filter type","Tipo di filtro di attributo sconosciuto"
"Uploaded file has no extension","Uploaded file has no extension"
"Validation finished successfully","Validation finished successfully"
