"Action","Azione"
"Activities","Attività"
"Activity Information","Informazioni Sull'Attività"
"Activity Log","Registro Attività"
"Activity log entry not found","Voce registro attività non trovata"
"Admin Activity Log","Registro Attività Amministratore"
"Back","Indietro"
"Configuration","Configurazione"
"Create","Crea"
"CSV","CSV"
"Date/Time","Data/Ora"
"Days to Keep Logs","Giorni per tenere i registri"
"Delete","Elimina"
"Enable Admin Activity Log","Abilita Registro Attività Amministratore"
"Entity","Entità"
"Entity Type","Tipo Di Entità"
"Excel XML","Excel XML"
"Failed","Fallito"
"Failure Reason","Motivo Del Fallimento"
"General Settings","Impostazioni Generali"
"ID","ID"
"IP Address","Indirizzo IP"
"Log Delete Actions","Log Elimina Azioni"
"Log Failed Login Attempts","Log Tentativi Di Accesso Falliti"
"Login","Accedi"
"Login Activity","Login Attività"
"Log Login/Logout Activity","Log Login/Logout Attività"
"Log Mass Actions","Log Azioni Di Massa"
"Logout","Esci"
"Log Page Visits","Log Page Visits"
"Log Save Actions","Log Salva Azioni"
"Number of days to keep activity logs. Set to 0 to keep forever.","Numero di giorni per mantenere i registri delle attività. Impostare a 0 per mantenere per sempre."
"Request URL","Richiedi URL"
"Status","Stato"
"Success","Successo"
"System","Sistema"
"Type","Tipo"
"Update","Aggiorna"
"URL","URL"
"Username","Username"
"View","Visualizza"
"View Activity Log","Visualizza Registro Attività"
"View Activity Log Entry #%s","Visualizza Voce Registro Attività #%s"
"View Login Activity","Visualizza Attività Di Login"
