"and %s more posts","e %s altri post"
"and %s more products, listed in the XML sitemap","e %s altri prodotti, elencati nella mappa del sito XML"
"Attribute","Attributo"
"Availability","Disponibilità"
"Backorder","Backorder"
"Blog","Blog"
"Brand","Marca"
"Cache Lifetime (seconds)","Durata Cache (secondi)"
"Description","Descrizione"
"Enabled","Abilitato"
"from %s to %s","da %s a %s"
"Image","Immagine"
"Images","Immagini"
"In stock","In magazzino"
"Limited availability","Disponibilità limitata"
"Markdown for AI agents","Markdown per agenti IA"
"Not Found","Non Trovato"
"One route prefix per line, as module/controller/action. Only these pages get a markdown version. A route needs a renderer declared under global/contentnegotiation/renderers in a config.xml.","Un prefisso di percorso per riga, come modulo/controller/azione. Solo queste pagine ottengono una versione di markdown. Un percorso necessita di un renderer dichiarato in global/contentnegotiation/renderers in un config.xml."
"Options","Opzioni"
"Out of stock","Non disponibile"
"Price","Prezzo"
"Product","Prodotto"
"Products","Prodotti"
"Published","Pubblicato"
"regular price %s","prezzo normale %s"
"Routes","Itinerari"
"Serves a markdown version of a page when the request sends <code>Accept: text/markdown</code> or when the URL ends with <code>.md</code>. Browsers keep the HTML page. HTML pages announce the markdown version with a <code>Link</code> header.","Serve una versione markdown di una pagina quando la richiesta invia <code>Accetta: testo/markdown</code> o quando l'URL termina con <code>. d</code>. I browser mantengono la pagina HTML. Le pagine HTML annunciano la versione di markdown con un'intestazione <code>Link</code>."
"Specifications","Specifiche"
"Subcategories","Sottocategorie"
"The markdown is cached with the Blocks HTML output cache. A product, category, page or post save clears its entry. 0 disables the cache.","Il markdown è nella cache con la cache di output di Blocks HTML. Un prodotto, categoria, pagina o post save cancella la sua voce. 0 disabilita la cache."
"There are no posts yet.","Non ci sono ancora post."
"There are no products in this category.","Non ci sono prodotti in questa categoria."
"This page has no markdown version.","Questa pagina non ha una versione di markdown."
"Value","Valore"
