"Access denied.","Accesso negato."
"Anti-scraping throttle on /api/rest/v2/auth/token. Default 20 per minute. 0 to disable.","Anti-rottamazione dell'acceleratore su /api/rest/v2/auth/token. Predefinito 20 al minuto. 0 per disabilitare."
"API","API"
"Api Key confirmation must be same as Api Key.","La conferma della chiave API deve essere la stessa della chiave API."
"Api Key must be at least of %d characters.","La chiave API deve essere almeno di caratteri %d."
"Api Key must include both numeric and alphabetic characters.","La chiave API deve includere sia caratteri numerici che alfabetici."
"A user with the same user name or email already exists.","Esiste già un utente con lo stesso nome utente o email."
"Auth-token endpoint (per IP)","Endpoint Auth-token (per IP)"
"Can not find webservice adapter.","Impossibile trovare l'adattatore del webservice."
"Client Session Timeout (sec.)","Timeout Sessione Client (sec.)"
"Customer login","Login cliente"
"Default Response Charset","Carattere Di Risposta Predefinito"
"Email","Email"
"Enable WSDL Cache","Abilita Cache WSDL"
"First Name is required field.","Il nome è campo obbligatorio."
"General Settings","Impostazioni Generali"
"Invalid webservice adapter specified.","Adattatore webservice specificato non valido."
"Invalid webservice handler specified.","Gestore webservice specificato non valido."
"Last Name is required field.","Cognome è campo obbligatorio."
"Maho Core API","Maho Core API"
"Orphaned API Resources","Risorse API Orfane"
"Per credential. Covers /auth/token (customer + api_user grants) and the GraphQL customerLogin mutation. Default 5 per minute. 0 to disable.","Per credenziale. Copre /auth/token (customer + api_user grants) e la mutazione GraphQL clientiLogin 5 al minuto. 0 da disabilitare."
"Please enter a valid email.","Inserisci un'email valida."
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Ruoli"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Utenti"
"Unable to login.","Impossibile effettuare il login."
"User Name","Nome Utente"
"User Name is required field.","Nome utente è campo obbligatorio."
"WS-I Compliance","Conformità WS-I"
"Your account has been deactivated.","Il tuo account è stato disattivato."
