"# of Items (and above)","# di Oggetti (e sopra)"
"# of Items vs. Destination","# di Articoli vs. Destinazione"
"An error occurred while import table rates.","Si è verificato un errore durante l'importazione delle tabelle."
"Calculate Handling Fee","Calcola La Commissione Di Gestione"
"Carrier:","Vettore:"
"City","Città"
"Close Window","Chiudi Finestra"
"Condition","Condizione"
"contact us","contattaci"
"Country","Paese"
"Custom Value","Valore Personalizzato"
"Date","Data"
"Delivered on:","Consegnato il:"
"Delivered to:","Consegnato a:"
"Description","Descrizione"
"Displayed Error Message","Messaggio Di Errore Visualizzato"
"Divide to equal weight (one request)","Dividi a peso uguale (una richiesta)"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","Duplica riga #%s (Paese ""%s"", Regione/Fortezza ""%s"", Zip ""%s"" e Valore ""%s"")."
"email us at ","inviaci un'email a "
"Enabled","Abilitato"
"Error:","Errore:"
"Export","Esporta"
"File has not been imported. See the following list of errors: %s","Il file non è stato importato. Vedere il seguente elenco di errori: %s"
"Fixed","Fisso"
"Flat Rate","Tasso Piatto"
" for more information or "," per ulteriori informazioni o "
"Free Shipping","Spedizione Gratuita"
"Handling Fee","Commissione Di Gestione"
"Import","Importa"
"Include Virtual Products in Price Calculation","Includi prodotti virtuali nel calcolo del prezzo"
"Info:","Info:"
"Invalid %s ""%s"" in the Row #%s.","%s ""%s"" non valido nella riga #%s."
"Invalid Country ""%s"" in the Row #%s.","Paese non valido ""%s"" nella riga #%s."
"Invalid Region/State ""%s"" in the Row #%s.","Regione/Fortezza ""%s"" non valida nella riga #%s."
"Invalid Shipping Price ""%s"" in the Row #%s.","Prezzo di spedizione non valido ""%s"" nella riga #%s."
"Invalid Table Rate code for type %s: %s","Codice della tariffa tabella non valido per il tipo %s: %s"
"Invalid Table Rate code type: %s","Tipo di codice della tariffa tabella non valido: %s"
"Invalid Table Rates File Format","Formato File Tariffe Tabella Non Valida"
"Invalid Table Rates format in the Row #%s","Formato delle tariffe della tabella non valido nella riga #%s"
"Local Time","Ora Locale"
"Location","Posizione"
"Method Name","Nome Metodo"
"Minimum Order Amount","Importo Minimo Dell'Ordine"
"N/A","N/A"
"None","Nessuno"
"Options","Opzioni"
"Order Subtotal (and above)","Subtotale ordine (e sopra)"
"Origin","Origine"
"Percent","Percentuale"
"Per Order","Per Ordine"
"Per Package","Per Pacchetto"
"Price","Prezzo"
"Price vs. Destination","Prezzo vs. Destinazione"
"Region/State","Regione/Stato"
"Service Type:","Tipo Di Servizio:"
"Shipment #","Spedizione #"
"Shipment Tracking Popup","Popup Tracciamento Spedizione"
"Shipped or billed on:","Spedito o fatturato il:"
"Shipping Methods","Metodi Di Spedizione"
"Shipping Settings","Impostazioni Di Spedizione"
"Ship to Applicable Countries","Nave verso i paesi applicabili"
"Ship to Specific Countries","Nave verso paesi specifici"
"Show Method if Not Applicable","Mostra metodo se non applicabile"
"Signed by:","Firmato da:"
"Sort Order","Ordina"
"Status:","Stato:"
"Street Address","Indirizzo Via"
"Street Address Line 2","Riga Indirizzo 2"
"Table Rates","Tassi Di Tabella"
"There is no tracking available.","Non c'è nessun tracciamento disponibile."
"There is no tracking available for this shipment.","Non c'è nessun tracciamento disponibile per questa spedizione."
"The shipping module is not available.","Il modulo di spedizione non è disponibile."
"The shipping module is not available for selected delivery country.","Il modulo di spedizione non è disponibile per il paese di consegna selezionato."
"This shipping method is currently unavailable.","Questo metodo di spedizione non è attualmente disponibile."
"This shipping method is not available, please specify ZIP-code","Questo metodo di spedizione non è disponibile, si prega di specificare il codice postale"
"Title","Titolo"
"Track:","Traccia:"
"Tracking Information","Informazioni Di Monitoraggio"
"Tracking information is currently not available. Please ","Le informazioni di tracciamento non sono attualmente disponibili. Per favore "
"Tracking information is currently unavailable.","Le informazioni di tracciamento non sono attualmente disponibili."
"Tracking Number:","Numero Di Tracciamento:"
"Type","Tipo"
"Use origin weight (few requests)","Usa peso di origine (poche richieste)"
"Weight (and above)","Peso (e sopra)"
"Weight:","Peso:"
"Weight vs. Destination","Peso vs. Destinazione"
"ZIP/Postal Code","CAP / Codice Postale"
