"(not processed yet)","(non ancora elaborato)"
"0 disables the limit.","0 disabilita il limite."
"<strong>Enabling this alone does not display the button.</strong> The law requires the revocation button to stay permanently visible during the withdrawal period, but only your theme knows where that is. After enabling, you must place the <strong>Revocation Button</strong> widget in a block shown on every storefront page (typically the footer). Until you do, the form exists at <em>/revocation</em> but nothing links to it.","<strong>Abilitare questo da solo non visualizza il pulsante.</strong> La legge richiede che il pulsante di revoca rimanga permanentemente visibile durante il periodo di recesso, ma solo il tuo tema sa dove si trova. Dopo l'abilitazione, è necessario inserire il pulsante <strong>Revocation</strong> widget in un blocco mostrato su ogni pagina del negozio (tipicamente il piè di pagina). Fino a quando non lo fai, il modulo esiste alla <em>/revocation</em> ma non ci sono link ad esso."
"Abuse Protection","Protezione Abuso"
"Accepted","Accettato"
"Accepting or rejecting only records the decision and adds a note to this order. The order status, state, and any refund are left unchanged.","Accettando o rifiutando solo registra la decisione e aggiunge una nota a questo ordine. Lo stato dell'ordine, lo stato e qualsiasi rimborso sono lasciati inalterati."
"Accept Revocation","Accetta Revoca"
"Accept this revocation? This records the decision and adds a note to the matched order. No order status or refund changes automatically.","Accetta questa revoca? Questo registra la decisione e aggiunge una nota all'ordine corrispondente. Nessuno stato ordine o rimborso cambia automaticamente."
"A confirmation email is on its way to you.","Una email di conferma è in arrivo."
"Adds an invisible trap field. Submissions that fill it are silently dropped as bot traffic.","Aggiunge un campo trappola invisibile. I messaggi che lo riempiono vengono silenziosamente lasciati cadere come traffico del bot."
"Back","Indietro"
"Button Label","Etichetta Pulsante"
"Cooling-Off Period (Days)","Periodo Di Raffreddamento (Giornali)"
"create a credit memo","crea una nota di credito"
"CSV","CSV"
"Customer Name","Nome Cliente"
"Customer Receipt Template","Modello Di Ricevuta Cliente"
"Customer submitted revocation request #%s via their account.","Richiesta di revoca del cliente #%s tramite il loro account."
"Custom Label","Etichetta Personalizzata"
"Declaration (read-only legal record)","Dichiarazione (registrazione in sola lettura)"
"Email","Email"
"Email Sender","Mittente Email"
"Email Settings","Impostazioni Email"
"Email Suppressed","Email Soppresso"
"Enabled","Abilitato"
