"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Le regole del prezzo del carrello basato sull'attributo ""%s"" sono state disabilitate."
"%s Coupon(s) have been generated","I Coupon %s sono stati generati"
"Actions","Azioni"
"Active","Attivo"
"Add New Rule","Aggiungi Nuova Regola"
"Alphabetical","Alfabetico"
"Alphanumeric","Alphanumeric"
"An error occurred while generating coupons. Please review the log and try again.","Si è verificato un errore durante la generazione dei coupon. Controlla il log e riprova."
"Apply","Applica"
"Apply the rule only if the following conditions are met (leave blank for all products)","Applicare la regola solo se sono soddisfatte le seguenti condizioni (lasciare vuoto per tutti i prodotti)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Applica la regola solo agli articoli del carrello corrispondenti alle seguenti condizioni (lascia vuoto per tutti gli articoli)"
"Apply To","Applica A"
"Apply to Shipping Amount","Applica all'importo della spedizione"
"Are you sure you want to delete the selected coupon(s)?","Sei sicuro di voler eliminare i coupon selezionati?"
"Attribute ""%s"" %s %s %s","Attributo ""%s"" %s %s %s"
"Auto","Automatico"
"Auto Generated Specific Coupon Codes","Codici Coupon Specifici Generati Automaticamente"
"Buy X get Y free (discount amount is Y)","Acquista X ottenere Y gratis (l'importo dello sconto è Y)"
"By Fixed value","Per valore fisso"
"By Percentage","Per Percentuale"
"Can't acquire coupon.","Impossibile acquistare il coupon."
"Cart Attribute","Attributo Carrello"
"Catalog","Catalogo"
"Code Format","Formato Codice"
"Code Length","Lunghezza Codice"
"Code Prefix","Prefisso Codice"
"Code Suffix","Code Suffix"
"Conditions","Condizioni"
"Conditions combination","Combinazione di condizioni"
"Coupon","Coupon"
"Coupon Code","Codice Coupon"
"Coupon Qty","Qtà Coupon"
"Coupons Information","Informazioni Coupon"
"Coupon with the same code","Coupon con lo stesso codice"
"Created On","Creato Il"
"Customer Groups","Gruppi Di Clienti"
"Dash Every X Characters","Scatta Ogni X Caratteri"
"Date Expire","Data Di Scadenza"
"Date Start","Data Di Inizio"
"Default Label","Etichetta Predefinita"
"Default Rule Label for All Store Views","Etichetta regola predefinita per tutte le viste negozio"
"Description","Descrizione"
"Discount Amount","Importo Sconto"
"Discount Qty Step (Buy X)","Sconto Qtà Passo (Acquista X)"
"Edit Rule","Modifica Regola"
"Edit Rule '%s'","Modifica Regola '%s'"
"Excluding prefix, suffix and separators.","Escludendo prefisso, suffisso e separatori."
"Fixed amount discount","Sconto importo fisso"
"Fixed amount discount for whole cart","Sconto importo fisso per l'intero carrello"
"For matching items only","Solo per gli elementi corrispondenti"
"For shipment with matching items","Per la spedizione con articoli corrispondenti"
"FOUND","TROVATO"
"Free Shipping","Spedizione Gratuita"
"From Date","Dalla Data"
"General Information","Informazioni Generali"
"Generate","Genera"
"ID","ID"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Se %s %s %s per una sotto-selezione di articoli nel carrello corrispondenti %s di queste condizioni:"
"If an item is %s in the cart with %s of these conditions true:","Se un oggetto è %s nel carrello con %s di queste condizioni vero:"
"If empty no separation.","Se vuoto, nessuna separazione."
"If you select and save the rule you will be able to generate multiple coupon codes.","Se si seleziona e si salva la regola si sarà in grado di generare più codici coupon."
"Inactive","Inattivo"
"is assigned","è assegnato"
"is not assigned","non è assegnato"
"Item totals are not set for rule.","I totali degli oggetti non sono impostati per la regola."
"Labels","Etichette"
"Manage Coupon Codes","Gestisci Codici Coupon"
"Maximum Qty Discount is Applied To","Sconto Qtà massimo applicato a"
"New Rule","Nuova Regola"
"No","No"
"No Coupon","Nessun Coupon"
"NOT FOUND","NON TROVATO"
"NOT LOGGED IN","NON LOGGED IN"
"Not valid data provided","Dati non validi forniti"
"Number of Uses","Numero di utilizzi"
"Numeric","Numeric"
"Payment Method","Metodo Di Pagamento"
"Percent of product price discount","Percentuale di sconto prezzo prodotto"
"Period","Periodo"
"Price in cart","Prezzo nel carrello"
"Priority","Priorità"
"Product attribute combination","Combinazione attributo prodotto"
"Products subselection","Sottoselezione prodotti"
"Promotions","Promozioni"
"Public In RSS Feed","Pubblico In Feed Rss"
"Quantity in cart","Quantità nel carrello"
