"Additional Product Attributes","Attributi Di Prodotto Aggiuntivi"
"API Endpoint URL","API Endpoint URL"
"Authentication Type","Tipo Di Autenticazione"
"Auth Token","Auth Token"
"Bearer Token","Token Del Portatore"
"Custom Header","Intestazione Personalizzata"
"Custom Header Name","Nome Intestazione Personalizzata"
"Debug Mode","Modalità Debug"
"Displayed Error Message","Messaggio Di Errore Visualizzato"
"Enabled","Abilitato"
"None","Nessuno"
"Request Timeout (seconds)","Timeout Richiesta (secondi)"
"Select product attributes to include in the API request payload.","Seleziona gli attributi del prodotto da includere nel payload della richiesta API."
"Shipping Bridge","Ponte Di Spedizione"
"Ship to Applicable Countries","Nave verso i paesi applicabili"
"Ship to Specific Countries","Nave verso paesi specifici"
"Sort Order","Ordina"
"Title","Titolo"
