"Add","Aggiungi"
"Add New Row","Aggiungi nuova riga"
"Add links and samples to downloadable product","Aggiungi collegamenti e campioni a prodotto scaricabile"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Alfanumerici, trattini e caratteri di sottolineatura sono consigliati per i nomi dei file. Caratteri impopri vengono sostituiti con '_'."
"An error occurred while getting the requested content.","Si è verificato un errore durante la richiesta del contenuto richiesto."
"An error occurred while getting the requested content. Please contact the store owner.","Si è verificato un errore durante il recupero del contenuto richiesto. Si prega di contattare il proprietario del negozio."
"An error occurred while saving the file(s).","Errore durante il salvataggio dei file"
"Availability:","Disponibilita':"
"Back","Indietro"
"Canceled","Cancellato"
"Cannot connect to remote host, error: %s.","Non è possibile connettersi all'host remoto, errore: %s."
"Catalog Product View (Downloadable)","Vista Prodotto Catalogo (Scaricabile)"
"Category API","Categoria API"
"Customer My Account Downloadable Items","Cliente Il Mio Account Elementi Scaricabili"
"Date","Data"
"Default Link Title","Link titolo predefinito"
"Default Maximum Number of Downloads","Numero massimo predefinito di download"
"Default Sample Title","Titolo di esempio predefinito"
"Delete","Elimina"
"Disable Guest Checkout if Cart Contains Downloadable Items","Disattiva Checkout per ospiti se il carrello contiene prodotti scaricabili"
"Downloadable Information","Informazioni scaricabile"
"Downloadable Product","Prodotti scaricabili"
"Downloadable Product Options","Opzioni prodotto scaricabile"
"Edit","Modifica"
"Edit item parameters","Modificare i parametri del prodotto"
"Excl. Tax","Tasse escl."
"File","File"
"From:","Da:"
"Gift Message","Messaggio regalo"
"Go to <a href=""%s"">My Downloadable Products</a>","Vai a  <a href=""%s""> I miei prodotti scaricabili</a>"
"Guest checkout will only work with shareable.","Il checkout per ospiti funzionerà solo se è condivisibile."
"In stock","Disponibile"
"Incl. Tax","Tasse incl."
"Invalid download URL host.","Host URL di download non valido."
"Invalid download URL scheme.","Schema di URL di download non valido."
"Invalid download link type.","Tipo di link per il download non valido."
"Invoiced","Fatturati"
"Links can be purchased separately","I link possono essere acquistati separatamente"
"List","Lista"
"Max. Downloads","Downloads massimi"
"Message:","Messaggio:"
"Move","Sposta"
"Move to wishlist","Sposta nella lista dei desideri"
"My Downloadable Products","Prodotti scaricabili"
"Open Links in New Window","Apri link in una nuova finestra"
"Order #","Ordine n. "
"Order Item Status to Enable Downloads","Status elemento ordine per Abilitare i download"
"Order id cannot be null","Id ordine non può essere nullo"
"Order item id cannot be null","ID elemento ordine non può essere nullo"
"Ordered","Ordinato"
"Out of stock","Non Disponibile"
"Pending","In attesa"
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Si prega di accedere per scaricare il proprio prodotto o acquistare <a href=""%s"">%s</a>."
"Please log in to download your product.","Accedi al download del prodotto."
"Please set resource file and link type.","Imposta file risorsa e tipo link."
"Please specify product link(s).","Specifica i link prodotto."
"Price","Prezzo"
"Product downloadable links","Collegamenti di download del prodotto"
"Qty","Qtà"
"Refunded","Rimborsati"
"Remaining Downloads","Donwloads disponibili"
"Remove","Elimina"
"Remove Item","Rimuovi elemento"
"Remove links and samples from downloadable product","Rimuovi collegamenti e campioni da prodotto scaricabile"
"Requested link does not exist.","Il collegamento richiesto non esiste."
"Retrieve links and samples list from downloadable product","Recupera collegamenti e elenco campioni da prodotto scaricabile"
"SKU","Cod.Art."
"Sample","Esempio"
"See price before order confirmation.","Vedere il prezzo prima della conferma dell'ordine."
"Shareable","Condivisibile"
"Shipped","Spediti"
"Sorry, there was an error getting requested content. Please contact the store owner.","Si è verificato un errore durante il recupero il contenuto richiesto. Si prega di contattare il proprietario del negozio."
"Sort Order","Ordinamento"
"Start Download","Avvia Download"
"Status","Stato"
"Subtotal","Subtotale"
"The file does not exist.","Il file non esiste."
"The link has expired.","Il link è scaduto."
"The link is not available.","Il link non è disponibile."
"There are files that were selected but not uploaded yet. Please upload or remove them first","Ci sono file che sono stati selezionati ma non ancora caricati. Esegui l'upload o rimuovili prima."
"Title","Titolo"
"To:","A:"
"U","U"
"Unlimited","Illimitato"
"Update","Aggiorna"
"Use Content-Disposition","Usa disposizione contenuto"
"Use Default Value","Usa il valore predefinito"
"View Order","Visualizza ordine"
"What's this?","Cos'è questo?"
"You have not purchased any downloadable products yet.","Non hai ancora acquistato nessun prodotto scaricabile."
"attachment","allegato"
"download","Download"
"inline","in coda"
"sample","esempio"
