"* Required Fields","* Campi Obbligatori"
"-- No API Access --","-- Nessun Accesso Api --"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> richieste di accesso al tuo account"
"Admin","Amministratore"
"Admin API Access","Accesso Api Amministratore"
"After authorization application will have access to you account.","Dopo che l'applicazione di autorizzazione avrà accesso all'account."
"An error occurred.","Si è verificato un errore."
"An error occurred. Your authorization request is invalid.","Si è verificato un errore. La richiesta di autorizzazione non è valida."
"An error occurred on confirm authorize.","Si è verificato un errore nella conferma dell'autorizzazione."
"An error occurred on delete action.","Si è verificato un errore durante l'azione di eliminazione."
"An error occurred on reject authorize.","Si è verificato un errore nell'autorizzazione di rifiuto."
"An error occurred on saving consumer data.","Si è verificato un errore nel salvataggio dei dati del consumatore."
"An error occurred on update revoke status.","Si è verificato un errore durante lo stato di revoca dell'aggiornamento."
"An error occurred while deleting the consumer.","Si è verificato un errore durante l'eliminazione del consumatore."
"API Role","Ruolo API"
"Application Name","Nome Applicazione"
"Assign an API role to grant permissions. Manage roles at System > API > Roles.","Assegna un ruolo API per concedere i permessi. Gestisci i ruoli in Sistema > API > Ruoli."
"Authorization confirmed","Autorizzazione confermata"
"Authorization confirmed.","Autorizzazione confermata."
"Authorize","Autorizza"
"Authorize application","Autorizza l'applicazione"
"Authorized Tokens","Token Autorizzati"
"Callback URL","Callback URL"
"Cleanup Probability","Probabilità Di Pulizia"
"Cleanup Settings","Impostazioni Di Pulizia"
"Close","Chiudi"
"Confirmation Of Authorization","Conferma Di Autorizzazione"
"Confirm token authorization for admin","Conferma l'autorizzazione token per l'amministratore"
"Confirm token authorization Pop Up for admin","Conferma autorizzazione token Pop Up per admin"
"Consumer Information","Informazione Dei Consumatori"
"Consumer Name","Nome Del Consumatore"
"Consumers","Consumatori"
"Created At","Creato Il"
"Current Admin Password","Password Attuale Dell'Amministratore"
"Customer","Cliente"
"Delete","Elimina"
"deleted","eliminato"
"Disable","Disabilita"
"Disabled","Disabilitato"
"Edit","Modifica"
"Edit Consumer","Modifica Consumatore"
"Email","Email"
"Email Address","Indirizzo Email"
"Enable","Abilita"
"Enabled","Abilitato"
"enabled","abilitato"
"Entry with ID #%s not found.","Voce con ID #%s non trovata."
"Expiration Period","Periodo Di Scadenza"
"Expires","Scade"
"Expires At","Scade Il"
"Give the verifier code to application administrator","Dare il codice del verificatore all'amministratore dell'applicazione"
"ID","ID"
"Invalid ID parameter.","Parametro ID non valido."
"Key","Chiave"
"Last Used","Ultimo Utilizzato"
"Leave empty for no expiration","Lascia vuoto per nessuna scadenza"
"Log In","Log In"
"Login","Accedi"
"Log in as admin","Accedi come amministratore"
"Log in to use <strong>%s</strong>","Accedi per utilizzare <strong>%s</strong>"
"My Applications","Mie Applicazioni"
"My Apps","Le Mie Applicazioni"
"Name","Nome"
"New Consumer","Nuovo Consumatore"
"OAuth","OAuth"
"OAuth Admin My Apps","OAuth Admin My Apps"
"OAuth authorization for admin","Autorizzazione OAuth per admin"
"OAuth authorization simple for admin","Autorizzazione OAuth semplice per l'amministratore"
"OAuth Authorized Tokens","Token Autorizzati OAuth"
"OAuth Consumers","Consumatori OAuth"
"Password","Password"
"Permissions","Permessi"
"Please login to proceed authorization.","Effettua il login per procedere all'autorizzazione."
"Please select needed row(s).","Si prega di selezionare le righe necessarie."
"Please select revoke status.","Seleziona lo stato di revoca."
"Protocol","Protocol"
"Reject","Rifiuta"
"Rejected Callback URL","Url Di Callback Rifiutato"
"Rejection Of Authorization","Rifiuto Autorizzazione"
"Reject token authorization for admin","Rifiuta l'autorizzazione token per l'amministratore"
"Reject token authorization Pop Up for admin","Reject token authorization Pop Up for admin"
"Revoked","Revoked"
"revoked","revoked"
"Role Name","Nome Ruolo"
"Save","Salva"
"Save and Continue Edit","Salva e continua a modificare"
"Secret","Segreto"
"Selected entries enabled.","Voci selezionate abilitate."
"Selected entries has been deleted.","Le voci selezionate sono state eliminate."
"Selected entries revoked.","Voci selezionate revocate."
"Select stores this consumer can access. Leave empty for all stores.","Seleziona i negozi che il consumatore può accedere. Lascia vuoto per tutti i negozi."
"Status","Stato"
"Store Access","Accesso Negozio"
"System","Sistema"
"The application access request is rejected.","La richiesta di accesso all'applicazione è respinta."
"The consumer has been deleted.","Il consumatore è stato eliminato."
"The consumer has been saved.","Il consumatore è stato salvato."
"Token Status Change","Cambio Stato Token"
"Token Status Change Email Template","Token Status Modifica Email Template"
"Unable to find a consumer.","Impossibile trovare un consumatore."
"User ID","Id Utente"
"User Name","Nome Utente"
"User Type","Tipo Di Utente"
"Verifier code: %s","Codice verificatore: %s"
