"Alert Email Sender","Mittente email avviso"
"Alert subscription has been saved.","L'iscrizione agli avvisi è stato salvato."
"Allow Alert When Product Comes Back in Stock","Consenti avviso quando il prodotto è nuovamente disponibile"
"Allow Alert When Product Price Changes","Consenti avviso quando il prezzo del prodotto cambia"
"Click here not to receive alerts for this product","Click here not to receive alerts for this product"
"Error Email Recipient","Destinatario Email di errore"
"Error Email Sender","Mittente Email di errore"
"Error Email Template","Template Email di errore"
"Frequency","Frequenza"
"Not enough parameters.","Not enough parameters."
"Price:","Prezzo:"
"Price Alert Email Template","Template email avviso prezzo"
"Product Alerts","Avvisi prodotto"
"Product alerts Cron error","Notificche prodotto Errore Cron"
"Product Alerts Run Settings","Impostazioni funzionamento avvisi prodotto"
"Product price alert","Product price alert"
"Product stock alert","Product stock alert"
"Regular Price:","Regular Price:"
"Sign up for price alert","Sign up for price alert"
"Sign up to get notified when this product is back in stock","Sign up to get notified when this product is back in stock"
"Special price:","Special price:"
"Start Time","Ora di inizio"
"Stock Alert Email Template","Template email avviso inventario"
"The alert subscription has been deleted.","You will no longer receive price alerts for this product."
"The alert subscription has been saved.","The alert subscription has been saved."
"The product is not found.","The product was not found."
"The product was not found.","Il prodotto non è stato trovato."
"Unable to update the alert subscription.","Impossibile aggiornare l'iscrizione di avviso."
"Unsubscribe from all price alerts","Annulla l'iscrizione a tutti gli avvisi di prezzo"
"Unsubscribe from all stock alerts","Annulla l'iscrizione a tutti gli avvisi di disponibilità prodotti"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:"
"You will no longer receive price alerts for this product.","Non riceverai più avvisi di prezzo per questo prodotto."
"You will no longer receive stock alerts.","Non riceverai più avvisi di inventario."
"You will no longer receive stock alerts for this product.","Non riceverai più avvisi di inventario per questo prodotto."
