"# of Use","# di Utilizzo"
"%1$s incl tax.","%1$s tasse incluse."
"%s-%s of %s","%s-%s di %s"
"%s and above","%s e oltre"
"%s Item(s)","%s Articolo(i)"
"(%d)","(%d)"
"(Copy data from: %s)","(Copy data da: %s)"
"* Required Fields","* Campi Obbligatori"
"-- Please Select --","-- Seleziona --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 per impostazione predefinita, se non impostata. Per aggiornare istantaneamente, Pulisci la cache di output HTML dei blocchi."
"<strong style=""color:red"">Deprecated.</strong> Flat Catalog will be removed in a future version. Modern databases no longer require this optimization.","<strong style=""color:red"">Deprecato.</strong> Catalogo piatto verrà rimosso in una versione futura. I database moderni non richiedono più questa ottimizzazione."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Attenzione!</strong> L'applicazione della MAPPA per impostazione predefinita nasconderà tutti i prezzi dei prodotti nel frontend."
"Action","Azione"
"Active Filters","Filtri Attivi"
"Actual Price","Prezzo Effettivo"
"Add","Aggiungi"
"Add Attribute","Aggiungi Attributo"
"Add attribute into attribute set","Aggiungi attributo nel set di attributi"
"Add Design Change","Aggiungi Cambio Design"
"Add Group","Aggiungi Gruppo"
"Add group into attribute set","Aggiungi gruppo nel set di attributi"
"Add Group Price","Aggiungi Prezzo Gruppo"
"Additional Information","Ulteriori Informazioni"
"Additional Views","Visualizzazioni Aggiuntive"
"Add New","Aggiungi Nuovo"
"Add New Attribute","Aggiungi Nuovo Attributo"
"Add New Attribute Set","Aggiungi Nuovo Set Di Attributi"
"Add new custom option into product","Aggiungi una nuova opzione personalizzata al prodotto"
"Add New Group","Aggiungi Nuovo Gruppo"
"Add New Images","Aggiungi Nuove Immagini"
"Add New Option","Aggiungi Nuova Opzione"
"Add New Row","Aggiungi Nuova Riga"
"Add New Search Term","Aggiungi Nuovo Termine Di Ricerca"
"Add New Set","Aggiungi Nuovo Set"
"Add new values into custom option","Aggiungi nuovi valori all'opzione personalizzata"
"Add NOINDEX,FOLLOW to Filtered Layered Navigation Pages","Aggiungi NOINDEX,FOLLOW alle pagine di navigazione a livelli filtrati"
"Add NOINDEX,FOLLOW to Paginated Category Pages","Aggiungi NOINDEX,FOLLOW alle Pagine di Categoria Paginate"
"Add option","Aggiungi opzione"
"Add Product","Aggiungi Prodotto"
"Add Product To Websites","Aggiungi Prodotto Ai Siti Web"
"Add rel=""nofollow"" to Layered Navigation Filter Links","Aggiungi rel=""nofollow"" ai link dei filtri di navigazione a livelli"
"Add Root Category","Aggiungi Categoria Root"
"Add Subcategory","Aggiungi Sottocategoria"
"Add Tax","Aggiungi Tasse"
"Add Tier","Aggiungi Livello"
"Add to Cart","Aggiungi al carrello"
"Add to Compare","Aggiungi al confronto"
"Add to Wishlist","Aggiungi alla lista dei desideri"
"Alert Urls","Url Di Avviso"
"All","Tutti"
"ALL GROUPS","TUTTI I GRUPPI"
"Allow All Products per Page","Consenti tutti i prodotti per pagina"
"Allow Dynamic Media URLs in Products and Categories","Consenti URL di media dinamici nei prodotti e nelle categorie"
"Allowed File Extensions","Estensioni File Consentite"
"Allowed file extensions to upload","Estensioni file consentite da caricare"
"Allow HTML Tags on Frontend","Consenti tag HTML su Frontend"
"All products","Tutti i prodotti"
"All products - recently added products, New products - products marked as new","Tutti i prodotti - prodotti recentemente aggiunti, Nuovi prodotti - prodotti contrassegnati come nuovi"
"All Product Types","Tutti I Tipi Di Prodotto"
"All Websites","Tutti I Siti Web"
"Amount","Importo"
"Anchor Custom Text","Ancoraggio Testo Personalizzato"
"Anchor Custom Title","Ancora Titolo Personalizzato"
"and","e"
"and above","e sopra"
"An error occurred while adding products to websites.","Si è verificato un errore durante l'aggiunta di prodotti ai siti web."
"An error occurred while clearing comparison list.","Si è verificato un errore durante la cancellazione della lista di confronto."
"An error occurred while deleting this review.","Si è verificato un errore durante l'eliminazione di questa recensione."
"An error occurred while removing products from websites.","Si è verificato un errore durante la rimozione dei prodotti dai siti web."
"An error occurred while saving the attribute set.","Si è verificato un errore durante il salvataggio del set di attributi."
"An error occurred while saving the collection, aborting. Error message: %s","Si è verificato un errore durante il salvataggio della raccolta, annullamento. Messaggio di errore: %s"
"An error occurred while saving the product. ","Si è verificato un errore durante il salvataggio del prodotto. "
"An error occurred while saving the search query.","Si è verificato un errore durante il salvataggio della query di ricerca."
"An error occurred while saving the URL rewrite","Si è verificato un errore durante il salvataggio della riscrittura dell'URL"
"An error occurred while saving this review.","Si è verificato un errore durante il salvataggio della recensione."
"An error occurred while updating the product(s) attributes.","Si è verificato un errore durante l'aggiornamento degli attributi del prodotto."
"An error occurred while updating the product(s) status.","Si è verificato un errore durante l'aggiornamento dello stato del prodotto."
"An invalid group ID is specified, skipping the record.","È specificato un ID di gruppo non valido, saltando il record."
"An invalid option ID is specified for %s (%s), skipping the record.","Un ID di opzione non valido è specificato per %s (%s), saltando il record."
"An invalid store was specified.","È stato specificato un negozio non valido."
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Applicabile solo ai prodotti e alle categorie. Qualsiasi contenuto multimediale verrà inserito nell'editor come URL statico. Non viene aggiornato se cambia l'URL della configurazione di sistema."
"Apply","Applica"
"Apply MAP (Default Value)","Applica MAP (valore predefinito)"
"Apply price filter","Applica filtro prezzo"
"Apply To","Applica A"
"Approved","Approvato"
"A product type is not defined for the indexer.","Un tipo di prodotto non è definito per l'indicizzatore."
"Are you sure?","Sei sicuro?"
"Are you sure you want to delete this category?","Sei sicuro di voler eliminare questa categoria?"
"Are you sure you would like to remove all products from your comparison?","Sei sicuro di voler rimuovere tutti i prodotti dal tuo confronto?"
"Are you sure you would like to remove this item from the compare products?","Sei sicuro di voler rimuovere questo articolo dai prodotti di confronto?"
"Assign","Assegna"
"Assigned Products","Prodotti Assegnati"
"Assign product link","Assegna link prodotto"
"Assign product to category","Assegna prodotto alla categoria"
"Associated Products","Prodotti Associati"
"Attrib. Set Name","Nome Set Attributo"
"Attribute ""%s"" is invalid.","Attributo ""%s"" non valido."
"Attribute ""%s"" is required.","L'attributo ""%s"" è obbligatorio."
"Attribute add","Aggiunta attributo"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter. Do not use ""event"" for an attribute code.","Il codice dell'attributo non è valido. Usare solo lettere (a-z), numeri (0-9) o underscore(_) in questo campo, il primo carattere dovrebbe essere una lettera. Non usare ""event"" per un codice di attributo."
"Attribute Information","Informazioni Sull'Attributo"
"Attribute Name:","Nome Attributo:"
"Attribute remove","Rimuovi attributo"
"Attributes","Attributi"
"Attribute Set","Set Di Attributi"
"Attribute Sets","Set Di Attributi"
"Attribute with the same code already exists","L'attributo con lo stesso codice esiste già"
"Attrribute names can be specified per store.","I nomi delle attrazioni possono essere specificati per ogni negozio."
"Autogenerate","Autogenera"
"Availability:","Disponibilità:"
"Back","Indietro"
"Background Color","Colore Di Sfondo"
"Backorders","Backorders"
"Based On","Basato Su"
"Base Image Width","Larghezza Immagine Base"
"Before Order Confirmation","Prima Della Conferma Dell'Ordine"
"Best Value","Miglior Valore"
"Block after Info Column","Blocca dopo la colonna delle informazioni"
"Bottom/Left","Basso/Sinistra"
"Bottom/Right","Basso/Destra"
"Bottom Block Options Wrapper","Opzioni Di Blocco Inferiore"
"Bundle Items","Oggetti Bundle"
"Buy %1$s","Acquista %1$s"
"Buy %1$s for","Acquista %1$s per"
"Buy %1$s for %2$s","Acquista %1$s per %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Acquista %1$s per %2$s (%3$s tasse incluse) ciascuno"
"Buy %1$s for %2$s each","Acquista %1$s per %2$s ciascuno"
"Cache Lifetime (Seconds)","Durata Cache (Secondi)"
"Cache refresh needed.","È necessario aggiornare la cache."
"Can't create image.","Impossibile creare l'immagine."
"Can be Divided into Multiple Boxes for Shipping","Può essere diviso in più scatole per la spedizione"
"Can be used only with catalog input type Dropdown","Può essere utilizzato solo con il tipo di input di catalogo Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Può essere utilizzato solo con il tipo di input del catalogo Dropdown, Selezione multipla e Prezzo"
"Cancel","Annulla"
"Cannot create image.","Impossibile creare l'immagine."
"Cannot create writeable directory '%s'.","Impossibile creare la directory scrivibile '%s'."
"Cart Item Attribute","Attributo Articolo Carrello"
"Catalog","Catalogo"
"Catalog + Search","Catalogo + Ricerca"
"Catalog Category (Anchor)","Categoria Catalogo (Ancora)"
"Catalog Category (Non-Anchor)","Categoria Catalogo (Non-Anchor)"
"Catalog Category (Without Subcategories)","Categoria Catalogo (Senza Sottocategorie)"
"Catalog Category Link","Link Categoria Catalogo"
"Catalog New Products List","Elenco Nuovi Prodotti Catalogo"
"Catalog Price Scope","Campo Prezzo Catalogo"
"Catalog Product Compare List","Lista Confronta Prodotti Catalogo"
"Catalog product custom options API","Catalogo delle opzioni personalizzate del prodotto API"
"Catalog product custom option values API","Catalogo dei valori personalizzati delle opzioni del prodotto API"
"Catalog Product Email to a Friend","Catalogo Email prodotto ad un amico"
"Catalog Product Image Gallery Popup","Popup Galleria Immagini Del Catalogo"
"Catalog Product Link","Link Prodotto Catalogo"
"Catalog Product View (Any)","Visualizzazione Catalogo Prodotto (Qualsiasi)"
"Catalog Product View (Configurable)","Visualizzazione Catalogo Prodotto (Configurabile)"
"Catalog Product View (Grouped)","Visualizzazione Catalogo Prodotto (Gruppato)"
"Catalog Product View (Simple)","Visualizzazione Catalogo Prodotto (Semplice)"
"Catalog Product View (Virtual)","Visualizzazione Catalogo Prodotto (Virtuale)"
"Catalog Seo Sitemap (Category List)","Catalogo Seo Mappa Del Sito (Lista Di Categoria)"
"Catalog Seo Sitemap (Category Tree)","Catalogo Seo Mappa Del Sito (Albero Della Categoria)"
"Catalog Seo Sitemap (Common)","Catalogo Seo Sitemap (Comune)"
"Catalog Seo Sitemap (Product List)","Catalogo Seo Sitemap (Elenco Prodotti)"
"Catalog URL Rewrites","Url Del Catalogo Riscrive"
"Categories","Categorie"
"categories","categorie"
"Categories Sitemap","Sitemap Categorie"
"Category","Categoria"
"Category API","API Categoria"
"Category attributes API","Categoria attributi API"
"Category Data","Dati Categoria"
"Category delete error: %s","Errore eliminazione categoria: %s"
"Category Flat Data","Categoria Dati Piatti"
"Category ID","Id Categoria"
"Category is not dynamic.","La categoria non è dinamica."
"Category Link Block Template","Template Blocco Link Categoria"
"Category Link Inline Template","Template Inline Link Categoria"
"Category move error: %s","Errore spostamento categoria: %s"
"Category must be an instance of Mage_Catalog_Model_Category.","La categoria deve essere un'istanza di Mage_Catalog_Model_Categorory."
"Category not found.","Categoria non trovata."
"Category Products","Prodotti Categoria"
"Category save error: %s","Errore di salvataggio categoria: %s"
"Category Top Navigation","Categoria Navigazione Superiore"
"Category URL Suffix","Suffisso Url Categoria"
"Category was not found.","Categoria non trovata."
"Center","Centro"
"Change","Cambia"
"Change Attribute Set","Cambia Set Attributi"
"Change or Retrieve attribute store view","Cambia o Recupera la vista dell'archivio attributi"
"Change status","Cambia stato"
"Changing the attribute set may result in data loss for attributes that do not exist in the new set. Are you sure?","Cambiare il set di attributi può comportare una perdita di dati per gli attributi che non esistono nel nuovo set. Sei sicuro?"
"Check items to add to the cart or","Spunta gli elementi da aggiungere al carrello o"
"Choose an Option...","Scegli un'opzione..."
"Clear All","Cancella Tutto"
"Clear Price","Cancella Prezzo"
"Click for price","Clicca per il prezzo"
"Close Window","Chiudi Finestra"
"Collapse All","Comprimi Tutto"
"Comma-separated.","Separazione virgola."
"Comparable","Comparabile"
"Comparable on Front-end","Comparabile sul front-end"
"Comparable on the Frontend","Comparabile su Frontend"
"Compare","Confronta"
"Compare Products","Confronta Prodotti"
"Conditions","Condizioni"
"Conditions Combination","Combinazione Di Condizioni"
"Configurable","Configurabile"
"Configurable Product Settings","Impostazioni Prodotto Configurabili"
"Continue","Continua"
"Controls display of Add to Cart and View Details buttons in category pages and product lists. When disabled, only product names and images will be clickable.","Controlla la visualizzazione dei pulsanti Aggiungi al carrello e Visualizza dettagli nelle pagine delle categorie e nelle liste dei prodotti. Se disabilitato, saranno cliccati solo i nomi dei prodotti e le immagini."
"Copy From Configurable","Copia Da Configurabile"
"Country/State","Paese/Stato"
"Create","Crea"
"Create (Upload)","Crea (Upload)"
"Create attribute set based on another set","Crea set di attributi basato su un altro set"
"Create Empty","Crea Vuoto"
"Create new attribute","Crea nuovo attributo"
"Create new category","Crea nuova categoria"
