"Add Recipient","Adicionar Destinatário"
"Allow for Guests","Permitir para convidados"
"An invalid email address for recipient was entered.","Foi inserido um endereço de e-mail inválido para o destinatário."
"At least one recipient must be specified.","Pelo menos um destinatário deve ser especificado."
"Back","Anterior"
"Catalog Product Email to a Friend","Catálogo de Produtos E-mail para um Amigo"
"Email Address","Endereço de e-mail"
"Email Address:","Endereço de E-mail:"
"Email Templates","Modelos De E-Mail"
"Email to a Friend","Enviar por E-mail a um Amigo"
"Email:","Email:"
"Enabled","Ativado"
"Invalid Sender Information","Informação inválida do remetente"
"Invalid sender email.","Invalid sender email."
"Limit Sending By","Limite de Envio por"
"Max Products Sent in 1 Hour","Número máximo de produtos enviados em 1 hora"
"Max Recipients","Adicionar Destinatários"
"Maximum %d email addresses allowed.","Máximo de endereços %d de e-mail permitido."
"Message:","Mensagem:"
"Name","Nome:"
"Name:","Nome:"
"No more than %d emails can be sent at a time.","Não podem ser enviados mais do que %d e-mails de cada vez."
"Please define a correct Cookie instance.","Por favor defina uma instância de Cookie correta."
"Please define a correct Product instance.","Por favor, defina uma instância correta do produto."
"Please define the correct Sender information.","Defina as informações corretas do remetente."
"Recipient:","Destinatário:"
"Remove Email","Remove Email"
"Select Email Template","Selecione Modelo De E-Mail"
"Send Email","Enviar e-mail"
"Send product to a friend","Enviar produto a um amigo"
"Sender:","Remetente:"
"Some emails were not sent.","Alguns emails não foram enviados."
"The link to a friend was sent.","O link foi enviado para um amigo."
"The message cannot be empty.","A mensagem não pode estar vazia."
"The messages cannot be sent more than %d times in an hour","As mensagens não podem ser enviadas mais do que %d vezes em uma hora"
"The sender name cannot be empty.","O nome do remetente não pode estar vazio."
"There were some problems with the data.","Houve alguns problemas com os dados."
"You have exceeded limit of %d sends in an hour","Você excedeu o limite de %d enviar em uma hora"
