"%d country(s) were skipped because they no longer exist.","%d country(s) were skipped because they no longer exist."
"%d region(s) were skipped because they have existing region names.","%d region(s) were skipped because they have existing region names."
"-- Please select --","-- Por favor selecione --"
"A country with this ID already exists.","Já existe um país com esse ID."
"Add New Country","Adicionar Novo País"
"Add New Region","Adicionar Novo Região"
"Add Translation","Adicionar tradução"
"Allowed Currencies","Moedas Permitidas"
"An invalid base currency has been entered.","Uma moeda base inválida foi indicada."
"API Access Key","Chave de Acesso API"
"API Key","Chave de API"
"A region name for this locale and region combination already exists.","Um nome de região para esta combinação local e região já existe."
"A region with code ""%s"" already exists in this country.","Uma região com código ""%s"" já existe neste país."
"Are you sure you want to delete the selected countries?","Você tem certeza que deseja excluir os países selecionados?"
"Are you sure you want to delete the selected region names?","Você tem certeza que deseja excluir os nomes das regiões selecionadas?"
"Are you sure you want to delete the selected regions?","Você tem certeza que deseja excluir as regiões selecionadas?"
"Are you sure you want to delete this country?","Tem certeza de que deseja excluir este país?"
"Are you sure you want to delete this region?","Tem certeza que deseja excluir esta região?"
"Base Currency","Moeda Padrão"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","A moeda base é usada para todas as transações de pagamento online. Escopo é definido pelo escopo do preço do catálogo (""Catálogo"" > ""Preço"" > ""Escopo do Preço do Catálogo"")."
"Cannot delete region with existing region names. Please delete all region names first.","Não é possível excluir região com nomes de região existentes. Por favor, delete todos os nomes de região primeiro."
"Close","FECHAR"
"Connection Timeout in Seconds","Tempo limite da conexão em segundos"
"Continue &raquo;","Continuar &raquo;"
"Countries","Países"
"Country","País/região"
"Country and Format Type combination should be unique","A combinação de país e tipo de formato deve ser única"
"Country API","API do País"
"Country ID","ID do País"
"Country ID cannot be changed after creation","ID do país não pode ser alterado após a criação"
"Country ID is required.","ID do país é obrigatório."
"Country ID must be exactly 2 uppercase letters.","ID do país deve ter exatamente 2 letras maiúsculas."
"Country Information","Informação do país"
"Country is required.","País é obrigatório."
"Country Name","Nome do País"
"Currency","moeda"
"CurrencyConverterAPI","Moeda ConverterAPI"
"Currency Options","Opções de Moeda"
"Currency rates can't be retrieved.","Taxas de câmbio não podem ser recuperadas."
"Currency rate service error: %s","Erro de serviço de taxa de moeda: %s"
"Currency Setup","Configuração de Moeda"
"Currency Update Warnings","Avisos Atualização de Moedas"
"Default: only add new locales","Padrão: adicionar apenas novas localidades"
"Default Display Currency","Moeda de exibição padrão"
"Default Name","Nome padrão"
"Default name cannot be longer than 255 characters.","O nome padrão não pode ter mais de 255 caracteres."
"Default name for this region in English","Nome padrão para esta região em inglês"
"Default name is required.","O nome padrão é obrigatório."
"Delete Country","Excluir país"
"Delete Region","Excluir Região"
"Directory","Diretório"
"Directory Management","Gerenciamento de diretórios"
"Display not required State","Estado não obrigatório"
"Edit Country","Editar País"
"Edit Country ""%s""","Editar País ""%s"""
"Edit Region","Editar Região"
"Edit Region ""%s""","Editar Região ""%s"""
"Enabled","Ativado"
"Error:","Erro:"
"Error Email Recipient","Erro Destinatário do E-mail"
"Error Email Sender","Error Email Sender"
"Error Email Template","Erro modelo de E-mail"
"FATAL ERROR:","Erro FATAL:"
"Frequency","Frequência"
"Hold Ctrl/Cmd to select multiple countries","Segure Ctrl/Cmd para selecionar vários países"
"Hold Ctrl/Cmd to select multiple locales","Pressione Ctrl/Cmd para selecionar múltiplas localidades"
"Import","Importação"
"Import completed successfully.","Importação concluída com sucesso."
"Import Regions","Regiões de importação"
"Import Results","Resultados da importação"
"Installed Currencies","Moedas Instaladas"
"Invalid country code: %s","Código de país inválido: %s"
"Invalid Import Service specified.","Serviço de importação especificado inválido."
"Invalid rates received","Taxas inválidas recebidas"
"Invalid target currency.","Moeda de destino inválida."
"ISO2 Code","ISO2 Code"
"ISO2 code is required.","O código ISO2 é obrigatório."
"ISO2 code must be exactly 2 uppercase letters.","O código ISO2 deve ter exatamente 2 letras maiúsculas."
"ISO3 Code","ISO3 Code"
"ISO3 code is required.","O código ISO3 é obrigatório."
"ISO3 code must be exactly 3 uppercase letters.","O código ISO3 deve ter exatamente 3 letras maiúsculas."
"List of countries","Lista de países"
"List of regions in specified country","Lista de regiões no país especificado"
"Locale and region name are required.","Localidade e nome da região são obrigatórios."
"Locale is required.","Localidade é necessária."
"Locales","Locales"
"Localized Name","Nome localizado"
"Localized name for this region","Nome localizado para esta região"
"Manage Countries","Gerenciar países"
"Manage Directory","Gerenciar diretório"
"Manage Regions","Gerenciar regiões"
"Manage Translations","Gerenciar traduções"
"New Country","Novo país"
"New Region","Nova Região"
"No API Key was specified or an invalid API Key was specified.","Não foi especificada uma API Key ou foi especificada uma API Key inválida."
"One or more invalid symbols have been specified.","Um ou mais símbolos inválidos foram especificados."
"Please select at least one country.","Por favor, selecione pelo menos um país."
"Please select at least one locale.","Por favor, selecione pelo menos uma localidade."
"Please select country(s).","Por favor, selecione o(s) país(s)."
"Please select region(s).","Selecione região(s)."
"Please select region name(s).","Por favor, selecione o nome da região."
"Popular","Populares"
"Postal Code is Optional for the following countries","Código postal é opcional para os seguintes países"
"Preview changes without importing (Dry Run)","Alterações de pré-visualização sem importar (Dry Run)"
"Region","Região"
"Region API","API da Região"
"Region Code","Código da região"
"Region code cannot be longer than 32 characters.","Código da região não pode ter mais de 32 caracteres."
"Region ID","ID da Região"
"Region Information","Informações da Região"
"Region name cannot be longer than 255 characters.","O nome da região não pode ter mais de 255 caracteres."
"Region name is required.","Nome da região é obrigatório."
"Regions","Regiões"
"Running...","Correndo..."
"Running import...","Importação em andamento..."
"Save Country","Salvar País"
"Save Region","Salvar Região"
"Scheduled Import Settings","Configurações de importação agendada"
"Selected country does not exist.","O país selecionado não existe."
"Service","Serviço"
"Short code for this region (e.g. CA, NY, TX)","Código curto para esta região (por exemplo, CA, NY, TX)"
"Shows what would be imported without making actual changes","Mostra o que seria importado sem fazer alterações reais"
"Start Time","Horário de Início"
"State/Province","Estado/província"
"State is required for","O estado é obrigatório para"
"States Options","Opções de Estados"
"System","SISTEMA"
"The ""%s"" is not allowed as base currency for your subscription plan.","O ""%s"" não é permitido como moeda base para o seu plano de assinatura."
"The account this API request is coming from is inactive.","A conta da qual está vindo esta requisição de API está inativa."
"The country has been deleted.","O país foi excluído."
"The country has been saved.","O país foi salvo."
"The current request did not return any results.","A requisição atual não retornou nenhum resultado."
