"-- Please Select --","-- Por favor, selecione --"
"Add to Cart","Adicionar ao carrinho"
"Are you sure to delete this fallback color?","Are you sure to delete this fallback color?"
"Choose an Option...","Escolha uma Opção..."
"Configurable Swatches","Configurable Swatches"
"Dynamic Price Change for Swatches in Product Listing","Dynamic Price Change for Swatches in Product Listing"
"Enabled","Ativo"
"General Settings","Definições Gerais"
"Height","Altura"
"Innermost dimensions, not including border, in pixels","Innermost dimensions, not including border, in pixels"
"In Stock","Em Stock"
"Out of Stock","Sem Stock"
"Previous","Anterior"
"Product Attributes to Show as Swatches in Product Detail","Product Attributes to Show as Swatches in Product Detail"
"Product Attribute to Use for Swatches in Product Listing","Product Attribute to Use for Swatches in Product Listing"
"Remove This Item","Remover Este Item"
"Swatch","Amostra"
"Swatch Dimensions in Layered Navigation","Swatch Dimensions in Layered Navigation"
"Swatch Dimensions in Product Listing","Swatch Dimensions in Product Listing"
"Swatch Dimensions on Product Detail Page","Swatch Dimensions on Product Detail Page"
"Width","Largura"
