"%s items queued for embedding.","%s itens na fila para incorporação."
"Action","Acão"
"AI","AI"
"AI: could not refresh models for %s. See exception.log.","AI: não pôde atualizar modelos para %s. Veja exception.log."
"AI: refreshed %d models for %s.","AI: Atualizado modelos %d para %s."
"AI Configuration","Configuração de IA"
"AI Task #%s","AI Task #%s"
"AI Task History","AI Task History"
"AI Usage","Uso de IA"
"already queued","já enfileirado"
"Async Queue","Fila assíncrona"
"Auto-embed Categories","Categorias auto-incorporadas"
"Auto-embed Products","Produtos para Auto-incorporação"
"Back","Anterior"
"Background","Fundo"
"Blocked Input Patterns","Padrões de entrada bloqueados"
"Calls","chamadas"
"Cancelled","Cancelado"
"Categories (%s active)","Categorias (%s ativas)"
"Complete","Complete"
"Completed","Concluído"
"Completion","Conclusão"
"Consumer","Cliente"
"Context","Contexto"
"Current Configuration","Configuração atual"
"Default AI Provider","Default AI Provider"
"Default Placeholder Height","Altura padrão do marcador"
"Default Placeholder Width","Espaço reservado padrão"
"Disabled","Desabilitado"
"e.g. http://localhost:11434","e.g. http://localhost:11434"
"e.g. openai/gpt-4o, anthropic/claude-sonnet-4-6, google/gemini-2.0-flash","ex.: openai/gpt-4o, anthropic/claude-sonnet-4-6, google/gemini-2.0-flash"
"Embedding","Embedding"
"Embeddings","Embutidos"
"Embeddings are disabled. Enable them under System &gt; AI &gt; Embed Settings before queuing.","As incorporações estão desativadas. Habilite-as em sistema &gt; IA &gt; Configurações incorporadas antes da fila."
"Embed Provider","Provedor Incorporado"
"Embed Status","Incorporar Status"
"Enable Async Queue","Habilitar fila assíncrona"
"Enabled","Ativado"
"Enable Embeddings","Habilitar incorporações"
"Enable Image Generation","Habilitar geração de imagens"
"Error","ERRO"
"Error: ","Erro: "
"Estimated completion: ~%d hours %d minutes.","Conclusão estimada: ~%d horas %d minutos."
"Estimated completion: ~%d minutes.","Conclusão estimada: ~%d minutos."
"Failed","Falhou"
"Failed to fetch models. See exception.log for details.","Falha ao buscar modelos. Veja exception.log para detalhes."
"Fetching...","Buscando..."
"Flag responses containing email addresses, phone numbers, or SSNs.","Respostas marcadas contendo endereços de e-mail, números de telefone ou SSNs."
"Google Embed Model","Modelo Google Embed"
"ID","ID"
"Image","Imagem:"
"Image Generation","Geração de imagem"
"Image Provider","Provedor da Imagem"
"Input Tokens","Input Tokens"
"Interactive","Interativo"
