"Actions","Ações"
"An error occurred while marking notification as read.","Ocorreu um erro ao marcar notificação como lida."
"An error occurred while marking the messages as read.","Ocorreu um erro ao marcar as mensagens como lidas."
"An error occurred while removing messages.","Ocorreu um erro ao remover mensagens."
"An error occurred while removing the message.","Ocorreu um erro ao remover a mensagem."
"Are you sure?","Tem a certeza?"
"critical","crítico"
"Date Added","Data de Adição"
"Last Update","Última Atualização"
"major","alto"
"Mark as Read","Marcar como Lido"
"Mark as read","Marcar como lido"
"Message","Mensagem"
"Messages Inbox","Caixa de entrada de mensagens"
"minor","baixo"
"notice","aviso"
"Notifications","Notificações"
"Please select messages.","Por favor, seleccione as mensagens."
"Read Details","Ver Detalhes"
"Remove","Eliminar"
"Severity","Gravidade"
"Show List","Mostrar Lista"
"Show Toolbar","Mostrar Barra de Ferramentas"
"The message has been marked as read.","A mensagem foi marcada como lida."
"The message has been removed.","A mensagem foi removida."
"Total of %d record(s) have been marked as read.","Total de %d registo(s) foram marcados como lidos."
"Total of %d record(s) have been removed.","Total de %d registo(s) foram removidos."
"Unable to proceed. Please, try again.","Não é possível prosseguir. Por favor, tente novamente."
"Update Frequency","Frequência de Atualização"
"Wrong message type","Tipo de mensagem errada"
