"%d product(s) were updated","%d produto(s) foram atualizados"
"%s (Default Template from Locale)","%s (Modelo Padrão do Local)"
"%s cache type(s) disabled.","Tipo(s) de cache %s desativado."
"%s cache type(s) enabled.","Tipo(s) de cache %s habilitado."
"%s cache type(s) refreshed.","Tipo de cache %s atualizado."
"(%s/%s/%s)","(%s/%s/%s)"
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(Para o Tipo ""Servidor Local"" precisa usar um caminho relativo da instalação do Magento var/export ou var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(Para Nomes de estado dos EUA 2-letras)"
"(If left empty will be auto-generated)","(Se deixado em branco será gerado automaticamente)"
"(Leave empty for first spreadsheet)","(Deixe vazio para a primeira planilha)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produtos serão adicionados/atualizados para loja se a coluna 'store' estiver em branco ou ausente no arquivo de importação.)"
"(Starting with)","(Iniciando com)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Quando 'Não', apenas campos mapeados serão importados. Quando mapeando, use 'column1', 'column2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Você precisa aumentar o limite de memória do php antes de alterar este valor)"
"(\\t for tab)","(\\t na aba)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - Se a indexação estiver em andamento, ela será interrompida e uma nova indexação será iniciada."
"* Required Fields","* Campos obrigatórios"
"-- Not Selected --","-- Não selecionado --"
"-- Please Select --","-- Por favor selecione --"
"-- Please select --","-- Por favor selecione --"
"--Please Select--","--Por Favor Selecione--"
"-- Please Select a Category --","-- Por favor, selecione uma categoria --"
"-- Please Select Billing Agreement--","Selecione o Contrato de Faturamento -"
"1 Hour","1 hora"
"2 Hours","2 horas"
"2FA verification code:","Código de verificação 2FA:"
"2FA verification code is invalid.","Código de verificação 2FA inválido."
"2YTD","2YTD"
"6 Hours","6 horas"
"12 Hours","12 horas"
"12h AM/PM","12 h AM/PM"
"24 Hours","24 horas"
"24h","24h"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","Erro <h1 class=""page-heading"">404</h1><p>Página não encontrada.</p>"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> solicita acesso à sua conta"
"Abandoned Carts","Carrinhos abandonados"
"Access Denied","Acesso negado"
"Access denied","Acesso negado"
"Access denied.","Acesso negado!"
"Account Created in:","Conta criada em:"
"Account Created on (%s):","Conta criada em (%s):"
"Account Created on:","Conta criada em:"
"Account Information","Informações da Conta"
"Account Status","Status da conta"
"Account status","Status da conta"
"Action","Acão"
"Actions","Ações."
"Actions XML","Ações XML"
"Active","ativo"
"Add","Adicionar"
"Add after","Adicionar depois"
"Add Exception","Adicionar exceção"
"Add Field Mapping","Adicionar Mapeamento de Campo"
"Add Field with URL:","Adicionar Campo com URL:"
"Additional Cache Management","Gerenciamento Adicional de Cache"
"Add New","Adicionar novo"
"Add New Block","Adicionar novo bloco"
"Add New Image","Adicionar Nova Imagem"
"Add New Profile","Adicionar Novo Perfil"
"Add New Role","Adicionar Nova Função"
"Add New Template","Adicionar Novo Modelo"
"Add New URL Rewrite","Adicionar Nova Reescrita de URL"
"Add New User","Adicionar Novo Usuário"
"Add New Variable","Adicionar Nova Variável"
"Add new variable","Adicionar nova variável"
"Add Products","Adicionar produtos"
"Address Type:","Tipo de endereço:"
"Add URL Rewrite","Adicionar Reescrita de URL"
"Add URL Rewrite for a Category","Adicionar Reescrita de URL para uma Categoria"
"Add URL Rewrite for a Product","Adicionar Reescrita de URL para um Produto"
"Admin","Administrador"
"Advanced Profiles","Perfis avançados"
"After authorization application will have access to you account.","Após o aplicativo de autorização terá acesso à sua conta."
"Alert","Avisos"
"All","TODOS"
"All Allowed Countries","Todos os países permitidos"
"All Cache","Todo o Cache"
"All countries","Todos os países"
"All fields","Todos os campos"
"Allowed","Permitido"
"All possible rates were fetched, please click on ""Save"" to apply","Todas as taxas possíveis foram obtidas, por favor clique em ""Salvar"" para aplicar"
"All rates were fetched, please click on ""Save"" to apply","Todas as taxas foram obtidas, por favor, clique em ""Salvar"" para aplicar"
"All Reviews","Todos os Comentários"
"All Store Views","Todas as Visões de Loja"
"All Tags","Todas as Tags"
"All valid rates have been saved.","Todos os preços válidos foram salvos."
"All Websites","Todos os sites"
"Alt text:","Texto alternativo:"
"Always (during development)","Sempre (durante desenvolvimento)"
"Amounts","Montantes"
" and "," e "
"An error occurred: %s","Ocorreu um erro: %s"
"An error occurred while adding condition.","Ocorreu um erro ao adicionar a condição."
"An error occurred while clearing the configurable swatches image cache.","Ocorreu um erro ao limpar o cache de imagens do swatches configuráveis."
"An error occurred while clearing the image cache.","Ocorreu um erro ao limpar o cache de imagens."
"An error occurred while clearing the minified CSS/JS cache.","Ocorreu um erro ao limpar o cache de CSS/JS minificado."
"An error occurred while deleting email log entries.","Ocorreu um erro ao excluir as entradas de log de e-mail."
"An error occurred while deleting email template data. Please review log and try again.","Ocorreu um erro ao excluir os dados do modelo de e-mail. Por favor, revise o log e tente novamente."
"An error occurred while deleting record(s).","Ocorreu um erro ao excluir registro(s)."
"An error occurred while deleting this role.","Ocorreu um erro ao excluir esta função."
"An error occurred while deleting this set.","Ocorreu um erro ao excluir este conjunto."
"An error occurred while deleting this template.","Ocorreu um erro ao excluir este modelo."
"An error occurred while deleting URL Rewrite.","Ocorreu um erro ao excluir a reescrita de URL."
"An error occurred while finishing process. Please refresh the cache","Ocorreu um erro ao finalizar o processo. Atualize o cache"
"An error occurred while logging in.","Ocorreu um erro ao fazer login."
"An error occurred while rebuilding the catalog index.","Ocorreu um erro ao reconstruir o índice do catálogo."
"An error occurred while rebuilding the CatalogInventory Stock Status.","Ocorreu um erro ao reconstruir o estado das ações de CatalogInventário."
"An error occurred while rebuilding the flat catalog category.","Ocorreu um erro ao reconstruir a categoria de catálogo plana."
"An error occurred while rebuilding the flat product catalog.","Ocorreu um erro ao reconstruir o catálogo de produtos planos."
"An error occurred while rebuilding the search index.","Ocorreu um erro ao reconstruir o índice de pesquisa."
"An error occurred while refreshing roles.","Ocorreu um erro ao atualizar os papéis."
"An error occurred while refreshing the Catalog Rewrites.","Ocorreu um erro ao atualizar a Reescrita de Catálogo."
"An error occurred while refreshing the catalog rewrites.","Ocorreu um erro ao atualizar a reescrita do catálogo."
"An error occurred while refreshing the Layered Navigation indices.","Ocorreu um erro ao atualizar os índices de Navegação em Camadas."
"An error occurred while refreshing the layered navigation indices.","Ocorreu um erro ao atualizar o índice de navegação em camadas."
"An error occurred while saving account.","Ocorreu um erro ao salvar a conta."
"An error occurred while saving review.","Ocorreu um erro ao salvar a avaliação."
"An error occurred while saving the customer.","Ocorreu um erro ao salvar o cliente."
"An error occurred while saving this configuration:","Ocorreu um erro ao salvar esta configuração:"
"An error occurred while saving this role.","Ocorreu um erro ao salvar esta função."
"An error occurred while saving this template.","Ocorreu um erro ao salvar este modelo."
"An error occurred while saving URL Rewrite.","Ocorreu um erro ao salvar Reescrita de URL."
"An error occurred while sending the test email.","Ocorreu um erro ao enviar o e-mail de teste."
"An error occurred while updating the email address.","Ocorreu um erro ao atualizar o endereço de e-mail."
"An error occurred while updating the selected review(s).","Ocorreu um erro durante a atualização das avaliações selecionadas."
"Any","Qualquer"
"Any Attribute Set","Qualquer Conjunto de Atributo"
"Any Group","Qualquer grupo"
"Any Status","Qualquer Status"
"Any Type","Qualquer Tipo"
"Any Visibility","Qualquer Visibilidade"
"API Key","Chave de API"
"API Key Confirmation","Confirmação de Chave API"
"Archive file name:","Nome do arquivo:"
"Area","área"
"Are you sure you want to delete the selected URL rewrites?","Você tem certeza que deseja excluir as reescrita de URL selecionadas?"
"Are you sure you want to do this?","Tem certeza de que deseja fazer isso?"
"ASCII","ASCII"
"Assigned","Atribuído"
"Associated Tags","Tags Associadas"
"At least one currency has to be allowed.","Pelo menos uma moeda deve ser permitida."
"Attributes","Atributos"
"Attribute Set Name:","Nome do Conjunto de Atributo:"
"A user with the same user name or email already exists.","Um usuário com o mesmo nome de usuário ou e-mail já existe."
"Authorization confirmed","Autorização confirmada"
"Authorize","Autorizar"
