"%s file does not exists or is not readable","O arquivo %s não existe ou não é legível"
"-- Please Select --","-- Por favor selecione --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Adaptador deve ser uma instância de Mage_ImportExport_Model_Importar_Adapter_Abstract"
"Adapter object must be an instance of %s","O objeto do adaptador deve ser uma instância de %s"
"Adapter type must be a non empty string","O tipo de adaptador deve ser uma string não vazia"
"Append Complex Data","Acrescentar dados complexos"
"Attribute Code","Código do Atributo"
"Attribute does not has options, so filtering is impossible","Atributo não tem opções, portanto é impossível filtrar"
"Attribute Label","Nome do Atributo"
"Auto_increment column not found for table %s","Coluna Auto_increment não encontrada para a tabela %s"
"Begin data validation","Iniciar validação dos dados"
"Begin export of %s","Iniciar exportação de %s"
"Begin import of ""%s"" with ""%s"" behavior","Iniciar importação de ""%s"" com comportamento ""%s"""
"Can not determine attribute filter type","Não é possível determinar o tipo de filtro de atributo"
"Can not find required columns: %s","Não foi possível encontrar colunas necessárias: %s"
"Cannot get table status for %s","Não foi possível obter o status da tabela para %s"
"Categories","categorias"
"Check Data","Verificar dados"
"Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d","Linhas verificadas: %d, entidades verificadas: %d, registros inválidos: %d, total de erros: %d"
"Column names: ""%s"" are invalid","Nomes de colunas: ""%s"" são inválidos"
"Column names have duplicates","Nomes de coluna possuem duplicatas"
"Column names is empty or is not an array","O nome da coluna está vazio ou não é uma matriz"
"CSV","Csv"
"Customers","clientes"
"Data is invalid or file is not uploaded","Dados inválidos ou o arquivo não é carregado"
"Delete Entities","Excluir Entidades"
"Destination directory is not writable","O diretório de destino não é gravável"
"Destination file is not writable","O arquivo de destino não é gravável"
"Destination file path must be a string","O caminho do arquivo de destino deve ser uma string"
"Done import data validation","Validação de dados de importação concluída"
"Duplicate Unique Attribute for '%s'","Atributo único duplicado para '%s'"
"Each data row must be an array","Cada linha de dados deve ser uma matriz"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","O objeto adaptador de entidade deve ser uma instância de Mage_ImportExport_Model_Importar_Entidade_Abstract"
"Entity is unknown","A entidade é desconhecida"
"Entity Type","Tipo de entidade"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","O modelo do tipo de entidade deve ser uma instância de Mage_ImportExport_Model_Exportar_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","O modelo do tipo de entidade deve ser uma instância de Mage_ImportExport_Model_Importar_Entity_Type_Abstract"
"Error in data structure: behaviors are mixed","Erro na estrutura de dados: comportamentos misturados"
"Error in data structure: entity codes are mixed","Erro na estrutura de dados: os códigos das entidades estão misturados"
"Errors limit (%d) reached. Please fix errors and re-upload file","Limite de erros (%d) atingido. Por favor, corrija os erros e reenvie o arquivo"
"Escape CSV fields","Campos Escape CSV"
"Export","Exportação"
"Exported %s rows.","Registros %s exportados."
"Export File Format","Formato de arquivo exportado"
"Export has been done.","A exportação foi feita."
"Export Settings","Configurações de exportação"
"File does not contain data.","O arquivo não contém dados."
"File does not contain data. Please upload another one","Arquivo não contém dados. Por favor, envie outro"
"File format is unknown","O formato de arquivo é desconhecido"
"File is partially valid, but import is not possible","O arquivo é parcialmente válido, mas não é possível importar"
"File is totally invalid. Please fix errors and re-upload file","Arquivo é totalmente inválido. Por favor corrija os erros e reenvie o arquivo"
"File is valid! To start import process press ""Import"" button","Arquivo é válido! Para iniciar o processo de importação pressione o botão ""Importar"""
"File is valid, but import is not possible","Arquivo é válido, mas a importação não é possível"
