"* Required Fields","* Campos obrigatórios"
"0 disables the limit.","0 desativa o limite."
"Abuse Protection","Proteção contra abusos"
"Adds an invisible trap field. Submissions that fill it are silently dropped as bot traffic.","Adiciona um campo de armadilha invisível. Submissões que o preenchem são silenciosamente dropadas como tráfego de robô."
"Auto-Reply Emails per Recipient per Hour","Responder automaticamente e-mails por destinatário por hora"
"Auto Reply","Resposta automática"
"Caps how many auto-reply emails a single address can receive per hour. The merchant notification is still sent. Defeats email-bombing of third parties. 0 disables the limit.","Caps quantos e-mails de resposta automática um único endereço pode receber por hora. A notificação do comerciante ainda está enviada. Determina bombardeamentos por e-mail de terceiros. 0 desativa o limite."
"Comment","Comentar"
"Contact Form","Formulário de contato"
"Contact Form Auto Reply","Formulário de Contato Resposta Automática"
"Contact Information","Informação do Contato"
"Contacts","CONTATOS"
"Contact Us","Entre em contato"
"Contact Us Form","Formulário de Contato"
"Email","e-mail"
"Email Options","Opções de e-mail"
"Email Sender","Remetente do e-mail"
"Email Template","Modelo De E-Mail"
"Enable Auto Reply","Habilitar Resposta Automática"
"Enable Contact Us","Habilitar contacte-nos"
"Honeypot Field","Campo Honeypot"
"Invalid Form Key. Please submit your request again.","Chave do formulário inválido. Por favor, envie a solicitação novamente."
"Invisible background measures (honeypot, rate limits) that blunt spam and email-bombing without inconveniencing real customers. Do not set the limits so low that legitimate visitors are blocked.","Medidas de fundo invisíveis (honeypot, limites de taxa) que cedem spam e bombardeios por e-mail sem incomodarem clientes reais. Não defina os limites tão baixos que os visitantes legítimos sejam bloqueados."
"Name","Nome:"
"Send Emails To","Enviar E-mails para"
"Submissions per IP per Hour","Submissões por IP por hora"
"Submit","submeter"
"Telephone","Telefone"
"Too many requests. Please wait a moment and try again.","Muitas solicitações. Por favor, aguarde um momento e tente novamente."
"Unable to submit your request. Please try again later","Não foi possível enviar sua solicitação. Por favor, tente novamente mais tarde"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Sua consulta foi enviada e será respondida o mais rápido possível. Obrigado por nos contatar."
