"3D Secure","Segurança 3D"
"Actions","Ações."
"Added","Adicionado"
"Allows logged-in customers to save their payment methods for faster future checkouts. Saved tokens are stored securely by PayPal.","Permite que os clientes logados salvem seus métodos de pagamento para futuros pedidos mais rápidos. Tokens salvos são armazenados com segurança pelo PayPal."
"Are you sure you want to delete this payment method?","Tem certeza que deseja excluir este método de pagamento?"
"Authorization ID","ID de autorização"
"Authorize and Capture","Autorizar e Capturar"
"Authorize Only","Somente Autorizar"
"Automatically populated after clicking ""Register Webhook"". Used to verify the authenticity of incoming PayPal notifications.","Preenchido automaticamente após clicar em ""Registrar Webhook"". Usado para verificar a autenticidade de entrada de notificações PayPal."
"AVS Code","Código AVS"
"Bancontact","Banquete"
"BLIK","BLIK"
"Capture ID","ID da Captura"
"Cart is empty.","Carrinho está vazio."
"Client ID","ID do Cliente"
"Client Secret","Segredo do Cliente"
"Confirm your payment with PayPal, then click ""Place Order"".","Confirme o seu pagamento com o Paypal e, em seguida, clique em ""Fazer pedido""."
"Connection failed. Please check your credentials.","Falha na conexão. Por favor, verifique suas credenciais."
"Connection failed: %s","A conexão falhou: %s"
"Connection successful.","Conexão bem-sucedida."
"Could not acquire order lock.","Não foi possível adquirir o bloqueio do pedido."
"CVV Code","Código CVV"
"Debug Mode","Modo de depuração"
"Delete","excluir"
"Display on Product Page","Exibir na Página do Produto"
"Display on Shopping Cart","Exibir no Carrinho de Compras"
"Displays inline credit/debit card fields directly on your checkout page. Customers enter their card details without being redirected to PayPal. Requires PayPal Advanced Checkout eligibility.","Exibe os campos embutidos do cartão de crédito / débito diretamente na sua página de checkout. Os clientes inserirem os detalhes do seu cartão sem serem redirecionados ao PayPal. Requer elegibilidade do PayPal Advanced Checkout ."
"Displays PayPal buttons at checkout. Customers pay with their PayPal account, Pay Later, or other PayPal-supported methods without leaving your site.","Exibe os botões do PayPal no checkout. Os clientes pagam com sua conta do PayPal, pagamento mais recente ou outros métodos suportados pelo PayPal sem sair do seu site."
"Enabled","Ativado"
"eps","EPS"
"Failed to create PayPal order.","Falha ao criar o pedido do PayPal."
"Failed to create PayPal order: %s","Falha ao criar o pedido do PayPal: %s"
"Failed to register webhook.","Falha ao registrar webhook."
"giropay","giropay"
"iDEAL","IDEAL"
"Invalid form key.","Chave do formulário inválida."
"Invalid payment method.","Método de pagamento inválido."
"Log API requests and responses to var/log/paypal.log","Registrar solicitações de API e respostas para var/log/paypal.log"
