"(not processed yet)","(ainda não processado)"
"0 disables the limit.","0 desativa o limite."
"<strong>Enabling this alone does not display the button.</strong> The law requires the revocation button to stay permanently visible during the withdrawal period, but only your theme knows where that is. After enabling, you must place the <strong>Revocation Button</strong> widget in a block shown on every storefront page (typically the footer). Until you do, the form exists at <em>/revocation</em> but nothing links to it.","<strong>Ativar isto sozinho não exibir o botão.</strong> A lei requer que o botão de revogação permaneça permanentemente visível durante o período de retirada, mas apenas o seu tema sabe onde está isso. Após a habilitação, você deve colocar o widget <strong>Botão de Revogação</strong> em um bloco exibido em todas as páginas da loja (tipicamente o rodapé). Até lá, o formulário existe no <em>/revogation</em> mas não há nenhum link para ele."
"Abuse Protection","Proteção contra abusos"
"Accepted","Aceitou"
"Accepting or rejecting only records the decision and adds a note to this order. The order status, state, and any refund are left unchanged.","Aceitar ou rejeitar apenas registra a decisão e adiciona uma nota a este pedido. O status do pedido, o estado do pedido e qualquer reembolso permanecem inalterados."
"Accept Revocation","Aceitar revogação"
"Accept this revocation? This records the decision and adds a note to the matched order. No order status or refund changes automatically.","Aceitar esta revogação? Isso registra a decisão e adiciona uma nota ao pedido correspondente. Não há alterações no status do pedido ou reembolso automaticamente."
"A confirmation email is on its way to you.","Um e-mail de confirmação está a caminho de você."
"Adds an invisible trap field. Submissions that fill it are silently dropped as bot traffic.","Adiciona um campo de armadilha invisível. Submissões que o preenchem são silenciosamente dropadas como tráfego de robô."
"Back","Anterior"
"Button Label","Rótulo do Botão"
"Cooling-Off Period (Days)","Período de resfriamento (dias)"
"create a credit memo","criar uma nota de crédito"
"CSV","Csv"
"Customer Name","Nome do cliente"
"Customer Receipt Template","Modelo de recibo do cliente"
"Customer submitted revocation request #%s via their account.","Cliente enviou pedido de revogação #%s através da sua conta."
"Custom Label","Etiqueta personalizada"
"Declaration (read-only legal record)","Declaração (registro legal somente leitura)"
"Email","e-mail"
"Email Sender","Remetente do e-mail"
"Email Settings","Configurações de e-mail"
"Email Suppressed","Email suprimido"
"Enabled","Ativado"
"EU Directive 2023/2673 (in Germany: &sect;356a BGB) requires B2C shops selling into the EU to provide a revocation button from 19 June 2026. This module provides that channel.","A Directiva 2023/2673 da UE (Alemanha: &sect;356a BGB) exige que as lojas da B2C vendam na UE para fornecerem um botão de revogação a partir de 19 de Junho de 2026. Este módulo fornece esse canal."
"Further requests are still recorded, but the customer receipt email is suppressed (visible and resendable in the admin grid). Defeats email-bombing of third parties. 0 disables the limit.","Mais solicitações ainda são gravadas, mas o e-mail de recibo do cliente é suprimido (visível e reenviado na grade de administração). Deplora bombardeamentos por e-mail de terceiros. 0 desativa o limite."
"General","Gerais"
"Honeypot Field","Campo Honeypot"
"ID","ID"
"If you do not receive a confirmation email within a few minutes, please contact us at %s and quote your reference number.","Se você não receber um e-mail de confirmação dentro de alguns minutos, por favor, entre em contato conosco em %s e cite seu número de referência."
"I hereby revoke this contract","Por meio deste, revogo este contrato"
"Information Requested","Informação solicitada"
"Internal Note","Nota Interna"
"Invalid decision.","Decisão inválida."
"Invalid form key. Please refresh the page and try again.","Chave de formulário inválida. Por favor, atualize a página e tente novamente."
"IP Address","Endereço IP"
"Leave empty to use the General Contact email address.","Deixe em branco para usar o endereço de e-mail do Contato Geral."
"Leave empty to use the label configured under Sales > Revocation Button.","Deixe em branco para usar a etiqueta configurada sob Vendas > Botão de Cancelamento."
"Leave empty to use the translated default (""Revoke contract"" / ""Vertrag widerrufen"").","Deixe em branco para usar o padrão traduzido (""Revogar contrato"" / ""Vertrag widerrufen"")."
"Link Order","Vincular Ordem"
"Link to order (increment ID):","Link para o pedido (ID do incremento):"
"Link to the contract revocation form (EU Directive 2023/2673). Place it in your footer or anywhere it must stay visible during the withdrawal period.","Link com o formulário de revogação do contrato (Directiva 2023/2673 da UE). Coloque-o no seu rodapé ou em qualquer lugar que tenha de permanecer visível durante o período de retirada."
"Locale","Localidade"
"Mark as Accepted","Marcar como aceito"
"Mark as Rejected","Marcar como rejeitado"
"Mark the selected requests as accepted? The matched orders are not modified.","Marcar as solicitações selecionadas como aceitas? As ordens correspondentes não são modificadas."
"Mark the selected requests as rejected? The matched orders are not modified.","Marcar os pedidos selecionados como rejeitados? As ordens correspondentes não são modificadas."
"Matched Order","Ordem Correspondente"
"Merchant Notification Email","E-mail de notificação do comerciante"
"Merchant Notifications per Store per Hour","Notificações de Comerciantes por hora"
"Merchant Notification Template","Modelo de Notificação Comerciante"
"Minimum Submit Time (Seconds)","Tempo mínimo de envio (segundos)"
"Must only acknowledge receipt of the declaration, never acceptance.","Deve apenas reconhecer a recepção da declaração, e não a aceitação."
"Name","Nome:"
"No","Não"
"No (self-asserted via the public form)","Não (auto-assertivo pelo formulário público)"
"No order could be matched to this request. The customer typed ""%s"".","Nenhum pedido pôde ser correspondido a este pedido. O cliente digitou ""%s""."
"No order found for increment ID ""%s"".","Nenhum pedido encontrado para incremento ID "".%s""."
"Only invisible background measures are used (honeypot, submit timing, invisible captcha, rate limits).<br>Manual CAPTCHAs and email verification links are legally inadmissible for the revocation form. Do not tune these limits so strictly that legitimate customers are blocked.","Apenas medidas invisíveis de fundo são usadas (honeypot, tempo de envio, captcha invisível, limite de taxa).<br>Os CAPTCHAs manuais e links de verificação por e-mail são legalmente inadmissíveis para o formulário de revogação. Não ajuste estes limites de forma tão estrita que bloqueie os clientes legítimos."
"Order","Encomenda"
"Order Number","Número do pedido"
"Order Reference","Referência do pedido"
"Please enter a valid email address.","Por favor, insira um endereço de e-mail válido."
"Please fill in your name, your order reference and your email address.","Por favor, preencha seu nome, a referência do pedido e seu endereço de e-mail."
"Please select request(s).","Por favor selecione solicitações."
"Processed At","Processado em"
"Processed Status","Status de processamento"
"Processing","Processando"
"Process Requests","Solicitações de processo"
"Reason","Motivo"
"Reason (optional)","Razão (opcional)"
"Receipt Emails per Recipient per Day","E-mails de Recibo por Recebimento por Dia"
"Received","Recebido"
"Received at","Recebido em"
"Received at (UTC)","Recebido em (UTC)"
"Reference number","Número de referência"
"Rejected","Rejeitados"
"Reject Revocation","Rejeitar cancelamento"
"Reject this revocation? This records the decision and adds a note to the matched order. No order status changes automatically.","Rejeitar esta revogação? Isso registra a decisão e adiciona uma nota à ordem correspondente. Não há mudanças de status de pedido automaticamente."
"Request #%s","Pedido #%s"
"Resend Receipt Email","Reenviar email de recibo"
"Resend the receipt email to %s?","Reenviar o e-mail de recibo para %s?"
"Revocation Button","Botão de revogação"
"Revocation Form","Formulário de Revogação"
"Revocation Merchant Notification","Notificação de Revogação Comerciante"
"Revocation Receipt Confirmation","Confirmação de Recibo de Revogação"
"Revocation received","Cancelamento recebido"
"Revocation Request","Pedido de revogação"
"Revocation Request #%s","Pedido de revogação #%s"
"Revocation request #%s accepted.","Solicitação de revogação #%s aceita."
"Revocation request #%s rejected.","Solicitação de revogação #%s rejeitada."
"Revocation Requests","Solicitações de revogação"
"Revocation Success","Revogado com sucesso"
"Revoke contract","Revogar contrato"
"Revoke this contract","Revogar este contrato"
"Sales","vendas"
"Save Note","Salvar anotação"
"Store View","Visão de Loja"
"Submissions faster than this after page render are silently dropped as bot traffic. 0 disables the check.","Submissões mais rápidas que isso após renderização de página são descartadas silenciosamente como tráfego do bot. 0 desativa a verificação."
"Submissions per IP per Hour","Submissões por IP por hora"
"The customer receipt email was suppressed (%s) at %s and has not been delivered. Use ""Resend Receipt Email"" to deliver it after triage.","O e-mail de recibo do cliente foi suprimido (%s) em %s e não foi entregue. Use ""Reenviar e-mail de recibo"" para entregá-lo após triagem."
"The receipt email could not be sent. Please check the email configuration.","Não foi possível enviar o e-mail de recibo. Verifique a configuração do e-mail."
"The receipt email has been resent to %s.","O e-mail de recibo foi reenviado para %s."
"The request has been linked to order %s.","A solicitação foi vinculada ao pedido %s."
"The revocation has been marked as accepted.","A revogação foi marcada como aceita."
"The revocation has been marked as rejected.","A revogação foi marcada como rejeitada."
"The revocation request has been saved.","O pedido de revogação foi salvo."
"This revocation request no longer exists.","Este pedido de revogação já não existe."
"This revocation was accepted. To refund the customer, %s for order %s.","Esta revogação foi aceita. Para reembolsar o cliente, %s pelo pedido %s."
"Total of %d request(s) were updated.","Total de %d pedido(s) foram atualizados."
"Used to gate the my-account entry point. The statutory period is 14 days.","Usado para portar o ponto de entrada da minha. O período estatutário é de 14 dias."
"User Agent","Agente do usuário"
"Verified","Verificada"
"View Request","Visualizar Requisição"
"View Requests","Ver Requisições"
"We have received your revocation declaration. Please note that this confirms receipt only; the validity of the revocation will be assessed and we will contact you separately.","Recebemos a sua declaração de revogação. Note que isto confirma apenas o recibo; a validade da revogação será avaliada e entraremos em contato com você separadamente."
"Yes","sim"
