"# of Uses","# de Utilizações"
"%s tag(s) have been accepted for moderation.","%s etiqueta(s) foram aceites para moderação."
"<strong>Tag Name:</strong> %s","<strong>Nome da Etiqueta:</strong> %s"
"Action","Ação"
"Add","Adicionar"
"Add New Tag","Adicionar Nova Etiqueta"
"Add Tags","Adicionar Etiquetas"
"Add Your Tags:","Adicione as suas etiquetas:"
"Add tag(s) to product","Adicionar etiqueta(s) ao produto"
"Add to Cart","Adicionar ao carrinho"
"Add to Wishlist","Adicionar à Lista de Desejos"
"All Tags","Todas as Etiquetas"
"Approved","Aprovado"
"Are you sure you want to delete this tag?","Tem certeza de que deseja eliminar esta etiqueta?"
"Are you sure you want to do this?","Tem a certeza que quer fazer isso?"
"Are you sure?","Tem a certeza?"
"Back","Voltar"
"Back to Tags List","Voltar à Lista de Etiquetas"
"Base Popularity","Popularidade Base"
"Block Information","Informação de Blocos"
"CSV","CSV"
"Catalog Product View","Vista de Produto de Catálogo"
"Change status","Alterar estado"
"Click on a tag to view your corresponding products.","Clique em uma etiqueta para visualizar os produtos correspondentes."
"Country","País"
"Customer My Account My Tags List","Cliente Minha Conta Minhas Etiquetas Lista"
"Customer My Account Tag View","Conta do Cliente Etiqueta de Visão"
"Customer Since","Cliente Desde"
"Customers","Clientes"
"Customers Submitted this Tag","Clientes Submeteram esta Etiqueta"
"Customers Tagged '%s'","Clientes Marcados '%s'"
"Delete","Eliminar"
"Delete Tag","Eliminar Tag"
"Disabled","Inativo"
"Edit Tag '%s'","Editar Etiqueta '%s'"
"Email","Correio electrónico"
"First Name","Nome"
"General Information","Informação Geral"
"Grid","Grelha"
"ID","Id."
"Info","Informação"
"Last Name","Sobrenome"
"List","Lista"
"Manage Tags","Gerir Etiquetas"
"Middle Name","Nome do Meio"
"My Recent Tags","As Minhas Tags Recentes"
"My Tags","Os Meus Tags"
"Name","Nome"
"New Tag","Nova Etiqueta"
"No matches found.","Nenhum resultado encontrado."
"Other people marked this product with these tags:","Outras pessoas marcaram este produto com estas etiquetas:"
"Pending","Pendente"
"Pending Tags","Etiquetas Pendentes"
"Popular","Popular"
"Popular Tags","Etiquetas Populares"
"Price","Preço"
"Product Name","Nome do Produto"
"Product SKU","SKU do Produto"
"Product Tag API","Etiqueta de Produto API"
"Product Tags","Etiquetas de Produto"
"Products","Produtos"
"Products Tagged by Administrators","Produtos Marcados pelos Administradores"
"Products Tagged by Customers","Produtos Marcados pelos Clientes"
"Products Tagged with '%s'","Produtos Marcados com '%s'"
"Products tagged with '%s'","Produtos marcados com '%s'"
"Rebuild Tag aggregation data","Reconstruir dados de agregação de etiquetas"
"Remove","Eliminar"
"Remove product tag","Remover etiqueta de produto"
"Retrieve list of tags by product","Recuperar lista de etiquetas por produto"
"Retrieve product tag info","Recuperar informação de etiqueta de produto"
"SKU","REF"
"Save Tag","Guardar Etiqueta"
"Save and Continue Edit","Gravar e Continuar Edição"
"Status","Estado"
"Store View","Vista da Loja"
"Tag","Etiqueta"
"Tag ""%s"" has already been added to the product.","Etiqueta ""%s"" já foi adicionada ao produto."
"Tag ""%s"" has been added to the product.","Etiqueta ""%s"" foi adicionada ao produto."
"Tag ""%s"" has been rejected by administrator.","Etiqueta ""%s"" foi rejeitada pelo administrador."
"Tag Aggregation Data","Dados de Agregação de Etiqueta"
"Tag Name","Nome de Tag"
"Tagged Products List","Lista de Produtos Marcados"
"Tags","Etiquetas"
"Tags List (All Available)","Lista de Etiquetas (Todas Disponíveis)"
"Tags List Before","Lista de Etiquetas Anterior"
"Tags:","Etiquetas:"
"Telephone","Telefone"
"The tag has been deleted.","A etiqueta foi eliminada."
"There are no tags available.","Não há etiquetas disponíveis."
"Unable to find any products tagged with '%s' in the current store","Não foi possível encontrar produtos marcados com '%s' na loja atual"
"Unable to remove tag. Please, try again later.","Não é possível remover etiqueta. Por favor, tente novamente mais tarde."
"Unable to save tag(s).","Não é possível guardar etiqueta(s)."
"Update","Actualizar"
"Update product tag","Atualizar etiqueta de produto"
"Use spaces to separate tags. Use single quotes (') for phrases.","Utilizar espaços para separar tags. Utilizar aspas simples (') para frases."
"View All Tags","Ver Todos os Rótulos"
"View Customers","Ver Clientes"
"View Products","Ver Produtos"
"XML","XML"
"You have not tagged any products yet.","Ainda não etiquetou quaisquer produtos."
"ZIP/Post Code","Código Postal"
"[STORE VIEW]","[VISTA DE LOJA]"
