"Additional Product Attributes","Atributos de Produto Adicionais"
"API Endpoint URL","API Endpoint URL"
"Authentication Type","Tipo de autenticação"
"Auth Token","Token de autenticação"
"Bearer Token","Token do portador"
"Custom Header","Cabeçalho personalizado"
"Custom Header Name","Nome do cabeçalho personalizado"
"Debug Mode","Modo de depuração"
"Displayed Error Message","Mensagem de erro exibida"
"Enabled","Ativado"
"None","Nenhuma"
"Request Timeout (seconds)","Tempo limite do pedido (segundos)"
"Select product attributes to include in the API request payload.","Selecione os atributos do produto a serem incluídos na API pedido payload."
"Shipping Bridge","Ponte de Entrega"
"Ship to Applicable Countries","Envio para Países Aplicáveis"
"Ship to Specific Countries","Enviar para países específicos"
"Sort Order","Ordem de classificação"
"Title","Título"
