"Add","Adicionar"
"Add New Row","Adicionar Nova Linha"
"Add links and samples to downloadable product","¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼¼"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","São recomendados caracteres alfanumérico, hífens e underscores para nomes de ficheiro. Caracteres impróprios são substituídos com '_'."
"An error occurred while getting the requested content.","Ocorreu um erro ao obter o conteúdo solicitado."
"An error occurred while getting the requested content. Please contact the store owner.","Ocorreu um erro ao obter o conteúdo solicitado. Por favor, contacte o proprietário da loja."
"An error occurred while saving the file(s).","Ocorreu um erro ao guardar o(s) ficheiro(s)."
"Availability:","Disponibilidade:"
"Back","Voltar"
"Canceled","Cancelada"
"Cannot connect to remote host, error: %s.","Não é possível conectar ao host remoto, erro: %s."
"Catalog Product View (Downloadable)","Vista de Produto de Catálogo (Transferível)"
"Category API","Categoria API"
"Customer My Account Downloadable Items","Conta do Cliente Itens Transferíveis"
"Date","Data"
"Default Link Title","Título de Link Pré-definido"
"Default Maximum Number of Downloads","Número Máximo de Downloads Pré-definido"
"Default Sample Title","Título de Amostra Pré-definido"
"Delete","Eliminar"
"Disable Guest Checkout if Cart Contains Downloadable Items","Desativar Checkout para Utilizadores Não Registados se o Carrinho Contiver Itens com Download"
"Disable Sample","Disable Sample"
"Downloadable Information","Download de Informação"
"Downloadable Product","Produto Descarregável"
"Downloadable Product Options","Opções de Produto com Download"
"Edit","Editar"
"Edit item parameters","Editar os parâmetros do item"
"Excl. Tax","Excluindo impostos"
"File","Ficheiro"
"File:","File:"
"From:","De:"
"Gift Message","Mensagem da Oferta"
"Go to <a href=""%s"">My Downloadable Products</a>","Ir para <a href=""%s"">Meus Produtos Descarregáveis</a>"
"Guest checkout will only work with shareable.","O checkout para utilizadores não registados apenas funcionará com conteúdo partilhável."
"In stock","Em stock"
"Incl. Tax","Imposto incl."
"Invalid download URL host.","URL de download inválido."
"Invalid download URL scheme.","Esquema de URL de download inválido."
"Invalid download link type.","Tipo de link de download inválido."
"Invoiced","Faturada"
"Links can be purchased separately","Os Links podem ser comprados em separado"
"List","Lista"
"Max. Downloads","Máx. Downloads"
"Message:","Mensagem:"
"Move","Mover"
"Move to wishlist","Mover para lista de desejos"
"My Downloadable Products","Os meus Produtos para Download"
"Open Links in New Window","Abrir Links numa Nova Janela"
"Order #","Encomenda #"
"Order Item Status to Enable Downloads","Estado do Item da Encomenda para Ativar Downloads"
"Order id cannot be null","O id da encomenda não pode ser null"
"Order item id cannot be null","O id do item da encomenda não pode ser null"
"Ordered","Encomendada"
"Out of stock","Esgotado"
"Pending","Pendente"
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Por favor, faça login para descarregar o seu produto ou compre <a href=""%s"">%s</a>."
"Please log in to download your product.","Por favor, faça login para descarregar o seu produto."
"Please set resource file and link type.","Por favor defina o ficheiro de recurso e o tipo de link."
"Please specify product link(s).","Por favor especifique o(s) link(s) do produto."
"Price","Preço"
"Product downloadable links","Ligações de produtos descarregáveis"
"Qty","Qtd"
"Refunded","Reembolsada"
"Remaining Downloads","Downloads Restantes"
"Remove","Eliminar"
"Remove Item","Remover Item"
"Remove links and samples from downloadable product","Remover ligações e amostras de produto descarregável"
"Requested link does not exist.","Ligação solicitada não existe."
"Retrieve links and samples list from downloadable product","Recuperar links e lista de amostras de produto descarregável"
"SKU","REF"
"Sample","Amostra"
"See price before order confirmation.","Consulte o preço antes da confirmar a encomenda."
"Shareable","Partilhável"
"Shipped","Enviada"
"Sorry, there was an error getting requested content. Please contact the store owner.","Desculpe, houve um erro ao obter o conteúdo solicitado. Por favor contacte o dono da loja."
"Sort Order","Ordenação"
"Start Download","Iniciar Download"
"Status","Estado"
"Subtotal","Sub-total"
"The file does not exist.","O ficheiro não existe."
"The link has expired.","O link expirou."
"The link is not available.","O link não está disponível."
"There are files that were selected but not uploaded yet. Please upload or remove them first","Existem ficheiros que foram seleccionados mas ainda não foram carregados. Por favor, carregue-os ou remova-os primeiro"
"Title","Título"
"To:","Para:"
"U","U"
"URL:","URL:"
"Unlimited","Ilimitado"
"Update","Actualizar"
"Use Content-Disposition","Usar Disposição de Conteúdo"
"Use Default Value","Usar o Valor Pré-definido"
"View Order","Ver Encomenda"
"What's this?","O que é isto?"
"You have not purchased any downloadable products yet.","Ainda não comprou nenhum produto passível de download."
"attachment","anexo"
"download","transferir"
"inline","em linha"
"sample","amostra"
