"Add","Adicionar"
"Add gift message for shopping cart","Add gift message for shopping cart"
"Add gift messages for quote item of shopping cart","Add gift messages for quote item of shopping cart"
"Add gift messages to products of shopping cart","Add gift messages to products of shopping cart"
"Add gift options","Add gift options"
"Add gift options.","Add gift options."
"Add gift options for Individual Items","Add gift options for Individual Items"
"Add gift options for the Entire Order","Add gift options for the Entire Order"
"Allow Gift Messages for Order Items","Permitir Mensagens de Oferta para Itens da Encomenda"
"Allow Gift Messages on Order Level","Permitir Mensagens de Oferta ao Nível da Encomenda"
"An error occurred while saving the gift message.","An error occurred while saving the gift message."
"Are you sure?","Tem a certeza?"
"Cancel","Cancelar"
"Do you have any gift items in your order?","Pretende oferecer algum item da sua encomenda?"
"Edit","Editar"
"From","De"
"Gift Message","Mensagem da Oferta"
"Gift Message API","Gift Message API"
"Gift Options","Opções de Presente"
"Gift Options for Individual Items","Opções de Oferta para Itens Individuais"
"Gift Options for the Entire Order.","Gift Options for the Entire Order."
"Gift Options for this address.","Gift Options for this address."
"Item %d of %d","Item %d of %d"
"Message","Mensagem"
"No","Não"
"Save Gift Message","Guardar mensagem de oferta"
"The gift message has been saved.","The gift message has been saved."
"To","Para"
"Unknown entity type","Tipo de entidade desconhecida"
"Use config","Usar configuração"
"Yes","Sim"
"You can leave this box blank if you do not wish to add a gift message for the item.","You can leave this box blank if you do not wish to add a gift message for the item."
"You can leave this box blank if you do not wish to add a gift message for this address.","You can leave this box blank if you do not wish to add a gift message for this address."
"You can leave this box blank if you do not wish to add a gift message for whole order.","You can leave this box blank if you do not wish to add a gift message for whole order."
