"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s foi adicionado à sua lista de desejos. Clique <a href=""%2$s"">aqui</a> para continuar comprando."
"%1$s has been updated in your wishlist.","%1$s foi atualizado na sua lista de desejos."
"%d product(s) have been added to shopping cart: %s.","%d produto(s) foram adicionados ao carrinho de compras: %s."
"%s's Wishlist","Desejos de %s"
"%s for ""%s"".","%s para ""%s""."
"%s has been moved to wishlist %s","%s foi movido para lista %s"
"%s has been moved to wishlist %s. Please note that uploaded files will need to be re-uploaded when adding to cart.","%s foi movido para lista %s. Por favor, note que os arquivos enviados precisarão ser re-carregados quando adicionar ao carrinho."
"%s was added to your shopping cart.","%s foi adicionado ao seu carrinho de compras."
"* Required Fields","* Campos obrigatórios"
"Add All to Cart","Adicionar Tudo ao Carrinho"
"Added From","Adicionado de"
"Add to Cart","Adicionar ao carrinho"
"Add to Compare","Adicionar à comparação"
"Add to Wishlist","Adicionar a Lista de Desejos"
"An error occurred while adding item to wishlist.","Ocorreu um erro ao adicionar item à lista."
"An error occurred while adding item to wishlist: %s","Ocorreu um erro ao adicionar o item à lista de presentes: %s"
"An error occurred while deleting the item from wishlist.","Ocorreu um erro ao excluir o item da lista."
"An error occurred while deleting the item from wishlist: %s","Ocorreu um erro ao excluir o item da lista de presentes: %s"
"An error occurred while updating wishlist.","Ocorreu um erro ao atualizar a lista de desejos."
"Are you sure you want to remove this product from your wishlist?","Tem certeza que deseja remover este produto da sua lista de desejos?"
"Are you sure you would like to remove this item from the wishlist?","Tem certeza de que deseja remover este item da lista de presentes?"
"Back","Anterior"
"Can't delete item from wishlist","Não é possível excluir item da lista"
"Can't save description %s","Não é possível salvar a descrição %s"
"Can't update wishlist","Não pode atualizar lista"
"Cannot add item to shopping cart","Não pode adicionar item ao carrinho de compras"
"Cannot add the item to shopping cart.","Não é possível adicionar o item ao carrinho de compras."
"Cannot add the selected product to shopping cart because the product was removed from the wishlist","Não foi possível adicionar o produto selecionado ao carrinho de compras porque o produto foi removido da lista de desejos"
"Cannot configure product","Impossível configurar o produto"
"Cannot load wishlist item","Não foi possível carregar item da lista"
"Cannot move item to wishlist","Não pode mover o item para lista de desejos"
"Cannot specify product.","Não pode especificar produto."
"Cannot specify wishlist.","Não pode especificar lista."
"Cannot specify wishlist item.","Não pode especificar item da lista."
"Cannot update wishlist","Impossível atualizar lista"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Marque essa caixa de seleção se você quiser adicionar um link para um feed RSS à sua lista de desejos."
"Click for price","Clique para preço"
"Comment","Comentar"
"Comment:","Comentário:"
"Configured Price:","Preço configurado:"
"Configure Wishlist Item","Configurar Item da Lista de Desejos"
"Could not find wishlist","Não foi possível encontrar lista"
"Customer My Account My Wishlist","Lista de Desejos do Cliente"
"Customer My Account Wishlist Sharing Form","Formulário de compartilhamento Conta Meu Cliente"
"Customer Shared Wishlist View","Visualização Lista de Desejos Compartilhados"
"Date Added","Data de inclusão"
"Days in Wishlist","Dias na Lista de Desejos"
"Display Wishlist Summary","Exibir Resumo de Desejos"
"Edit","Alterar"
"Email address can't be empty.","Endereço de e-mail não pode estar vazio."
"Email Sender","Remetente do e-mail"
"Email Template","Modelo De E-Mail"
"Enabled","Ativado"
"General Options","Opções Gerais"
"Go to Wishlist","Ir para Lista de Desejos"
"Helper for wishlist options rendering doesn't implement required interface.","Auxiliar para renderização de opções da lista de desejos não implementa interface obrigatória."
"In stock","Pronta entrega"
"Last Added Items","Últimos Itens Adicionados"
"Message","mensagem"
"My Wishlist","Minha lista de desejos"
"My Wishlist (%d item)","Minha lista de desejos (item%d)"
"My Wishlist (%d items)","Minha Lista de Desejos (%d itens)"
"My Wishlist <small>(%d)</small>","Minha Lista de Desejos <small>(%d)</small>"
"My Wishlist Link","Link da Lista de Desejos"
"Options Details","Detalhes das Opções"
"Out of stock","Fora de estoque"
"Please, enter your comments...","Por favor, digite seus comentários..."
"Please add product to wishlist again.","Por favor, adicione um produto à lista novamente."
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Por favor digite um endereço de e-mail válido, separado por vírgulas. Por exemplo johndoe@domain.com, johnsmith@domain.com."
"Please enter no more than 5 email addresses.","Por favor, não insira mais do que 5 endereços de e-mail."
"Please input a valid email address.","Por favor, insira um endereço de e-mail válido."
"Price","Quantidade"
"Product","Produto:"
"Product(s) %s have required options. Each of them can be added to cart separately only.","Produto(s) %s tem opções obrigatórias. Cada um deles pode ser adicionado ao carrinho separadamente."
"Qty","Quantidade"
"Remove Item","Remover Item"
"Remove item","Remover item"
"Remove This Item","Remover este item"
"Requested cart item doesn't exist","O item do carrinho solicitado não existe"
"Requested wishlist doesn't exist","Lista solicitada não existe"
"RSS Feed","Feed RSS"
"RSS link to %s's wishlist","Link RSS para lista de desejos de %s"
"Share Options","Opções de compartilhamento"
"Share Wishlist","Compartilhar lista de desejos"
"Share Your Wishlist","Compartilhe sua lista de desejos"
"Sharing Information","Compartilhando informações"
"SKU","Código"
"This product(s) is currently out of stock","Este produto está atualmente em falta de estoque"
"This Wishlist has no Items","Esta Lista de Desejos não tem itens"
"Unable to add the following product(s) to shopping cart: %s.","Não é possível adicionar o(s) seguinte(s) produto(s) ao carrinho de compras: %s."
"Update Wishlist","Atualizar Lista de Desejos"
"Up to 5 email addresses, separated by commas","Até 5 endereços de e-mail, separados por vírgulas"
"User Description","Descrição do usuário"
"View Details","Visualizar Detalhes"
"View Product","Visualizar Produto"
"What's this?","O que é isto?"
"Wishlist","Favoritos"
"Wishlist could not be created.","Lista de desejos não pode ser criada."
"Wishlist is empty now.","Lista de desejos está vazia agora."
"Wishlist Sharing","Compartilhamento de Desejos"
"You have no items in your wishlist.","Você não tem nenhum item em sua lista de desejos."
"Your Wishlist has been shared.","Sua lista de desejos foi compartilhada."
