"Action","Acão"
"Active","ativo"
"Add New Rule","Adicionar Nova Regra"
"Apply rule to source products matching the following conditions (leave blank for all products)","Aplicar regra a produtos de origem que correspondam às seguintes condições (deixe em branco para todos os produtos)"
"Are you sure?","Você tem certeza?"
"Catalog","Catalogo"
"Change status","Mudar Situação"
"Conditions","condições"
"Conditions Combination","Combinação de condições"
"Cron expression for rule processing. Default: <strong>0 3 * * *</strong> (daily at 3am).","Comando Cron para processamento de regra. Padrão: <strong>0 3 * * *</strong> (diariamente às 3 horas)."
"Cron Schedule","Cronograma Cron"
"Cross-sell Products","Produtos Cross-sell"
"Delete","excluir"
"Delete Rule","Excluir regra"
"Description","Descrição:"
"Disabled","Desabilitado"
"does not match source","não corresponde à fonte"
"Edit","Alterar"
"Edit Rule '%s'","Editar Regra '%s'"
"Enabled","Ativado"
"From Date","Data de início"
"How rule-generated links combine with existing product links.<br/><strong>Replace</strong>: delete existing links, then insert rule results (default).<br/><strong>Merge</strong>: keep existing links and append rule results, with no duplicates.","Como ligações geradas por regras combinam-se com links de produtos existentes.<br/><strong>Substituir</strong>: excluir links existentes e inserir resultados de regra (padrão).<br/><strong>Mesclar</strong>: mantenha links existentes e anexe resultados de regras, sem duplicatas."
"ID","ID"
"Inactive","Inativo"
"Link to target products matching the following conditions (leave blank for all products)","Link para produtos alvo que correspondem às seguintes condições (deixe em branco para todos os produtos)"
"Link Type","Link Type"
"Lower number = higher priority","Número inferior = maior prioridade"
"matches source","fonte de correspondência"
"Maximum Links","Máximo de Links"
"Maximum number of linked products per source product (leave empty for unlimited)","Número máximo de produtos vinculados por produto de origem (deixe em branco para ilimitado)"
"Merge (keep existing links, append rule results)","Mesclar (manter links existentes, anexar resultados da regra)"
"Merge Behaviour","Comportamento de mesclagem"
"Name: A-Z","Nome: A-Z"
"Name: Z-A","Nome: Z-A"
"Newest First","Mais recentes primeiro"
"New Rule","Nova Regra"
"Oldest First","Mais antigos primeiro"
"Please select rule(s).","Por favor, selecione regra(s)."
"Price: High to Low","Preço: maior primeiro"
"Price: Low to High","Preço: menor primeiro"
"Priority","Prioridade"
"Product Attribute","Atributos do Produto"
"Product Link Rules","Regras de Link do Produto"
"Product Relationship Rules","Regras Relação do Produto"
"Random (Default)","Aleatório (Padrão)"
"Related Products","Produtos Relacionados"
"Replace (delete existing links, insert rule results)","Substituir (excluir links existentes, inserir resultados de regra)"
"Rule Information","Regra Informação"
"Rule Name","Nome da Regra"
"Save and Continue Edit","Salvar e Continuar Editar"
"Save Rule","Salvar Regra"
"Sort Order","Ordem de classificação"
"Source Product Conditions","Condições do Produto Fonte"
"Source products matching %s of these conditions are %s:","Os produtos de origem %s dessas condições são %s:"
"Status","SItuação"
"Target Conditions","Condições Alvo"
"Target product attribute will be compared to source product","O atributo do produto destino será comparado ao produto de origem"
"Target Product Conditions","Condições do Produto Alvo"
"Target products matching %s of these conditions are %s:","Os produtos alvo correspondentes a %s dessas condições são %s:"
"The rule has been deleted.","A regra foi excluída."
"The rule has been saved.","A regra foi salva."
"This rule no longer exists.","Esta permissão não existe mais."
"To Date","Data de término"
"Total of %d record(s) were deleted.","Total de %d registro(s) excluídos."
"Total of %d record(s) were updated.","Total de %d registro(s) atualizados."
"Up-sell Products","Produtos up-sell"
