"* Required Fields","* Campos obrigatórios"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> solicita acesso à sua conta"
"Admin","Administrador"
"After authorization application will have access to you account.","Após o aplicativo de autorização terá acesso à sua conta."
"An error occurred.","Ocorreu um erro."
"An error occurred. Your authorization request is invalid.","Ocorreu um erro. Sua solicitação de autorização é inválida."
"An error occurred on confirm authorize.","Ocorreu um erro na autorização de confirmação."
"An error occurred on delete action.","Ocorreu um erro na ação de exclusão."
"An error occurred on reject authorize.","Ocorreu um erro na autorização de rejeição."
"An error occurred on saving consumer data.","Ocorreu um erro ao salvar os dados do consumidor."
"An error occurred on update revoke status.","Ocorreu um erro ao atualizar revogar o status."
"An error occurred while deleting the consumer.","Ocorreu um erro ao excluir o consumidor."
"Application Name","Nome da aplicação"
"Authorization confirmed","Autorização confirmada"
"Authorization confirmed.","Autorização confirmada."
"Authorize","Autorizar"
"Authorize application","Autorizar aplicativo"
"Authorized Tokens","Tokens autorizados"
"Callback URL","Callback URL"
"Cleanup Probability","Probabilidade de limpeza"
"Cleanup Settings","Configurações de limpeza"
"Close","FECHAR"
"Confirmation Of Authorization","Confirmação de Autorização"
"Confirm token authorization for admin","Confirmar token de autorização para administrador"
"Confirm token authorization Pop Up for admin","Popup Confirmar token de autorização para administrador"
"Consumer Information","Informações do Consumidor"
"Consumer Name","Nome do Consumidor"
"Consumers","Consumidores"
"Created At","Criado em"
"Current Admin Password","Senha atual do Admin"
"Customer","Cliente"
"Delete","excluir"
"deleted","Excluído"
"Disable","Desligado"
"Disabled","Desabilitado"
"Edit","Alterar"
"Edit Consumer","Editar consumidor"
"Email","e-mail"
"Email Address","Endereço de e-mail"
"Enable","Habilitado"
"Enabled","Ativado"
"enabled","habilitado"
"Entry with ID #%s not found.","Entrada com ID #%s não encontrada."
"Expiration Period","Período de vencimento"
"Give the verifier code to application administrator","Dê o código de verificação ao administrador do aplicativo"
"ID","ID"
"Invalid ID parameter.","Parâmetro de ID inválido."
"Key","Chave"
"Log In","Iniciar sessão"
"Login","Conectar-se"
"Log in as admin","Entrar como administrador"
"Log in to use <strong>%s</strong>","Inicie a sessão para usar <strong>%s</strong>"
"My Applications","Meus aplicativos"
"Name","Nome:"
"New Consumer","Novo consumidor"
"OAuth","OAuth"
"OAuth Admin My Apps","Meus aplicativos de administração OAuth"
"OAuth authorization for admin","OAuth autorização admin"
"OAuth authorization simple for admin","Autorização OAuth simples para administrador"
"OAuth Authorized Tokens","Chaves OAuth Autorizadas"
"OAuth Consumers","Consumidores OAuth"
"Password","Palavra-passe"
"Permissions","Permissões"
"Please login to proceed authorization.","Faça o login para continuar a autorização."
"Please select needed row(s).","Selecione as linhas necessárias."
"Please select revoke status.","Por favor, selecione revogar estado."
"Reject","Rejeitar"
"Rejected Callback URL","URL de Callback Rejeitado"
"Rejection Of Authorization","Rejeição de Autorização"
"Reject token authorization for admin","Rejeitar token de autorização p/ admin"
"Reject token authorization Pop Up for admin","Enviar pop-up de autorização de token rejeitado para administrador"
"REST - My Apps","REST - Meus aplicativos"
"REST - OAuth Authorized Tokens","REST - Tokens autorizados por OAuth"
"REST - OAuth Consumers","REST - Consumidores OAuth"
"Revoked","Revoked"
"revoked","revoked"
"Role Name","Nome da Função"
"Save","Guardar"
"Save and Continue Edit","Salvar e Continuar Editar"
"Secret","Segredo"
"Selected entries enabled.","Entradas selecionadas ativadas."
"Selected entries has been deleted.","As entradas selecionadas foram excluídas."
"Selected entries revoked.","Entradas selecionadas revogadas."
"Status","SItuação"
"System","SISTEMA"
"The application access request is rejected.","A solicitação de acesso da aplicação foi rejeitada."
"The consumer has been deleted.","O consumidor foi excluído."
"The consumer has been saved.","O consumidor foi salvo."
"Token Status Change","Mudar Status do Token"
"Token Status Change Email Template","Status do Token Alterar Modelo de E-mail"
"Unable to find a consumer.","Não é possível encontrar um consumidor."
"User ID","ID de usuário"
"User Name","Nome de usuário"
"User Type","Tipo de usuário"
"Verifier code: %s","Código verificador: %s"
