"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Ligação</a>"
"Actions XML is not valid.","Ações XML não são válidas."
"An error occurred while opening file: ""%s"".","Ocorreu um erro ao abrir ficheiro: ""%s""."
"Could not load file: ""%s"".","Não foi possível carregar ficheiro: ""%s""."
"Could not save file: %s.","Não foi possível guardar ficheiro: %s."
"Declared adapter %s was not found.","Declarado adaptador %s não foi encontrado."
"Destination folder ""%s"" is not a directory.","Pasta de destino ""%s"" não é um diretório."
"Destination folder ""%s"" is not writable.","Pasta de destino ""%s"" não é gravável."
"Done","Concluído"
"Dry run set, stopping execution.","Execução interrompida, conjunto de teste seco."
"Error in field mapping: field list for mapping is not defined.","Erro no mapeamento de campo: lista de campos para mapeamento não está definida."
"ETA: %s","ETA: %s"
"File ""%s"" does not exist.","Ficheiro ""%s"" não existe."
"Found %d rows.","Encontrados %d registos."
"hour","hora"
"hours","horas"
"Invalid node.","Nó invalido."
"Less than a minute","Menos de um minuto"
"Loaded successfully: ""%s"".","Carregado com sucesso: ""%s""."
"Memory Used: %s","Memória Utilizada: %s"
"Method ""%s"" not defined in adapter %s.","Método ""%s"" não definido no adaptador %s."
"Method ""%s"" was not defined in adapter %s.","Método ""%s"" não foi definido no adaptador %s."
"minute","minuto"
"minutes","minutos"
"Please declare ""adapter"" and ""method"" nodes first.","Declarar nós ""adapter"" e ""method"" primeiro."
"Processed records: %s","Registos processados: %s"
"Profile with the same name already exists.","Perfil com o mesmo nome já existe."
"Saved successfully: ""%s"" [%d byte(s)].","Guardado com sucesso: ""%s"" [%d byte(s)]."
"Sheet 1","Ficha 1"
"Skip undefined row.","Ignorar linha indefinida."
"Starting %s :: %s","Iniciando %s :: %s"
"The destination folder ""%s"" does not exist or there is no access to create it.","A pasta de destino ""%s"" não existe ou não há acesso para criá-la."
"Total records: %s","Registos totais: %s"
"Upload failed. Can not find required columns: %s in file %s.","Upload falhou. Não é possível encontrar colunas necessárias: %s no ficheiro %s."
"Upload failed. Wrong data format in file: %s.","Upload falhou. Formato de dados errado no ficheiro: %s."
